retention,draw,cells,mean_abs_displacement,median_abs_displacement,p95_abs_displacement,mean_abs_displacement_in_donor_sd,mean_within_donor_spearman,min_within_donor_spearman,original_tail_cells,thinned_tail_cells,tail_to_rest_flips,rest_to_tail_flips,tail_to_rest_flip_rate,rest_to_tail_flip_rate,net_tail_change,mean_q_detect_before,mean_q_detect_after,mean_q_depth_before,mean_q_depth_after
1.0,0,7037,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,516,516,0,0,0.0,0.0,0,0.07672688978632088,0.07672688978632088,8.62583287542364,8.62583287542364
1.0,1,7037,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,516,516,0,0,0.0,0.0,0,0.07672688978632088,0.07672688978632088,8.62583287542364,8.62583287542364
1.0,2,7037,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,516,516,0,0,0.0,0.0,0,0.07672688978632088,0.07672688978632088,8.62583287542364,8.62583287542364
0.9,0,7037,0.0015127130439260802,0.0010571486556310815,0.004246172776525775,0.14288797454588356,0.9686641977371608,0.9453921529612361,516,496,57,37,0.11046511627906977,0.005673976383990186,-20,0.07672688978632088,0.07207692564954313,8.62583287542364,8.520484947851156
0.9,1,7037,0.0015052943645708658,0.0010417170929800717,0.004140390580440866,0.14223834994767992,0.9694563900266259,0.9415402978596425,516,515,45,44,0.0872093023255814,0.006747431375555896,-1,0.07672688978632088,0.07208126128073061,8.62583287542364,8.520473618773138
0.9,2,7037,0.0015328785027903932,0.0010691383803412653,0.004298640682790615,0.1444799809649037,0.9667038640205341,0.9377526245829153,516,516,46,46,0.08914728682170543,0.007054132801717528,0,0.07672688978632088,0.07207009705657008,8.62583287542364,8.52051157954265
0.75,0,7037,0.0026998615441910156,0.001955711363103548,0.007445640363796059,0.2553667942570791,0.9157491587767882,0.8756933806379418,516,492,104,80,0.20155038759689922,0.012268057046465266,-24,0.07672688978632088,0.06445890205864353,8.62583287542364,8.338214786464679
0.75,1,7037,0.0027200792981963333,0.0020217335848791308,0.007370675181415556,0.2551249171119813,0.9175628133567107,0.895249381234531,516,492,104,80,0.20155038759689922,0.012268057046465266,-24,0.07672688978632088,0.06446021796393883,8.62583287542364,8.338146217710818
0.75,2,7037,0.002662809856647968,0.0019306096020708756,0.00730142883717842,0.2510698196879406,0.9156367417212549,0.8597836023318197,516,502,101,87,0.19573643410852712,0.013341512038030977,-14,0.07672688978632088,0.06446089969694825,8.62583287542364,8.338336202248088
0.5,0,7037,0.0043257556717537175,0.00321587870047109,0.012035772957716191,0.40716320265487954,0.8111574957614557,0.7529723243081077,516,426,194,104,0.375968992248062,0.015948474160404846,-90,0.07672688978632088,0.04949320181715365,8.62583287542364,7.932643212104393
0.5,1,7037,0.0043480271561169995,0.0032410878604205466,0.011866037582481219,0.40920616075471783,0.8078170842938562,0.7459340180347074,516,431,203,118,0.39341085271317827,0.01809538414353627,-85,0.07672688978632088,0.04949945726503139,8.62583287542364,7.932679392375822
0.5,2,7037,0.004350264364191254,0.003293833124805072,0.011958295869107025,0.40885563024021876,0.8077525624754219,0.7421919913307272,516,432,199,115,0.3856589147286822,0.01763533200429382,-84,0.07672688978632088,0.049516579563591005,8.62583287542364,7.932801884704252
0.25,0,7037,0.005943017111825182,0.004543551947753401,0.016476383894804453,0.5571430076854808,0.6631374791591059,0.5430247718383311,516,341,296,121,0.5736434108527132,0.018555436282778715,-175,0.07672688978632088,0.030059762885894434,8.62583287542364,7.239691618160941
0.25,1,7037,0.006039330597340202,0.0045128325621165595,0.016526452602821335,0.566155588313816,0.63498307714256,0.4948033936467461,516,325,314,123,0.6085271317829457,0.018862137708940345,-191,0.07672688978632088,0.03006567138646416,8.62583287542364,7.240107326765007
0.25,2,7037,0.006005531124302823,0.004513560693801395,0.01660270522408307,0.5636083571358131,0.6481321401262621,0.5650242023707833,516,337,299,120,0.5794573643410853,0.0184020855696979,-179,0.07672688978632088,0.030089041102954954,8.62583287542364,7.240206007227327
