retention,draw,donor_id,stable_key,baseline_centered,thinned_centered,signed_displacement,baseline_tail,thinned_tail
1.0,0,H19.33.004,651279499661936274,0.0012046251637633787,0.0012046251637633787,0.0,False,False
1.0,0,H19.33.004,669574688000459419,0.0009110148286454629,0.0009110148286454629,0.0,False,False
1.0,0,H19.33.004,669826938588847468,0.005756469685736489,0.005756469685736489,0.0,False,False
1.0,0,H19.33.004,670312809546245031,-0.005020441671021817,-0.005020441671021817,0.0,False,False
1.0,0,H19.33.004,686229334677352377,0.014253978143519315,0.014253978143519315,0.0,False,False
1.0,0,H19.33.004,696149738186987225,-0.011667434602093775,-0.011667434602093775,0.0,False,False
1.0,0,H19.33.004,736914862997120163,-0.012129504270728168,-0.012129504270728168,0.0,False,False
1.0,0,H19.33.004,745983974288357739,0.0002459911681969157,0.0002459911681969157,0.0,False,False
1.0,0,H19.33.004,771002490832876373,0.009429717819683131,0.009429717819683131,0.0,False,False
1.0,0,H19.33.004,771489623441849508,0.009809979293762153,0.009809979293762153,0.0,False,False
1.0,0,H19.33.004,775681566618311276,0.00021034490022326172,0.00021034490022326172,0.0,False,False
1.0,0,H19.33.004,787836293265703532,-0.0005480804597123683,-0.0005480804597123683,0.0,False,False
1.0,0,H19.33.004,794859186542377942,-0.006950536236982613,-0.006950536236982613,0.0,False,False
1.0,0,H19.33.004,803126264325730665,-0.005186919884602997,-0.005186919884602997,0.0,False,False
1.0,0,H19.33.004,804796819369909710,-0.0066993053918546,-0.0066993053918546,0.0,False,False
1.0,0,H19.33.004,812058997939444826,-0.006710073623028787,-0.006710073623028787,0.0,False,False
1.0,0,H19.33.004,830778130714960035,0.0007120260523433182,0.0007120260523433182,0.0,False,False
1.0,0,H19.33.004,834527190704277601,0.004636671419068282,0.004636671419068282,0.0,False,False
1.0,0,H19.33.004,845784450746777474,-0.004458395485979448,-0.004458395485979448,0.0,False,False
1.0,0,H19.33.004,849108279692044163,0.0014270262159982866,0.0014270262159982866,0.0,False,False
1.0,0,H19.33.004,864587790316817397,-4.600166163841457e-05,-4.600166163841457e-05,0.0,False,False
