donor_id,cells
H20.33.001,789
H20.33.008,186
H20.33.011,387
H20.33.013,350
H20.33.018,528
H20.33.026,163
H20.33.029,348
H20.33.030,604
H20.33.031,345
H20.33.039,386
H20.33.041,261
H20.33.043,736
H20.33.044,319
H21.33.001,822
H21.33.005,541
H21.33.009,258
H21.33.010,907
H21.33.017,875
H21.33.018,755
H21.33.025,892
H21.33.032,320
H21.33.033,587
H21.33.034,213
H21.33.035,408
H21.33.036,316
H21.33.042,440
H21.33.043,964
