asset_id,study_id,source_path,size_bytes,sha256,official_checksum_type,official_checksum,official_checksum_pass,open_read_only_pass
hvs_0de831e0-a525-4ec5-b717-df56f2de2bf0,HVS,data/external/v4/living_human/hvs/9adebd17-bc24-47b6-acdb-0db488bc602d.h5ad,580150889,b50f1ba3df9070c2ba2cccf3903f1b674a1899428cd9848297d518a2df0ed2d8,,,True,True
hvs_149b2c3f-ee11-47a7-984b-923570280bd7,HVS,data/external/v4/living_human/hvs/5e9da577-f665-44af-b9b4-fa0d5ad1964d.h5ad,32831267,101c074a0af5ba94fb2224174113a2cd388d474f2dffee7dc1e2831e56372124,,,True,True
hvs_171b03c9-516b-499c-a434-fa4f70191988,HVS,data/external/v4/living_human/hvs/77dc6994-2777-4fad-a445-4ff7d143a682.h5ad,690905441,b924e51d355d81660397ebb3b0b5693d0008d6ec14f3c9b31d038c6a9b97f04e,,,True,True
hvs_1a974af7-8b4b-4abb-8aba-23e2979d9518,HVS,data/external/v4/living_human/hvs/7be9f52d-7eef-4bdd-a0ba-c8f2d4986551.h5ad,1636005614,eb1b40b9b005aa951dfa9f65d35b840819208bc66b8367230083d8d3ed5f56ea,,,True,True
hvs_1fc48734-35ee-4372-885c-95fd2674c75a,HVS,data/external/v4/living_human/hvs/57f3c92b-a07a-41da-b660-88eb9f93c4c9.h5ad,7604282325,da84d4c6144b2b95be372343d82015e41b36d7a4d0828ab4d464b606b4fc3b64,,,True,True
hvs_3079e9b0-c6db-45c8-b998-a4555a73968e,HVS,data/external/v4/living_human/hvs/d1303087-592a-4c3d-aa3e-21de203927dc.h5ad,2558526832,df065a3c9337d0324540024f1668a6684c951dc80c80ad3434d8ff4100aa9d77,,,True,True
hvs_31285bcd-9a28-48ce-8cc0-543af80261d3,HVS,data/external/v4/living_human/hvs/a9b5738d-997d-433f-8d86-12dbfc8f01fb.h5ad,915602861,42db887ce090dad2f818e7fd3db0bcf254493f32c384f7a71aea4903f7fc0e30,,,True,True
hvs_34229bdc-a895-4394-8820-574e4028d8c6,HVS,data/external/v4/living_human/hvs/c3b47645-c927-4a0a-868f-eb7640ea3354.h5ad,3057153024,0110b9d093ff24d7f143db59123fc0520463566541978abb9cc3b25205336e2b,,,True,True
hvs_390b376d-8857-4b4b-991f-0d7326938172,HVS,data/external/v4/living_human/hvs/8dfadc37-e19c-4d4b-80d8-cee48e732bcf.h5ad,362143265,3a5b23b1f10d36c289bc21b0a35e68c84f968f987e8054bc3f38bb930ef65bd6,,,True,True
hvs_4859642c-d155-437b-adf5-83ca6c1bef67,HVS,data/external/v4/living_human/hvs/f8975a92-8ddb-4dde-adbe-977a4b3e4e96.h5ad,52926761,f3cc0a5c09b92d52c61193bb90a5182752df48a4b902cc758756f03798120e05,,,True,True
hvs_4e374783-0152-423e-bcb6-b87cc232f64d,HVS,data/external/v4/living_human/hvs/4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd.h5ad,1801583012,941d2d8d6b6d1fd625af0270752053485ebeaccf3560b41bc76ff274d0ac21a6,,,True,True
hvs_5e7fff82-b8eb-4220-bf65-c6feb6765ea1,HVS,data/external/v4/living_human/hvs/42c9001a-3a29-4952-aaa0-b55e73851a5c.h5ad,61610897,f76413b30139fbeea70a11ed8cbaed6e0c7f68dcccea73b7d9c02b81c8f55f0c,,,True,True
hvs_6929d6d1-6f81-44d7-bd35-5a580259af81,HVS,data/external/v4/living_human/hvs/e813d04b-7833-4b02-b14f-0247d6128516.h5ad,172050087,a81dd49bb28be31e1aaf22d6e62f07bc0751e88ce03ca0314c6fa287140d3ae2,,,True,True
hvs_78f40dd6-ed22-470d-8547-6fb5746c25da,HVS,data/external/v4/living_human/hvs/7958eba0-1d79-42e3-8947-a198f98578f2.h5ad,136057698,56dc9ac20dddf5cac50a843418ddefeaf2ed2d4ed1475fbf600c0bf4f514eaa8,,,True,True
hvs_93091496-be48-4122-b945-9af9c22a7535,HVS,data/external/v4/living_human/hvs/5fff0955-173e-407d-b160-64f513ca6db6.h5ad,2510495710,3948d6d325fe73d95f13d6746eda3c269ed717953d1d9cbff2e57120f10281c4,,,True,True
hvs_9ea52f85-a35e-4b5b-9207-e2f1de7dbbcd,HVS,data/external/v4/living_human/hvs/c9143d44-4c95-4f06-8edc-e03d3491ab97.h5ad,3217779656,45bad0af8c6b71afce464130ebf7adf1a50bdbae8c7b38189b1fef2e44feb15d,,,True,True
hvs_a30db232-08a6-48f0-ab9f-ad6977b8a6b1,HVS,data/external/v4/living_human/hvs/38374d1b-6549-4429-b59a-ff2706dacd96.h5ad,803923602,90138e508ee2cb9d82b2090904c3499b66f34e92bfef7853e483980fec523709,,,True,True
hvs_b6e502d7-0d07-408e-a291-91b63af0a40a,HVS,data/external/v4/living_human/hvs/c5e9db26-7b51-4290-b721-dd540ac906b1.h5ad,313044672,4d291126bbdbcde0dfa55b5c3a394907704d4d651f0067632bb81a1bedeebdd1,,,True,True
hvs_d5a2d011-3765-4dad-ac36-3fff087589fe,HVS,data/external/v4/living_human/hvs/bb3c4200-5c1b-4f8a-a846-e021919b7241.h5ad,729030048,ad24ed9233760ba435eb560597592a219af136f01a446312da3d59a0a7372fc2,,,True,True
hvs_e2a325e2-5633-4950-ae46-ebff70979e3b,HVS,data/external/v4/living_human/hvs/19cd530b-622c-4bd8-b738-dbf169412cb0.h5ad,431473246,dd0f4174cda92cc8087d532bc06520595566ca775a70efc7716d616c8b6eeefa,,,True,True
hvs_e34f3f89-3a48-4173-a06a-9e9803f2e2b9,HVS,data/external/v4/living_human/hvs/7b96819c-598c-47a1-9cea-f410fc0c37fa.h5ad,4551204610,9dc829cecac4ab347258e1d53f24058e1dbf2d3bd6b58eb6c61f2b28b63738b3,,,True,True
hvs_ea95cdd5-cf7e-4d5d-a0bd-032776d32ae5,HVS,data/external/v4/living_human/hvs/ab88770a-7a74-4da5-a166-d68f02d644f2.h5ad,1381262772,64e65a838b8b6d3af2eeccd25cf84fa4f9c460dd241ffc72f7a19f9a10f75500,,,True,True
hvs_f9cfac8d-bff6-47a2-a1f6-503827d375f5,HVS,data/external/v4/living_human/hvs/900faaa3-adec-4fd9-81b0-1e90a2ab256f.h5ad,56315767,97ab56b2838605fc5f1ad66def3a4da92aa1488b51cf4f2e951fe1eeed9faebb,,,True,True
nph52_annotations,NPH52,data/external/v4/living_human/nph52/annotations.zip,117523800,0e2038d8bdee8c662cee2cd0077c6fcb9c8a635888c3972a93e10b303de51bbb,md5,0981c257713e79e9fe775e2576872f9b,True,True
nph52_organized_data,NPH52,data/external/v4/living_human/nph52/organized_data.zip,13816833572,f1d485e85bd5a6537131c9b97a2640d7b688cc128c684f8044ddc0dd77ee6b4b,md5,3aa418e4f218ff4bfbdefbc21bc89b5a,True,True
