asset_id,study_id,source_path,size_bytes,sha256,official_checksum_type,official_checksum,official_checksum_pass,open_read_only_pass
gse134577_gse134577_family_soft_gz,GSE134577,data/external/v4/living_human/geo/GSE134577/GSE134577_family.soft.gz,3514,ea4ebf00735364eeb22e37812ec19d7403f849c838e75ffa1bb2518d45c2f0ad,,,True,True
gse134577_gse134577_raw_tar,GSE134577,data/external/v4/living_human/geo/GSE134577/GSE134577_RAW.tar,89190400,0e11115c39a98308c2b54fc97b62b538c2279a9dfc0c88621fe8a43a3ea1fad7,,,True,True
gse181279_gse181279_barcodes_tsv_gz,GSE181279,data/external/v4/living_human/geo/GSE181279/GSE181279_barcodes.tsv.gz,183425,cbeae67159dc10cd5ca954621e74757ae0ffb80cd3bad7ba9e23a13aa6c5a15c,,,True,True
gse181279_gse181279_family_soft_gz,GSE181279,data/external/v4/living_human/geo/GSE181279/GSE181279_family.soft.gz,3798,7b49ce56191cc9c7befce5081212aae71b940558f77f7a0ab8bd14d4530167f6,,,True,True
gse181279_gse181279_features_tsv_gz,GSE181279,data/external/v4/living_human/geo/GSE181279/GSE181279_features.tsv.gz,310002,77de3fc95ca680e8e01bb0b12d87a7b83ef894fc0e1c88cfe776b01dba3b2ead,,,True,True
gse181279_gse181279_matrix_mtx_gz,GSE181279,data/external/v4/living_human/geo/GSE181279/GSE181279_matrix.mtx.gz,195150269,ba08f433c6b20b75cfa3763581dd411391212304db4fb1c05c41a1b63569554a,,,True,True
gse200164_gse200164_counts_csv_gz,GSE200164,data/external/v4/living_human/geo/GSE200164/GSE200164_counts.csv.gz,1111633291,8dbfde2cd00cde69e41051c5d6f9c40dcf7b32c57bbce6ff9bd37ad1e2c5b04f,,,True,True
gse200164_gse200164_family_soft_gz,GSE200164,data/external/v4/living_human/geo/GSE200164/GSE200164_family.soft.gz,5419,339df816b5959d9546f9c040beb719a88d0968ab5c201e31dc47deeac5d80bff,,,True,True
gse200164_gse200164_lognorm_expression_csv_gz,GSE200164,data/external/v4/living_human/geo/GSE200164/GSE200164_lognorm_expression.csv.gz,1160997288,e197d30b604e80f624c0355b98dbf9e60bc01b64336c45091da5d6b2828eb8e2,,,True,True
gse226267_gse226267_atac_cd4_raw_peaks_rds_gz,GSE226267,data/external/v4/living_human/geo/GSE226267/GSE226267_atac_cd4_raw_peaks.rds.gz,2981763473,4cd53fd095e9d63126bc533b5e516abb83b4ae467e4e65ea6ca93869c828d421,,,True,True
gse226267_gse226267_atac_noncd4_raw_peaks_rds_gz,GSE226267,data/external/v4/living_human/geo/GSE226267/GSE226267_atac_noncd4_raw_peaks.rds.gz,3573506747,74eec1784acda4fbc1d38a5f991bd3ba7b8db1a800979d191e4b76c4d6272612,,,True,True
gse226267_gse226267_family_soft_gz,GSE226267,data/external/v4/living_human/geo/GSE226267/GSE226267_family.soft.gz,5116,724ae37626d3c6665a293f387af8e6c3d5ef12bc010eaa30698468b7e1d90d5a,,,True,True
gse226602_gse226602_family_soft_gz,GSE226602,data/external/v4/living_human/geo/GSE226602/GSE226602_family.soft.gz,8434,b14d9b0b4354e8cffff58ce2f83224ec5ee03861a0e70702f5f7f544429b8886,,,True,True
gse226602_gse226602_rna_lognorm_expression_rds_gz,GSE226602,data/external/v4/living_human/geo/GSE226602/GSE226602_rna_lognorm_expression.rds.gz,3444711576,d10bf1975d22ca902ecb3d1ba148e5ca6b39a0b99999a079b8c789f0c6356ea2,,,True,True
gse226602_gse226602_rna_raw_counts_rds_gz,GSE226602,data/external/v4/living_human/geo/GSE226602/GSE226602_rna_raw_counts.rds.gz,3471425529,a26f107b40d5b89d9d85558bf30fc78b161fb963e65f87de53515b70eac3bba6,,,True,True
gse270454_gse270454_family_soft_gz,GSE270454,data/external/v4/living_human/geo/GSE270454/GSE270454_family.soft.gz,9384,963b0b5bccfc9bd9515b510a3fb82c0c12b7e81c178356b1b0936979583440ab,,,True,True
gse270454_gse270454_rnaseq_combined_counts_matrix_csv_gz,GSE270454,data/external/v4/living_human/geo/GSE270454/GSE270454_RNAseq-combined-counts-matrix.csv.gz,1724820,24c114bc2b9b19620d82e71e5be1ded6ba5ca8fadf971a55de9c95bf79156b4a,,,True,True
gse292141_gse292141_family_soft_gz,GSE292141,data/external/v4/living_human/geo/GSE292141/GSE292141_family.soft.gz,3881,6078284dc39ab6740010f6c14d208e33308accc9de183356a85a5210e2369480,,,True,True
gse292141_gse292141_raw_tar,GSE292141,data/external/v4/living_human/geo/GSE292141/GSE292141_RAW.tar,986593280,aa786c57423fca4faf02be91638c931b4479814bfafe92f6ea366d236ebd4a5b,,,True,True
gse302937_gse302937_family_soft_gz,GSE302937,data/external/v4/living_human/geo/GSE302937/GSE302937_family.soft.gz,3648,82b035d8c0ab0b320016f6cd6b35fc96688ab63f4e80da6d6b3714b20ec581d6,,,True,True
gse302937_gse302937_raw_tar,GSE302937,data/external/v4/living_human/geo/GSE302937/GSE302937_RAW.tar,5387233280,03b03383ecea3be9cd2f9696e1a05f282847ff9466ee374de08d72c641b29784,,,True,True
gse305625_gse305625_family_soft_gz,GSE305625,data/external/v4/living_human/geo/GSE305625/GSE305625_family.soft.gz,56318,eec48c4ed27880b816bf26ac48da852c2e11aacf3547d7abed69a9a504f472c0,,,True,True
gse305625_gse305625_non_normalized_txt_gz,GSE305625,data/external/v4/living_human/geo/GSE305625/GSE305625_non_normalized.txt.gz,191511,3b1449f5d2d07e5b17815cd2ef1f1b833da7005602a930b6fe030efe4e820242,,,True,True
gse305625_gse305625_normalized_data_txt_gz,GSE305625,data/external/v4/living_human/geo/GSE305625/GSE305625_normalized_data.txt.gz,82956,426e338b3f19fc843515e71c84a62404515ee53c2e2a42b47a9ffdedf08951fc,,,True,True
hvs_0087cde2-967d-4f7c-8e6e-40e4c9ad1891,HVS,data/external/v4/living_human/hvs/6201fd7d-f35b-4487-bace-99426881237b.h5ad,519242982,83f72f6ab8b234b8a1040e2754aa1d030137162eb72143cf21d0cf7a0a80188d,,,True,True
