"accession","source_path","object_class","n_features","n_cells","assays","default_assay","assay_layers","metadata_columns","n_guide_identities","n_target_genes","n_non_targeting_control_cells","n_non_targeting_control_guides","donor_count","donor_values","crispr_values","missing_required_metadata","r_version","seurat_object_version","expression_matrix_materialized","full_object_audit_pass"
"GSE301119","data/external/v4/perturbation/GSE301119/GSE301119_CRISPRa_seurat5.rds","Seurat",19162,23584,"RNA","RNA","RNA:counts+data","orig.ident;nCount_RNA;nFeature_RNA;percent.mt;guide_identity;Gene_Targeted;donor;crispr",1090,207,2117,99,2,"D1;D2","NT;Perturbed","","4.4.3","5.4.0",FALSE,TRUE
"GSE301119","data/external/v4/perturbation/GSE301119/GSE301119_CRISPRi_seurat5.rds","Seurat",36601,28466,"RNA","RNA","RNA:counts+data","orig.ident;nCount_RNA;nFeature_RNA;percent.mt;guide_identity;Gene_Targeted;donor;crispr",1114,207,2184,99,2,"D1;D2","NT;Perturbed","","4.4.3","5.4.0",FALSE,TRUE
