operator_index,matrix_id,source,fit_cells,measured_scalar_addresses,structurally_unmeasured_addresses,collision_unresolved_addresses
0,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,HVS,2441,18736,22502,0
1,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,HVS,4355,18736,22502,0
2,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,HVS,278,18736,22502,0
3,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,HVS,10300,18736,22502,0
4,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,HVS,43616,18736,22502,0
5,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,HVS,179,18736,22502,0
6,HVS::5fff0955-173e-407d-b160-64f513ca6db6,HVS,14702,18736,22502,0
7,HVS::6201fd7d-f35b-4487-bace-99426881237b,HVS,2687,18736,22502,0
8,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,HVS,3666,18736,22502,0
9,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,HVS,788,18736,22502,0
10,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,HVS,30706,18736,22502,0
11,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,HVS,8733,18736,22502,0
12,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,HVS,2294,18736,22502,0
13,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,HVS,332,18736,22502,0
14,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,HVS,3076,18736,22502,0
15,HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,HVS,5734,18736,22502,0
16,HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,HVS,9005,18736,22502,0
17,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,HVS,4371,18736,22502,0
18,HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,HVS,15373,18736,22502,0
19,HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,HVS,2117,18736,22502,0
20,HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,HVS,17373,18736,22502,0
21,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,HVS,15404,18736,22502,0
22,HVS::e813d04b-7833-4b02-b14f-0247d6128516,HVS,889,18736,22502,0
23,HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,HVS,299,18736,22502,0
24,sea_ad_ang_rna_final_2026,SEA_AD,154093,35076,5452,710
25,sea_ad_caudate_rna_all_2025,SEA_AD,634083,35076,5452,710
26,sea_ad_fi_rna_final_2026,SEA_AD,175832,35076,5452,710
27,sea_ad_hip_rna_final_2026,SEA_AD,139307,35076,5452,710
28,sea_ad_itg_rna_final_2026,SEA_AD,259312,35076,5452,710
29,sea_ad_lec_rna_final_2026,SEA_AD,115426,35076,5452,710
30,sea_ad_mec_rna_final_2026,SEA_AD,511761,35076,5452,710
31,sea_ad_mtg_rna_final_2026,SEA_AD,638150,35076,5452,710
32,sea_ad_pfc_a9_rna_final_2026,SEA_AD,732360,35076,5452,710
33,sea_ad_stg_rna_final_2026,SEA_AD,346085,35076,5452,710
34,sea_ad_v1c_rna_final_2026,SEA_AD,411804,35076,5452,710
35,NPH52::matrix::Astro_data_arranged_updatedId_final_batches.qs,NPH52,17877,32445,8261,532
36,NPH52::matrix::Endo_data_arranged_updatedId_final_batches.qs,NPH52,4884,30294,10478,466
37,NPH52::matrix::ExN_data_arranged_updatedId_final_batches.qs,NPH52,43980,34405,6269,564
38,NPH52::matrix::InN_data_arranged_updatedId_final_batches.qs,NPH52,18176,33205,7494,539
39,NPH52::matrix::MG_data_arranged_updatedId_final_batches.qs,NPH52,15264,31131,9617,490
40,NPH52::matrix::OPC_data_arranged_updatedId_final_batches.qs,NPH52,8825,31399,9345,494
41,NPH52::matrix::Oligo_data_arranged_updatedId_final_batches.qs,NPH52,127470,33524,7160,554
