check_name,status,observed,expected,notes
required_file::results/tables/discovery_final_candidate_shortlist_v3.csv,pass,True,True,
required_file::results/reports/discovery_final_candidate_shortlist_v3.md,pass,True,True,
required_file::results/tables/discovery_targeted_manifold_audit_v1.csv,pass,True,True,
required_file::results/tables/discovery_tier1_pending_manifold_audit_v1.csv,pass,True,True,
required_file::results/tables/discovery_baseline_predictive_representation_comparison.csv,pass,True,True,
required_file::results/tables/discovery_baseline_discovery_ranking_comparison.csv,pass,True,True,
required_file::results/reports/discovery_baseline_comparison_gate.md,pass,True,True,
required_file::results/reports/open_validation_framework_plan_v1.md,pass,True,True,
required_file::discovery_atlas/discovery_logic.py,pass,True,True,
required_file::tests/test_discovery_atlas_logic.py,pass,True,True,
shortlist_gene_unique,pass,149,149,
shortlist_retained_count,pass,149,149,
shortlist_tier1_count,pass,41,41,
tier1_manifold_safe,pass,41,41,
tier1_final_status,pass,{'promoted_model_hypothesis_manifold_qc_pass': 41},all promoted_model_hypothesis_manifold_qc_pass,
broad_state_not_promoted,pass,0,0,
graph_not_positive_support,pass,0,0,Graph evidence must remain penalty/context only.
original_audit_rows,pass,45,45,
pending_audit_rows,pass,19,19,
audit_gene_sets_disjoint,pass,[],[],
combined_audits_cover_tier1,pass,41,41,
original_distance_columns,pass,[],[],
original_distance_non_null,pass,"{'mean_nearest_real_cell_distance': 0, 'p95_nearest_real_cell_distance': 0, 'baseline_nn_p95_threshold': 0, 'manifold_violation_fraction': 0}",all zero null counts,
original_positive_distances,pass,"{'baseline_min': 0.0174692813307046, 'mean_nn_min': 0.0026380573399364, 'p95_nn_min': 0.0095683196559548}",all positive,
original_torch_backend,pass,{'torch': 45},torch,
pending_distance_columns,pass,[],[],
pending_distance_non_null,pass,"{'mean_nearest_real_cell_distance': 0, 'p95_nearest_real_cell_distance': 0, 'baseline_nn_p95_threshold': 0, 'manifold_violation_fraction': 0}",all zero null counts,
pending_positive_distances,pass,"{'baseline_min': 0.0174692813307046, 'mean_nn_min': 0.002693838905543, 'p95_nn_min': 0.0095683196559548}",all positive,
pending_torch_backend,pass,{'torch': 19},torch,
baseline_tested_representations,pass,"['graph_jepa_real_graph_latent', 'module_mean_baseline', 'pca_expression_baseline', 'raw_expression_regularized_baseline']","['graph_jepa_real_graph_latent', 'module_mean_baseline', 'pca_expression_baseline', 'raw_expression_regularized_baseline']",
baseline_unavailable_artifact_rows,pass,"['expression_only_autoencoder', 'no_graph_jepa', 'shuffled_graph_jepa']","['expression_only_autoencoder', 'no_graph_jepa', 'shuffled_graph_jepa']",
baseline_report_conclusion,pass,True,True,
ranking_table_nonempty,pass,12,>0,
discovery_logic_tests,pass,direct_assertion_tests_passed (4 tests),tests pass,
open_validation_plan_only,pass,True,True,
open_validation_controlled_statuses,pass,True,True,
open_validation_no_forced_candidates,pass,True,True,
open_validation_no_spatial_fabrication,pass,True,True,
