comparison,left_condition,right_condition,delta_mean_pooled_oof_spearman,graph_gate_pass
real_minus_no_graph_identity,filtered_ext_svd32_raw_count_size_factor_log1p_direct_residual_real_graph_alpha_0_05,filtered_ext_svd32_raw_count_size_factor_log1p_direct_no_graph,-0.008719246734838537,False
real_minus_strict_shuffled,filtered_ext_svd32_raw_count_size_factor_log1p_direct_residual_real_graph_alpha_0_05,filtered_ext_svd32_raw_count_size_factor_log1p_direct_strict_shuffled_residual_graph_alpha_0_05,0.0008909587931557605,True
