anchor_type,h5ad,cells,latent_dim,coordinate_csv,size_mb
cellxgene_normal_microglia,data/processed/v2_pretraining/cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad,10000,128,results/tables/stage_a_frozen_cellxgene_normal_microglia_coordinates.csv,14.70
sea_ad_low_pathology_relaxed,data/processed/v2_pretraining/sea_ad_low_pathology_microglia_pvm_relaxed_jepa_aligned.h5ad,4467,128,results/tables/stage_a_frozen_sea_ad_low_pathology_relaxed_coordinates.csv,6.52
sea_ad_low_pathology_strict,data/processed/v2_pretraining/sea_ad_low_pathology_microglia_pvm_strict_jepa_aligned.h5ad,1883,128,results/tables/stage_a_frozen_sea_ad_low_pathology_strict_coordinates.csv,2.74
