gene,in_top20_tier1,in_prior_anchor_group,in_broad_state_control_group,in_special_review_group,audit_selection_reason,final_tier,therapeutic_like_score_percentile,gliosis_penalty_percentile,broad_shift_score_percentile,graph_neighborhood_label,prior_candidate_flag,targeted_manifold_audit_priority,audit_priority,audit_groups,audit_group::top20_tier1,audit_group::prior_anchor,audit_group::broad_state_caution_control,audit_group::special_review,promotion_reason,deprioritization_reason,scorecard_interpretation,graph_interpretation,tau_lowering_score_percentile,neuron_preservation_score_percentile,known_biology_note,claim_boundary,scope,AT8_delta_targeted_audit,A_beta_6e10_delta_targeted_audit,GFAP_delta_targeted_audit,Iba1_delta_targeted_audit,NeuN_delta_targeted_audit,manifold_safety_status,prediction_safety_status,perturbation_success,failure_reason,mean_latent_shift,median_latent_shift,mean_nearest_real_cell_distance,p95_nearest_real_cell_distance,baseline_nn_p95_threshold,manifold_violation_fraction,manifold_nn_backend,AT8_delta_official_screen,A_beta_6e10_delta_official_screen,GFAP_delta_official_screen,Iba1_delta_official_screen,NeuN_delta_official_screen,AT8_delta_absolute_difference,A_beta_6e10_delta_absolute_difference,GFAP_delta_absolute_difference,Iba1_delta_absolute_difference,NeuN_delta_absolute_difference,targeted_manifold_qc_result
UGCG,True,False,False,True,top-20 Tier-1 therapeutic-like percentile; pre-specified special-review gene,scorecard_supported_isolated_hypothesis,99.62630792227203,43.90881913303439,87.4439461883408,isolated_high_score_gene,True,priority_1_top_tier1,priority_1_top_tier1,top20_tier1|special_review,True,False,False,True,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.20627802690582,98.6173393124066,Glycosphingolipid synthesis enzyme and lipid-state hypothesis anchor.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0335061959922313,-0.0370835214853286,0.0032738111913204,0.0028730402700603,0.0393861532211303,within_manifold_threshold,not_separately_audited,True,,0.0002703874488361,0.0002998457930516,0.0027797736693173,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0335692651569843,-0.0371009074151515,0.003325856057927,0.0029403346125036,0.0393793135881423,6.306916475300184e-05,1.7385929822900936e-05,5.204486660660007e-05,6.729434244330014e-05,6.83963298800383e-06,pass_within_manifold_threshold
SLC38A9,True,False,False,True,top-20 Tier-1 therapeutic-like percentile; pre-specified special-review gene,scorecard_supported_isolated_hypothesis,99.2899850523169,14.8355754857997,88.71449925261584,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1|special_review,True,False,False,True,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.355754857997,88.67713004484304,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.034139085561037,-0.0268703363835811,-0.0367753021419048,-0.0065704998560249,0.0160577502101659,within_manifold_threshold,not_separately_audited,True,,0.0001916103065013,0.0001784468622645,0.0027493464294821,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0341691374778747,-0.0269138254225254,-0.0368749313056468,-0.0065492540597915,0.0160626620054245,3.00519168376992e-05,4.3489038944299896e-05,9.962916374199604e-05,2.124579623339999e-05,4.9117952585983615e-06,pass_within_manifold_threshold
MDM2,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,99.2526158445441,56.98804185351271,67.63826606875935,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.91629297458894,94.76831091180868,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0394836664199829,-0.0037004037294536,0.00916513428092,0.0041645001620054,0.0229751896113157,within_manifold_threshold,not_separately_audited,True,,0.0003023139433935,0.0002762361546047,0.0027208526153117,0.0095683196559548,0.0174692813307046,0.0,torch,-0.039549596607685,-0.003769444534555,0.0091005526483058,0.0041942289099097,0.0229335092008113,6.593018770209569e-05,6.904080510139986e-05,6.458163261419993e-05,2.9728747904299822e-05,4.1680410504400106e-05,pass_within_manifold_threshold
SMARCA4,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,99.1778774289985,48.01943198804185,79.11061285500747,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,96.9357249626308,97.23467862481316,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.025424400344491,-0.0299532916396856,-0.0033319934736937,0.0081190913915634,0.0303635336458683,within_manifold_threshold,not_separately_audited,True,,0.0002503738505765,0.0001837362506194,0.0027945202309638,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0254578329622745,-0.0299588665366172,-0.0034149121493101,0.0080956621095538,0.0303548369556665,3.3432617783497875e-05,5.574896931599682e-06,8.291867561640003e-05,2.3429282009599858e-05,8.696690201800972e-06,pass_within_manifold_threshold
AP1G1,True,False,False,True,top-20 Tier-1 therapeutic-like percentile; pre-specified special-review gene,scorecard_supported_isolated_hypothesis,99.14050822122572,14.8355754857997,86.6965620328849,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1|special_review,True,False,False,True,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,90.50822122571002,97.68310911808668,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0146019589155912,-0.0342595502734184,-0.0278012920171022,-0.0054569002240896,0.0321348756551742,within_manifold_threshold,not_separately_audited,True,,0.0002231105027021,0.0001804898492991,0.0027562987525016,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0146085061132907,-0.0342685282230377,-0.0278827920556068,-0.005419482011348,0.0321516171097755,6.5471976994999764e-06,8.977949619300152e-06,8.150003850460052e-05,3.741821274160038e-05,1.674145460130172e-05,pass_within_manifold_threshold
TLR2,True,True,False,False,top-20 Tier-1 therapeutic-like percentile; pre-specified prior biological anchor,scorecard_supported_isolated_hypothesis,99.10313901345292,47.23467862481316,73.24364723467862,isolated_high_score_gene,True,priority_1_top_tier1,priority_1_top_tier1,top20_tier1|prior_anchor,True,True,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,97.12257100149478,96.52466367713004,Innate immune pattern-recognition receptor previously prioritized by the project.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0261498279869556,-0.018673438578844,-0.0065728412009775,0.0078653646633028,0.0278831925243139,within_manifold_threshold,not_separately_audited,True,,0.0002924346772488,0.0002396635100012,0.0027959132567048,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0261382013559341,-0.0187142621725797,-0.0066200024448335,0.007842544466257,0.0279240608215332,1.1626631021499634e-05,4.0823593735698355e-05,4.7161243856000054e-05,2.28201970457996e-05,4.0868297219300714e-05,pass_within_manifold_threshold
NEMF,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,99.06576980568012,14.8355754857997,88.52765321375186,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.80418535127056,69.99252615844544,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0378944315016269,-0.025559077039361,-0.0481155216693878,-0.0012833001092076,0.0073470105417072,within_manifold_threshold,not_separately_audited,True,,0.0002422945690341,0.0002672545961104,0.0027602789923548,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0379033200442791,-0.0255498029291629,-0.0481232888996601,-0.0013033513678237,0.0073522529564797,8.888542652199516e-06,9.274110198100732e-06,7.76723027230003e-06,2.0051258616099986e-05,5.24241477250012e-06,pass_within_manifold_threshold
BAZ1A,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.87892376681614,14.8355754857997,89.57399103139014,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,95.62780269058295,92.60089686098657,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0217014420777559,-0.031102517619729,-0.0343773439526557,-0.0176293402910232,0.0195963885635137,within_manifold_threshold,not_separately_audited,True,,0.0002282088244101,0.0002057215024251,0.0027655276935547,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0217148326337337,-0.0311537757515907,-0.0343871638178825,-0.0176800228655338,0.0196127817034721,1.3390555977800533e-05,5.1258131861700584e-05,9.819865226801117e-06,5.0682574510602096e-05,1.6393139958399e-05,pass_within_manifold_threshold
GMDS,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.72944693572497,14.8355754857997,87.81763826606877,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,96.44992526158444,89.0881913303438,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0240612886846065,-0.026343248784542,-0.0241691712290048,-0.0268858689814806,0.0163388457149267,within_manifold_threshold,not_separately_audited,True,,0.0002177848946303,0.0002384726249147,0.0027520805597305,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0240962244570255,-0.0264063868671655,-0.02418689802289,-0.0269116908311843,0.0163265820592641,3.4935772419000116e-05,6.31380826234991e-05,1.7726793885199793e-05,2.582184970370202e-05,1.2263655662599071e-05,pass_within_manifold_threshold
BTBD9,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.69207772795215,14.8355754857997,83.74439461883408,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,94.43198804185351,93.19880418535126,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.019668897613883,-0.0189642794430255,-0.0383534170687198,-0.0090844854712486,0.0204117037355899,within_manifold_threshold,not_separately_audited,True,,0.0002289185213157,0.0002585772890597,0.0027669260744005,0.0095683196559548,0.0174692813307046,0.0,torch,-0.019726525992155,-0.0189706683158874,-0.0384331755340099,-0.0090859364718198,0.0204593688249588,5.76283782719976e-05,6.3888728619003465e-06,7.975846529009734e-05,1.4510005711988738e-06,4.766508936889999e-05,pass_within_manifold_threshold
