comparison,left_condition,right_condition,delta_mean_pooled_oof_spearman,graph_gate_pass
real_minus_no_graph_identity,ext_svd32_log1p_direct_residual_real_graph_alpha_0_05,ext_svd32_log1p_direct_no_graph,-0.013080895008605875,False
real_minus_strict_shuffled,ext_svd32_log1p_direct_residual_real_graph_alpha_0_05,ext_svd32_log1p_direct_strict_shuffled_residual_graph_alpha_0_05,0.0008788093550673448,True
