gene,final_tier,therapeutic_like_score_percentile,final_evidence_tier_v2,final_candidate_status_v2
TMEM165,scorecard_supported_isolated_hypothesis,98.13153961136024,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
ATRX,scorecard_supported_isolated_hypothesis,98.01943198804184,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
ZRANB2,scorecard_supported_isolated_hypothesis,97.98206278026906,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
VPS39,scorecard_supported_isolated_hypothesis,97.86995515695068,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
CSMD3,scorecard_supported_isolated_hypothesis,97.72047832585947,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
SLC38A2,scorecard_supported_isolated_hypothesis,97.60837070254112,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
MTX2,scorecard_supported_isolated_hypothesis,97.53363228699553,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
MAP3K7,scorecard_supported_isolated_hypothesis,97.45889387144992,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
NSF,scorecard_supported_isolated_hypothesis,97.19730941704036,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
RPLP1,scorecard_supported_isolated_hypothesis,97.01046337817638,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
CAMK2G,scorecard_supported_isolated_hypothesis,96.44992526158444,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
UBE2E3,scorecard_supported_isolated_hypothesis,96.41255605381166,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
ZKSCAN1,scorecard_supported_isolated_hypothesis,96.37518684603886,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
SYT1,scorecard_supported_isolated_hypothesis,96.33781763826606,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
EIF2AK4,scorecard_supported_isolated_hypothesis,96.18834080717488,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
LPIN2,scorecard_supported_isolated_hypothesis,95.66517189835577,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
TCERG1,scorecard_supported_isolated_hypothesis,95.3662182361734,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
WIPF2,scorecard_supported_isolated_hypothesis,95.3288490284006,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
UBA3,scorecard_supported_isolated_hypothesis,95.14200298953662,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
