comparison,left_condition,right_condition,delta_mean_pooled_oof_spearman,graph_gate_pass
best_real_minus_no_graph_identity,module_graph_real_overlap_aux_weight_0_1_ridge,module_graph_no_graph_identity_ridge,0.0005629239647666484,True
best_real_minus_matched_strict_shuffled,module_graph_real_overlap_aux_weight_0_1_ridge,module_graph_strict_shuffled_overlap_aux_weight_0_1_ridge,0.0036731801154197274,True
