resource_name,resource_class,download_requested,download_succeeded_or_present,status,output,url
hg38_chrom_sizes,small,True,True,already_present,data/external_resources/stage75b/hg38.chrom.sizes,https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.chrom.sizes
gencode_v44_gtf,small,True,True,already_present,data/external_resources/stage75b/gencode.v44.annotation.gtf.gz,https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_44/gencode.v44.annotation.gtf.gz
cistarget_rankings_sha1,small,True,True,downloaded,data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather.sha1sum.txt,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/screen/mc_v10_clust/region_based/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather.sha1sum.txt
cistarget_scores_sha1,small,True,True,downloaded,data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.scores.feather.sha1sum.txt,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/screen/mc_v10_clust/region_based/hg38_screen_v10_clust.regions_vs_motifs.scores.feather.sha1sum.txt
hg38_screen_region_motif_rankings,large,False,False,large_download_not_requested,data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/screen/mc_v10_clust/region_based/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather
hg38_screen_region_motif_scores,large,False,False,large_download_not_requested,data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.scores.feather,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/screen/mc_v10_clust/region_based/hg38_screen_v10_clust.regions_vs_motifs.scores.feather
