comparison,left_condition,right_condition,delta_mean_pooled_oof_spearman,graph_gate_pass
real_minus_no_graph_identity,external_pretrained_residual_real_graph_jepa_ridge,external_pretrained_no_graph_identity_jepa_ridge,-0.006273159866356182,False
real_minus_strict_shuffled,external_pretrained_residual_real_graph_jepa_ridge,external_pretrained_strict_shuffled_residual_graph_jepa_ridge,-9.314569201174239e-05,False
