local_path,sha256,size_bytes
data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,d18faa1c51f426bb2bf17ce431878cfacce673729c1ee185be84a51d31271146,45189
data\sea_ad\stage41abc\whitepapers\6a45788da3f3b0699e8e4bba_sea-ad_sage_change_log_063026.pdf,3d6a9fbee1548dad08182cce9199931d5bc8729435b2617f99f89e389062f291,271781
data\sea_ad\stage41abc\raw\68debdfdae5f82b97af2fb0f_sea-ad_cohort_mri_volumetrics.xlsx,40e8e3f584b4a75a392e204426cd1561ecf093d006a4a43a04071b6730fb3b3a,63688
data\sea_ad\stage41abc\raw\68debdfcf51ccbd2e5ca83d5_seaad_donor_available_imaging_information071725.xlsx,49735d99ba4e7b4240cb29742b4063a362aa68fc821b2526385e0ea6352c379e,12756
data\sea_ad\stage41abc\raw\index.html,df7949426bfe9a51cf6d2aee8e8f3cd5fcc4cb9e3c9d74178d50ee1aff76c031,36726
data\sea_ad\stage41abc\raw\sea-ad.csv,bb71a4d70844d292f46973480ffede5c9cbca482ef608d639f3963e9a6f12cc6,243835644
data\sea_ad\stage41abc\whitepapers\white_papers_May2026.zip,54501ee4f0efb80c20d318425cee13f3c339975c688ad5175d8209d57a91c520,2107571
data\sea_ad\stage41abc\whitepapers\6a457ebab63d450fdab62af0_sea-ad_cohort_information_063026.pdf,2b6e3abf8961082f3a4d2c604e5b4a8f0d99ced01793370318c110cf44e5cbb1,103330
data\sea_ad\stage41abc\whitepapers\68deba1b76dbbdfe375c0f2f_sea-ad_cohortmetadata_summarygraphs.pdf,e54c5a3f52d6596a882c1f5da057f8acdf85520aa1c7d2dbe8b1127dc875162a,526296
data\sea_ad\stage41abc\whitepapers\68deba1b38856009de991c5e_sea-ad_snomics_datageneration_rin_methods.pdf,6b09fba978142ac20b148c24b6561a0956589ce6b600cc9c441bd48c45250ca1,96449
data\sea_ad\stage41abc\whitepapers\6a4585b091403c31e8d98a36_sea-ad_snrnaseq_analysis_postsequencing_06302026.pdf,4144000071230fcf3fe4fe6cefdae30e16305e5a66ec338992aaf782806644ee,273736
data\sea_ad\stage41abc\whitepapers\6a458356cbaf777f617ae687_sea-ad_donorindex_dataelementbriefdescriptions_063026.pdf,be2e79b69a28eec016435c1d3ba78f9f8a1f189b3e1418df4fa1b682d8e3cb0b,238627
data\sea_ad\stage41abc\whitepapers\68deba1b2cfad1d75ec33e9f_sea-ad_donorindex_dataelementcitations.pdf,30610e536354de9e9d87ba84148bbf729e7ff81c6a83728de2e212328a05eed5,125310
data\sea_ad\stage41abc\whitepapers\68deba1b845ee61de688d376_addetectionmethods-ccdxdescription.pdf,307b87a6a9c182cedc0a46909b05de0012a59905772881bab1a9795809a4b9b0,138815
data\sea_ad\stage41abc\whitepapers\6a457f51cdf4431cae35c90b_sea-ad_dissection_mri_neuropathanalysis_methods_063026.pdf,fd43253f4b81525c98092f8de518b499111ed1a09905a1e1c88893c2eb4ec98c,96292
data\sea_ad\stage41abc\whitepapers\6a458531b71c8d1b58bf9235_sea-ad_singlecellprofiling-awsdocumentationtutorial_06302026.pdf,1cb5dd4d44028fa96525492e0d7bf18b02254fd0637132c4fe6cace8c45e6fea,239474
data\sea_ad\stage41abc\whitepapers\6a4584cb0e0018d98867f61c_sea-ad_quantitativeneuropathology_awsdocumentationtutorial_063026.pdf,27ff2e3d4bd0fc992703c05642a8f54552bc74672246fd1abaf898a9c847650b,721321
data\sea_ad\stage41abc\whitepapers\6a458438009552b68cc82c98_sea-ad_nomenclature_versioning_063026.pdf,3c98b372fb69958d2a4ba687889ac1cb5b73dfd08bde0e268e6e269136f998b3,93122
