control_graph_id,control_type,seed,scenario_id,regulator,direction,magnitude,cell_count,donor_count,edge_count_for_regulator
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79007,degree_preserving_edge_shuffle,79007,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79007,degree_preserving_edge_shuffle,79007,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79007,degree_preserving_edge_shuffle,79007,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79007,degree_preserving_edge_shuffle,79007,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79007,degree_preserving_edge_shuffle,79007,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79007,degree_preserving_edge_shuffle,79007,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79007,degree_preserving_edge_shuffle,79007,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79007,degree_preserving_edge_shuffle,79007,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79007,degree_preserving_edge_shuffle,79007,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79007,degree_preserving_edge_shuffle,79007,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79007,degree_preserving_edge_shuffle,79007,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79007,degree_preserving_edge_shuffle,79007,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79008,degree_preserving_edge_shuffle,79008,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79008,degree_preserving_edge_shuffle,79008,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79008,degree_preserving_edge_shuffle,79008,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79008,degree_preserving_edge_shuffle,79008,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79008,degree_preserving_edge_shuffle,79008,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79008,degree_preserving_edge_shuffle,79008,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79008,degree_preserving_edge_shuffle,79008,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79008,degree_preserving_edge_shuffle,79008,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79008,degree_preserving_edge_shuffle,79008,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79008,degree_preserving_edge_shuffle,79008,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79008,degree_preserving_edge_shuffle,79008,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79008,degree_preserving_edge_shuffle,79008,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79009,degree_preserving_edge_shuffle,79009,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79009,degree_preserving_edge_shuffle,79009,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79009,degree_preserving_edge_shuffle,79009,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79009,degree_preserving_edge_shuffle,79009,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79009,degree_preserving_edge_shuffle,79009,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79009,degree_preserving_edge_shuffle,79009,ELF1_down_0p10,ELF1,down,0.1,32,6,23
