batch_id,tf,chunk_index_for_tf,n_target_genes,n_regions,bed_path,tf_path,gene_path,manifest_path,completed
1,IRF8,1,22,67,results/stage75f_batches/stage75f_batch_0001_IRF8.regions.bed,results/stage75f_batches/stage75f_batch_0001_IRF8.tf.txt,results/stage75f_batches/stage75f_batch_0001_IRF8.genes.txt,results/stage75f_batches/stage75f_batch_0001_IRF8.manifest.json,False
2,STAT1,1,27,82,results/stage75f_batches/stage75f_batch_0002_STAT1.regions.bed,results/stage75f_batches/stage75f_batch_0002_STAT1.tf.txt,results/stage75f_batches/stage75f_batch_0002_STAT1.genes.txt,results/stage75f_batches/stage75f_batch_0002_STAT1.manifest.json,False
3,BACH1,1,29,82,results/stage75f_batches/stage75f_batch_0003_BACH1.regions.bed,results/stage75f_batches/stage75f_batch_0003_BACH1.tf.txt,results/stage75f_batches/stage75f_batch_0003_BACH1.genes.txt,results/stage75f_batches/stage75f_batch_0003_BACH1.manifest.json,False
4,CEBPA,1,19,57,results/stage75f_batches/stage75f_batch_0004_CEBPA.regions.bed,results/stage75f_batches/stage75f_batch_0004_CEBPA.tf.txt,results/stage75f_batches/stage75f_batch_0004_CEBPA.genes.txt,results/stage75f_batches/stage75f_batch_0004_CEBPA.manifest.json,False
5,ELF1,1,33,91,results/stage75f_batches/stage75f_batch_0005_ELF1.regions.bed,results/stage75f_batches/stage75f_batch_0005_ELF1.tf.txt,results/stage75f_batches/stage75f_batch_0005_ELF1.genes.txt,results/stage75f_batches/stage75f_batch_0005_ELF1.manifest.json,False
6,MITF,1,26,73,results/stage75f_batches/stage75f_batch_0006_MITF.regions.bed,results/stage75f_batches/stage75f_batch_0006_MITF.tf.txt,results/stage75f_batches/stage75f_batch_0006_MITF.genes.txt,results/stage75f_batches/stage75f_batch_0006_MITF.manifest.json,False
7,NRF1,1,29,76,results/stage75f_batches/stage75f_batch_0007_NRF1.regions.bed,results/stage75f_batches/stage75f_batch_0007_NRF1.tf.txt,results/stage75f_batches/stage75f_batch_0007_NRF1.genes.txt,results/stage75f_batches/stage75f_batch_0007_NRF1.manifest.json,False
8,RELA,1,30,81,results/stage75f_batches/stage75f_batch_0008_RELA.regions.bed,results/stage75f_batches/stage75f_batch_0008_RELA.tf.txt,results/stage75f_batches/stage75f_batch_0008_RELA.genes.txt,results/stage75f_batches/stage75f_batch_0008_RELA.manifest.json,False
9,SPI1,1,32,86,results/stage75f_batches/stage75f_batch_0009_SPI1.regions.bed,results/stage75f_batches/stage75f_batch_0009_SPI1.tf.txt,results/stage75f_batches/stage75f_batch_0009_SPI1.genes.txt,results/stage75f_batches/stage75f_batch_0009_SPI1.manifest.json,False
10,STAT3,1,31,84,results/stage75f_batches/stage75f_batch_0010_STAT3.regions.bed,results/stage75f_batches/stage75f_batch_0010_STAT3.tf.txt,results/stage75f_batches/stage75f_batch_0010_STAT3.genes.txt,results/stage75f_batches/stage75f_batch_0010_STAT3.manifest.json,False
