control_graph_id,control_type,seed,edge_count,referenced_frozen_real_results,swap_attempts,accepted_swaps,rejected_duplicate_edges,rejected_invalid_self_edges,rejected_same_tf,final_edge_overlap_with_real,label_shuffle_attempts,tf_label_changed_fraction,exact_match_count,expanded_match_count,maximum_stratum_distance,mean_stratum_distance,unavailable_match_count
real_graph,real_graph,,53,True,,,,,,,,,,,,,
no_graph,no_graph,,0,,,,,,,,,,,,,,
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,53,,20000.0,755.0,12587.0,0.0,6658.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79002,degree_preserving_edge_shuffle,79002,53,,20000.0,773.0,12482.0,0.0,6745.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79003,degree_preserving_edge_shuffle,79003,53,,20000.0,728.0,12674.0,0.0,6598.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79004,degree_preserving_edge_shuffle,79004,53,,20000.0,715.0,12503.0,0.0,6782.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79005,degree_preserving_edge_shuffle,79005,53,,20000.0,702.0,12589.0,0.0,6709.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79006,degree_preserving_edge_shuffle,79006,53,,20000.0,785.0,12377.0,0.0,6838.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79007,degree_preserving_edge_shuffle,79007,53,,20000.0,722.0,12714.0,0.0,6564.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79008,degree_preserving_edge_shuffle,79008,53,,20000.0,740.0,12616.0,0.0,6644.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79009,degree_preserving_edge_shuffle,79009,53,,20000.0,745.0,12417.0,0.0,6838.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79010,degree_preserving_edge_shuffle,79010,53,,20000.0,691.0,12535.0,0.0,6774.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79011,degree_preserving_edge_shuffle,79011,53,,20000.0,750.0,12542.0,0.0,6708.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79012,degree_preserving_edge_shuffle,79012,53,,20000.0,746.0,12510.0,0.0,6744.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79013,degree_preserving_edge_shuffle,79013,53,,20000.0,752.0,12522.0,0.0,6726.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79014,degree_preserving_edge_shuffle,79014,53,,20000.0,716.0,12619.0,0.0,6665.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79015,degree_preserving_edge_shuffle,79015,53,,20000.0,740.0,12493.0,0.0,6767.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79016,degree_preserving_edge_shuffle,79016,53,,20000.0,714.0,12521.0,0.0,6765.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79017,degree_preserving_edge_shuffle,79017,53,,20000.0,733.0,12632.0,0.0,6635.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79018,degree_preserving_edge_shuffle,79018,53,,20000.0,750.0,12495.0,0.0,6755.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79019,degree_preserving_edge_shuffle,79019,53,,20000.0,689.0,12570.0,0.0,6741.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79020,degree_preserving_edge_shuffle,79020,53,,20000.0,744.0,12539.0,0.0,6717.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79021,degree_preserving_edge_shuffle,79021,53,,20000.0,708.0,12477.0,0.0,6815.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79022,degree_preserving_edge_shuffle,79022,53,,20000.0,710.0,12576.0,0.0,6714.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79023,degree_preserving_edge_shuffle,79023,53,,20000.0,736.0,12584.0,0.0,6680.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79024,degree_preserving_edge_shuffle,79024,53,,20000.0,758.0,12668.0,0.0,6574.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79025,degree_preserving_edge_shuffle,79025,53,,20000.0,779.0,12533.0,0.0,6688.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79026,degree_preserving_edge_shuffle,79026,53,,20000.0,710.0,12655.0,0.0,6636.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79027,degree_preserving_edge_shuffle,79027,53,,20000.0,743.0,12505.0,0.0,6752.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79028,degree_preserving_edge_shuffle,79028,53,,20000.0,772.0,12510.0,0.0,6718.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79029,degree_preserving_edge_shuffle,79029,53,,20000.0,728.0,12580.0,0.0,6692.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79030,degree_preserving_edge_shuffle,79030,53,,20000.0,735.0,12555.0,0.0,6710.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79031,degree_preserving_edge_shuffle,79031,53,,20000.0,705.0,12529.0,0.0,6766.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79032,degree_preserving_edge_shuffle,79032,53,,20000.0,758.0,12554.0,0.0,6688.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79033,degree_preserving_edge_shuffle,79033,53,,20000.0,736.0,12697.0,0.0,6567.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79034,degree_preserving_edge_shuffle,79034,53,,20000.0,721.0,12414.0,0.0,6865.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79035,degree_preserving_edge_shuffle,79035,53,,20000.0,784.0,12555.0,0.0,6661.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79036,degree_preserving_edge_shuffle,79036,53,,20000.0,747.0,12612.0,0.0,6641.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79037,degree_preserving_edge_shuffle,79037,53,,20000.0,694.0,12494.0,0.0,6812.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79038,degree_preserving_edge_shuffle,79038,53,,20000.0,725.0,12648.0,0.0,6627.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79039,degree_preserving_edge_shuffle,79039,53,,20000.0,753.0,12490.0,0.0,6757.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79040,degree_preserving_edge_shuffle,79040,53,,20000.0,748.0,12538.0,0.0,6714.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79041,degree_preserving_edge_shuffle,79041,53,,20000.0,705.0,12580.0,0.0,6715.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79042,degree_preserving_edge_shuffle,79042,53,,20000.0,759.0,12566.0,0.0,6675.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79043,degree_preserving_edge_shuffle,79043,53,,20000.0,708.0,12469.0,0.0,6823.0,49.0,,,,,,,
