dataset_id,dataset_name,matrix_local_path,n_genes_raw,n_genes_aligned,gene_overlap_fraction,gene_overlap_status,missing_gene_count,gene_alignment_method,mouse_ortholog_warning,included_in_pretraining_matrix,exclusion_reason
Olah_live_microglia,Olah live human microglia,data\external\cellxgene\olah_live_microglia.h5ad,0,0,0.0,not_evaluated_excluded_or_unsupported,2957,case_insensitive_hgnc_intersect_only,,False,not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85
,,data\external\cellxgene\rexach_cross_dementia.h5ad,0,0,0.0,not_evaluated_excluded_or_unsupported,2957,case_insensitive_hgnc_intersect_only,,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85
GSE174367,Morabito prefrontal cortex snRNA-seq,data\external\gse174367\GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5,0,0,0.0,not_evaluated_excluded_or_unsupported,2957,case_insensitive_hgnc_intersect_only,,False,not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85
,,data\processed\sea_ad_mtg_contiguous_10k_hvg3k.h5ad,0,0,0.0,not_evaluated_excluded_or_unsupported,2957,case_insensitive_hgnc_intersect_only,,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85
,,data\processed\sea_ad_mtg_microglia_pvm_10k_hvg3k.h5ad,0,0,0.0,not_evaluated_excluded_or_unsupported,2957,case_insensitive_hgnc_intersect_only,,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85
,,data\processed\sea_ad_mtg_microglia_pvm_10k_hvg3k_module_preserved.h5ad,0,0,0.0,not_evaluated_excluded_or_unsupported,2957,case_insensitive_hgnc_intersect_only,,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85
,,data\processed\sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad,0,0,0.0,not_evaluated_excluded_or_unsupported,2957,case_insensitive_hgnc_intersect_only,,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85
,,data\processed\sea_ad_mtg_microglia_pvm_all_hvg3k_module_preserved.h5ad,0,0,0.0,not_evaluated_excluded_or_unsupported,2957,case_insensitive_hgnc_intersect_only,,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85
,,data\processed\sea_ad_mtg_microglia_pvm_smoke_hvg200.h5ad,0,0,0.0,not_evaluated_excluded_or_unsupported,2957,case_insensitive_hgnc_intersect_only,,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85
Olah_live_microglia,Olah live human microglia,data\processed\v2_alignment\olah_live_microglia_microglia_jepa_aligned.h5ad,0,0,0.0,not_evaluated_excluded_or_unsupported,2957,case_insensitive_hgnc_intersect_only,,False,not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85
