Gene,Age at Death,Age at Death p,donor_mean_total_counts_proxy,donor_mean_total_counts_proxy p,donor_median_total_counts_proxy,donor_median_total_counts_proxy p,donor_mean_n_genes_detected_proxy,donor_mean_n_genes_detected_proxy p,donor_median_n_genes_detected_proxy,donor_median_n_genes_detected_proxy p,n_cells,n_cells p,Sex,Sex p,n_donors,Status,Warning Details
APOE,-0.10339277237738094,0.3493128270510998,-0.1387668320340184,0.20807987916202664,-0.15415612027943706,0.16148979404682265,-0.09822820694542878,0.3740357955047511,-0.09935353884215781,0.3685602405470678,-0.0397300704435599,0.7197314478232822,-0.2251931075460487,0.08344903576273113,84,CLEARED,
APP,-0.09589172810686505,0.38556113634071654,0.07020350308798218,0.5257099510656456,0.06499949377341298,0.5569179123993216,0.11448820492052242,0.29973884737866857,0.11265737559326301,0.3075846698508049,0.056608262958701173,0.6090291635500539,0.033868092691622165,0.7976059232396007,84,CLEARED,
CD4,0.22335879797407732,0.041119529462976756,0.37697681482231454,0.00040834230423020224,0.3719347980155918,0.0004946759012906113,0.41146096993014075,0.00010094838634379067,0.4035598394690277,0.00014095013396437983,-0.009811018924518232,0.9294202760361863,-0.03743315508021394,0.7764692794393512,84,WARNING: Technical Artifact,donor_mean_total_counts_proxy rho=0.377 p=0.00041; donor_median_total_counts_proxy rho=0.372 p=0.00049; donor_mean_n_genes_detected_proxy rho=0.411 p=0.0001; donor_median_n_genes_detected_proxy rho=0.404 p=0.00014
TLR2,-0.045807052781704355,0.6790533777746169,0.19289257871823431,0.07875607071702577,0.20040498126961628,0.06757792404881306,0.1918801255441936,0.08036941411769072,0.2071510653939212,0.058666214293396926,-0.15313896928105084,0.16430743676031254,0.1538918597742127,0.23740946052485934,84,CLEARED,
