candidate_id,target,iba1_score,n_donors,stage27c_iba1_score,delta_vs_stage27c,stage39e_iba1_score,delta_vs_stage39e,stage41b_iba1_score,delta_vs_stage41b,iba1_nonnegative,iba1_materially_improved,interpretation
blend_stage41b_with_stage27c,Iba1,0.015227295737572137,84,0.016077756403766325,-0.0008504606661941874,0.056974172849842526,-0.04174687711227039,0.03239850156930242,-0.017171205831730284,True,False,Iba1 guard not met
blend_stage41b_with_stage27c_and_stage39e_pca8,Iba1,0.020937531639161688,84,0.016077756403766325,0.004859775235395363,0.056974172849842526,-0.03603664121068084,0.03239850156930242,-0.011460969930140733,True,True,Iba1 nonnegative and improved vs Stage27C
blend_stage41b_with_stage39e_pca8,Iba1,0.035557355472309406,84,0.016077756403766325,0.01947959906854308,0.056974172849842526,-0.02141681737753312,0.03239850156930242,0.003158853903006985,True,True,Iba1 nonnegative and improved vs Stage27C
guard_aware_target_specific_blend,Iba1,0.018345651513617497,84,0.016077756403766325,0.0022678951098511722,0.056974172849842526,-0.03862852133622503,0.03239850156930242,-0.014052850055684924,True,True,Iba1 nonnegative and improved vs Stage27C
latent_only_control,Iba1,0.01972258783031285,84,0.016077756403766325,0.003644831426546525,0.056974172849842526,-0.03725158501952967,0.03239850156930242,-0.012675913738989571,True,True,Iba1 nonnegative and improved vs Stage27C
latent_plus_stable_metadata_bagged_ridge,Iba1,-0.018487394957983194,84,0.016077756403766325,-0.03456515136174952,0.056974172849842526,-0.07546156780782572,0.03239850156930242,-0.05088589652728562,False,False,Iba1 guard not met
latent_plus_stable_metadata_pruned,Iba1,-0.14069049306469578,84,0.016077756403766325,-0.1567682494684621,0.056974172849842526,-0.1976646659145383,0.03239850156930242,-0.17308899463399818,False,False,Iba1 guard not met
latent_plus_stable_metadata_shared_alpha,Iba1,0.07662245621140024,84,0.016077756403766325,0.06054469980763391,0.056974172849842526,0.01964828336155771,0.03239850156930242,0.044223954642097815,True,True,Iba1 nonnegative and improved vs Stage27C
latent_plus_stable_metadata_strong_ridge,Iba1,-0.009881542978637237,84,0.016077756403766325,-0.025959299382403562,0.056974172849842526,-0.06685571582847977,0.03239850156930242,-0.042280044547939655,False,False,Iba1 guard not met
latent_plus_stable_metadata_target_specific_alpha,Iba1,-0.14069049306469578,84,0.016077756403766325,-0.1567682494684621,0.056974172849842526,-0.1976646659145383,0.03239850156930242,-0.17308899463399818,False,False,Iba1 guard not met
metadata_only_control,Iba1,-0.13062670851473118,84,0.016077756403766325,-0.1467044649184975,0.056974172849842526,-0.1876008813645737,0.03239850156930242,-0.1630252100840336,False,False,Iba1 guard not met
stage27c_reference,Iba1,0.016077756403766325,84,0.016077756403766325,0.0,0.056974172849842526,-0.0408964164460762,0.03239850156930242,-0.016320745165536096,True,False,Iba1 guard not met
stage39e_pca8_reference,Iba1,0.056974172849842526,84,0.016077756403766325,0.0408964164460762,0.056974172849842526,0.0,0.03239850156930242,0.024575671280540105,True,True,Iba1 nonnegative and improved vs Stage27C
stage41b_latent_plus_safe_metadata_original,Iba1,0.03239850156930242,84,0.016077756403766325,0.016320745165536096,0.056974172849842526,-0.024575671280540105,0.03239850156930242,0.0,True,True,Iba1 nonnegative and improved vs Stage27C
stage41b_latent_plus_safe_metadata_plus_mri_original,Iba1,0.07548850865647465,84,0.016077756403766325,0.059410752252708324,0.056974172849842526,0.018514335806632122,0.03239850156930242,0.04309000708717223,True,True,Iba1 nonnegative and improved vs Stage27C
target_shuffled_control,Iba1,-0.022881441733319834,84,0.016077756403766325,-0.03895919813708616,0.056974172849842526,-0.07985561458316236,0.03239850156930242,-0.05527994330262226,False,False,Iba1 guard not met
