HVS_operators_measured_scalar,NPH52_operators_measured_scalar,SEA_AD_operators_measured_scalar,n,drift_mean,drift_med,drift_p95
24,7,11,17186,0.015937181732398463,0.015924695000000003,0.016452879
0,7,11,9714,0.01930016442382129,0.0192908455,0.02003240255
0,0,11,4710,0.01939959636072187,0.0193978435,0.020125846699999998
0,7,0,2030,0.014796276964039408,0.0147903705,0.01538446565
0,6,11,868,0.019303805603686636,0.0193126525,0.02002683165
24,0,0,730,0.017004027953424657,0.016986520999999997,0.01767516795
0,1,0,602,0.0068077732737541535,0.0065693243,0.0081608021
0,5,11,574,0.01931354168292683,0.019294454000000003,0.02010339695
0,6,0,511,0.01424817143737769,0.014264809,0.01481575525
0,2,0,473,0.009796098945031712,0.009741105,0.0106775902
0,3,0,455,0.011528375138461538,0.011505371,0.012235323
0,4,11,438,0.01933874058675799,0.019353573,0.0200412301
0,5,0,422,0.013526151213270143,0.0135263195,0.014242274749999999
24,0,11,411,0.016050533698296836,0.016045798,0.0165725285
0,4,0,401,0.012683593832917707,0.012671216,0.013361943
0,3,11,348,0.019356435603448276,0.019324254,0.02015014045
0,2,11,342,0.019381947418128657,0.019381040500000002,0.0200442925
0,1,11,325,0.01939964228,0.019373344,0.0201307756
0,0,0,289,3.548288373010381e-05,3.490899e-05,4.568614879999997e-05
24,7,0,206,0.016654026019417477,0.0166498505,0.01727249925
24,6,11,63,0.01597859534920635,0.015950423,0.0165054094
24,5,11,38,0.01593756810526316,0.015926206499999998,0.016462860899999997
24,4,11,27,0.016016746407407408,0.016010482,0.0164788295
24,3,11,15,0.015974960733333335,0.015974471,0.016473808399999998
24,1,0,14,0.016715849714285715,0.016749,0.0172637135
24,1,11,9,0.016050788222222223,0.015930865,0.0165606692
24,3,0,9,0.016996785,0.01716591,0.0175386896
24,2,11,8,0.01607116725,0.016083655500000002,0.01659113275
24,6,0,7,0.016696276,0.016469805,0.0174309863
24,2,0,5,0.0168240272,0.016665194,0.0171890628
24,5,0,4,0.01688140075,0.017003242000000002,0.01719532265
24,4,0,4,0.0169689055,0.016861081,0.0174358315
