<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: FOUNDATION_DISCOVERY_EXPRESSION_41K_LOG1P10K.zip.parts.sha256.csv>index,file,bytes,sha256
0,FOUNDATION_DISCOVERY_EXPRESSION_41K_LOG1P10K.zip,607959761,63239898B9C93F29C20B62B84DC9B94C2C87E3E3F2B7958B7435847E3B9541F7
1,FOUNDATION_DISCOVERY_EXPRESSION_41K_LOG1P10K.zip.part001,303979881,B8163F53A27F7CB1B526F8311D1B46B599502596C5D0BE74FA588747A4E72B2E
2,FOUNDATION_DISCOVERY_EXPRESSION_41K_LOG1P10K.zip.part002,303979880,5BC2EC30FB374B15F1C5A4764E1856B0664C13513462EF2F7E224C4B6F856875
