donor_id,at8_available,cells_any,cells_mtg_matrix,cells_mtg_operator31,cells_immune_any_partition,cells_v20_predicate,age_sex_in_frozen_authority,age,sex
H20.33.002,True,0,0,0,0,0,False,,
H20.33.005,True,112994,25872,25872,807,0,False,,
H20.33.014,True,52442,21138,21138,262,0,False,,
H20.33.015,True,140878,16206,16206,348,0,False,,
H20.33.016,True,153418,17704,17704,264,0,False,,
H20.33.019,True,157795,17877,17877,339,0,False,,
H20.33.025,True,0,0,0,0,0,False,,
H20.33.028,True,55553,7804,7804,1015,0,False,,
H20.33.032,True,41471,13634,13634,210,0,False,,
H20.33.033,True,81642,4225,4225,168,0,False,,
H20.33.034,True,42530,16532,16532,345,0,False,,
H20.33.045,True,28901,7520,7520,243,0,False,,
H20.33.046,True,0,0,0,0,0,False,,
H21.33.003,True,0,0,0,0,0,False,,
H21.33.004,True,150372,15157,15157,322,0,False,,
H21.33.006,True,0,0,0,0,0,False,,
H21.33.007,True,44161,16326,16326,352,0,False,,
H21.33.008,True,0,0,0,0,0,False,,
H21.33.011,True,0,0,0,0,0,False,,
H21.33.013,True,80685,11712,11712,474,0,False,,
H21.33.015,True,50642,17327,17327,434,0,False,,
H21.33.016,True,0,0,0,0,0,False,,
H21.33.019,True,153653,23533,23533,268,0,False,,
H21.33.020,True,7074,1409,1409,94,0,False,,
H21.33.021,True,30919,11524,11524,245,0,False,,
H21.33.022,True,0,0,0,0,0,False,,
H21.33.023,True,0,0,0,0,0,False,,
H21.33.026,True,124957,10563,10563,294,0,False,,
H21.33.027,True,0,0,0,0,0,False,,
H21.33.029,True,40977,8364,8364,184,0,False,,
H21.33.030,True,40527,10543,10543,246,0,False,,
H21.33.031,True,44374,14705,14705,403,0,False,,
H21.33.037,True,0,0,0,0,0,False,,
H21.33.038,True,0,0,0,0,0,False,,
H21.33.041,True,0,0,0,0,0,False,,
H21.33.044,True,0,0,0,0,0,False,,
H21.33.045,True,0,0,0,0,0,False,,
H21.33.046,True,23675,5447,5447,248,0,False,,
