panel,pair,joint_genes,pearson,spearman,exact_null_p95_pear,exact_null_p95_spear,exact_rank_pear,exact_rank_spear
0,HVS_VS_NPH52,1909,0.9389372636328636,0.8666666666666665,0.7036650125087669,0.5515151515151515,1,1
0,HVS_VS_SEA_AD,1909,0.9409806972267495,0.9878787878787878,0.518907345549739,0.6606060606060605,1,1
0,NPH52_VS_SEA_AD,1909,0.8823746473026947,0.8787878787878788,0.578322261146218,0.5430303030303028,2,1
1,HVS_VS_NPH52,1893,0.9819450168056562,0.9272727272727272,0.7446615737284361,0.5660606060606059,1,1
1,HVS_VS_SEA_AD,1893,0.9468551950359501,0.9515151515151514,0.45839874498016037,0.6242424242424242,1,1
1,NPH52_VS_SEA_AD,1893,0.9042014089035121,0.9393939393939393,0.5514746964209849,0.5648484848484847,1,1
2,HVS_VS_NPH52,1905,0.9618346566086687,0.8666666666666665,0.7830676787953219,0.5321212121212118,1,2
2,HVS_VS_SEA_AD,1905,0.9175660777983339,0.9393939393939393,0.4548816191870987,0.5915151515151512,1,1
2,NPH52_VS_SEA_AD,1905,0.8355127142007966,0.709090909090909,0.559556633002789,0.5903030303030301,3,4
3,HVS_VS_NPH52,1924,0.9740974060676674,0.9515151515151514,0.7007389658041211,0.5769696969696968,1,1
3,HVS_VS_SEA_AD,1924,0.9521080136768818,0.8787878787878788,0.5078124481317481,0.6278787878787876,2,1
3,NPH52_VS_SEA_AD,1924,0.8978847127500098,0.8545454545454544,0.547096082253887,0.6521212121212118,1,1
