class,mapping,median,min,max
Neuronal: GABAergic,GLOBAL_FREEZE_ROW,-0.000204,-0.012344,0.012656
Neuronal: GABAergic,RESET_SAMPLE_ROW_ALIAS,0.407808,0.388921,0.465949
Neuronal: Glutamatergic,GLOBAL_FREEZE_ROW,-0.001477,-0.012047,0.009224
Neuronal: Glutamatergic,RESET_SAMPLE_ROW_ALIAS,0.328214,0.298204,0.413047
