"source_path","source_sha256","snapshot_path","snapshot_sha256","byte_identical"
"scripts/v4/prepare_contextual_target_f1_real_forward_preflight_v1.py","840d371261ddd78b9eb57e292dc1ddf23d42106f13950b78955543ecd88026eb","source_snapshots/scripts__v4__prepare_contextual_target_f1_real_forward_preflight_v1.py","840d371261ddd78b9eb57e292dc1ddf23d42106f13950b78955543ecd88026eb","True"
"scripts/v4/freeze_contextual_target_f1_materialized_reader_plan_v1.py","a78c3a54aee7846de06982232440e898ca4642776b9e126585d0089e1e089a08","source_snapshots/scripts__v4__freeze_contextual_target_f1_materialized_reader_plan_v1.py","a78c3a54aee7846de06982232440e898ca4642776b9e126585d0089e1e089a08","True"
"scripts/v4/contextual_target_f1_preflight_core_v1.py","000600b1de55165f17ffd9f2edd287264148c2e22604b36d47b1ad1e0dba8cea","source_snapshots/scripts__v4__contextual_target_f1_preflight_core_v1.py","000600b1de55165f17ffd9f2edd287264148c2e22604b36d47b1ad1e0dba8cea","True"
"scripts/v4/contextual_target_f1_preflight_executor_v1.py","9d82d0de48591eff705da41faf4a0235ca657a882000ce5f1264564ae18583b8","source_snapshots/scripts__v4__contextual_target_f1_preflight_executor_v1.py","9d82d0de48591eff705da41faf4a0235ca657a882000ce5f1264564ae18583b8","True"
"scripts/v4/run_contextual_target_f1_real_forward_preflight_v1.py","ebe724c9e0070c8b8aec370f5ea97a05f5ba18b979ec593c5c4820e48542548e","source_snapshots/scripts__v4__run_contextual_target_f1_real_forward_preflight_v1.py","ebe724c9e0070c8b8aec370f5ea97a05f5ba18b979ec593c5c4820e48542548e","True"
"scripts/v4/finalize_contextual_target_f1_real_forward_preflight_v1.py","9f5e00ba8ffc5136bf9c3b987034aa6b7e506568b32d8186413e97cfbdeba86b","source_snapshots/scripts__v4__finalize_contextual_target_f1_real_forward_preflight_v1.py","9f5e00ba8ffc5136bf9c3b987034aa6b7e506568b32d8186413e97cfbdeba86b","True"
"scripts/v4/validate_implementation_verifier_report_v1.py","48dfa7b0e94b2fdec88f013ccb18c075b14d4a23a1c38acc610ff21e46a6ea30","source_snapshots/scripts__v4__validate_implementation_verifier_report_v1.py","48dfa7b0e94b2fdec88f013ccb18c075b14d4a23a1c38acc610ff21e46a6ea30","True"
"src/sea_ad_jepa/v4/contextual_query_local.py","a800c70c376abfc37adff60a4793e81073699ffd5303884a93a3788718795ff1","source_snapshots/src__sea_ad_jepa__v4__contextual_query_local.py","a800c70c376abfc37adff60a4793e81073699ffd5303884a93a3788718795ff1","True"
"src/sea_ad_jepa/v4/ipb_jepa.py","f5bdfb735d54982020abc1d8c3364e0f26cc3fe2726e0aadd29a38749bf4e6fd","source_snapshots/src__sea_ad_jepa__v4__ipb_jepa.py","f5bdfb735d54982020abc1d8c3364e0f26cc3fe2726e0aadd29a38749bf4e6fd","True"
"src/sea_ad_jepa/v4/gene_tokenizer.py","dd7485c681896e0e650f987705994c765be7a0fb6174f12d76669631bef7d55e","source_snapshots/src__sea_ad_jepa__v4__gene_tokenizer.py","dd7485c681896e0e650f987705994c765be7a0fb6174f12d76669631bef7d55e","True"
"src/sea_ad_jepa/v4/contracts.py","bc72758f89e028c15cfbb6c81aed384cfcd0e6c86da45e7c3b3be895bc390c3b","source_snapshots/src__sea_ad_jepa__v4__contracts.py","bc72758f89e028c15cfbb6c81aed384cfcd0e6c86da45e7c3b3be895bc390c3b","True"
"tests/test_contextual_target_f1_preflight_core_v1.py","dbf42093a25412284f5b3735de661b2155842446c1f6c2d5539c885d7c0f01ad","source_snapshots/tests__test_contextual_target_f1_preflight_core_v1.py","dbf42093a25412284f5b3735de661b2155842446c1f6c2d5539c885d7c0f01ad","True"
"tests/test_contextual_target_f1_preflight_executor_v1.py","a01f915cb678721aa9577670d14a29a06b1e8e97bcbbbdd6b10428643c86913d","source_snapshots/tests__test_contextual_target_f1_preflight_executor_v1.py","a01f915cb678721aa9577670d14a29a06b1e8e97bcbbbdd6b10428643c86913d","True"
"tests/test_contextual_target_f1_preflight_finalize_v1.py","50586bbef779840423aa9a429537e7148599dd0fb3179ca4884a65a9c8fd02cf","source_snapshots/tests__test_contextual_target_f1_preflight_finalize_v1.py","50586bbef779840423aa9a429537e7148599dd0fb3179ca4884a65a9c8fd02cf","True"
"tests/test_implementation_verifier_governance_v1.py","2911e5dd6343bb86d778168d49944ae10d6a6add32b773f543c938357e10e4ad","source_snapshots/tests__test_implementation_verifier_governance_v1.py","2911e5dd6343bb86d778168d49944ae10d6a6add32b773f543c938357e10e4ad","True"
"tests/test_verifier_f1_real_reader_forward_preflight_v1.py","0a301e0f3cd01b405e136dad933c2e875ac549084fcadec4adf14fb81690d2f2","source_snapshots/tests__test_verifier_f1_real_reader_forward_preflight_v1.py","0a301e0f3cd01b405e136dad933c2e875ac549084fcadec4adf14fb81690d2f2","True"
"tests/test_verifier_f1_preflight_external_repair_v1.py","8c6fd7d3aeca127100ffa6b2973ce18a4e478126e777137261a1d41a9d4020e8","source_snapshots/tests__test_verifier_f1_preflight_external_repair_v1.py","8c6fd7d3aeca127100ffa6b2973ce18a4e478126e777137261a1d41a9d4020e8","True"
