artifact,sha256,status
local_conflicting_TD19_positive,e413fee49ee73247f4daaf58c5a786ab0f9ccc0a6c1bcd686c14aa49bc95ca30,QUARANTINED_UNREPRODUCED
durable_TD19_pseudobulk_blob,3dfa1e17ef5ea288adc164ec858a735e3d7a7ea8,HISTORICAL_SOURCE_OF_TRUTH
independent_nuisance_composition_decision,895043fcb059068afd811ab9299bc8af8d1dd765ebc1b34c826d77225db92e71,FALSIFICATION_ONLY
independent_estimability_summary,78de9d711f303db9bbde37e71ebd84b76322c1a89157344a0b8d2e1b3df0d72c,FALSIFICATION_ONLY
independent_within_donor_pearson_summary,fa86bae4fe03e7e6384f21750c2b2255579bcf3aa3b97d44b47e92d8fba242d8,FALSIFICATION_ONLY
independent_within_donor_spearman_summary,ad0e0a65a92a74e0446f108e1b893c3ac274e0441b4b2b478cb1aba95c9173ea,FALSIFICATION_ONLY
