preprocess,subset,n_panels,median_r,min_r,max_r,median_null_p95,max_empirical_p
RAW,ALL19,4,0.851923,0.832684,0.859393,0.375780,0.000999
RAW,GABA,4,0.787551,0.737898,0.824983,0.641640,0.023976
RAW,GLUT,4,0.937286,0.930591,0.966484,0.601108,0.001998
STATE_DEPTH_DET_RESID,ALL19,4,0.803842,0.788769,0.809766,0.364863,0.000999
STATE_DEPTH_DET_RESID,GABA,4,0.735251,0.724435,0.782080,0.524270,0.005994
STATE_DEPTH_DET_RESID,GLUT,4,0.920890,0.907176,0.931007,0.581597,0.000999
