sample_id,condition,replicate,amyloid,compound,file,file_sha256,total_counts,genes_detected
NT_rep1,NT,rep1,False,,NT_rep1ReadsPerGene.out.tab,e2576d1a06e6a1a2f9a3861365fa7a3e51bce90c1ba91dcaa08357ed4b9b02ca,23843722,26671
NT_rep2,NT,rep2,False,,NT_rep2ReadsPerGene.out.tab,06f0808140ad0c0a95b3c07d6412bfc4104f472734989bb6d60d1635888eb264,22801044,26507
NT_rep3,NT,rep3,False,,NT_rep3ReadsPerGene.out.tab,81385ca20c1cc9879a0b0fda7b06cce269cea520039fb516a703e20fdf6fc67c,27329928,27465
AB_rep1,AB,rep1,True,,AB_rep1ReadsPerGene.out.tab,4c4402608076b7fb0761aba9480535ca99765110581f2e432f62fccefafacb13,22173446,23668
AB_rep2,AB,rep2,True,,AB_rep2ReadsPerGene.out.tab,8634a7794600690aec88afc330d728393e99f4cd9c03283837c7ba0494928cfe,22442832,24216
AB_rep3,AB,rep3,True,,AB_rep3ReadsPerGene.out.tab,3a1ca2986a79d3b6a18750b255949d3ba39389676f1a829813916a269e897038,28100004,25049
AB_GNE_rep1,AB_GNE,rep1,True,GNE-317,AB_GNE_rep1ReadsPerGene.out.tab,962cdaa3a4656d7db77a682efddb436f98711f1ae98039cca98787c1bcac9444,20160036,21338
AB_GNE_rep2,AB_GNE,rep2,True,GNE-317,AB_GNE_rep2ReadsPerGene.out.tab,d088971383da5993ef6ea9b93fb5060ffac3ee6a68ee9f546fea185d32078987,26939565,28710
AB_GNE_rep3,AB_GNE,rep3,True,GNE-317,AB_GNE_rep3ReadsPerGene.out.tab,be71bb988af174b652c9f5180a5e0a0a3a3074c5021e22cc0a1ace742fdbbcd6,30701152,27627
