tf,in_canonical_registry,molecular_address_index,rna_state,rna_microglia_state,atac_accessibility_state
BACH1,True,9895,MEASURED_DETECTED,MEASURED_DETECTED,ACCESSIBLE_PROMOTER
CEBPA,True,27199,MEASURED_DETECTED,MEASURED_DETECTED,ACCESSIBLE_PROMOTER
ELF1,True,5056,MEASURED_DETECTED,MEASURED_DETECTED,ACCESSIBLE_PROMOTER
IRF8,True,7991,MEASURED_DETECTED,MEASURED_DETECTED,ACCESSIBLE_PROMOTER
MITF,True,16010,MEASURED_DETECTED,MEASURED_DETECTED,ACCESSIBLE_PROMOTER
NRF1,True,3299,MEASURED_DETECTED,MEASURED_DETECTED,ACCESSIBLE_PROMOTER
RELA,True,13299,MEASURED_DETECTED,MEASURED_DETECTED,ACCESSIBLE_PROMOTER
SPI1,True,966,MEASURED_DETECTED,MEASURED_DETECTED,ACCESSIBLE_PROMOTER
STAT1,True,4404,MEASURED_DETECTED,MEASURED_DETECTED,ACCESSIBLE_PROMOTER
STAT3,True,12301,MEASURED_DETECTED,MEASURED_DETECTED,ACCESSIBLE_PROMOTER
