stratum,stratum_n_addresses,state_column,state,n_addresses,fraction_of_stratum
ALL,41238,rna_state,MEASURED_DETECTED,31455,0.762767
ALL,41238,rna_state,MEASURED_BUT_UNDETECTED,7626,0.184927
ALL,41238,rna_state,UNMEASURED,2122,0.051457
ALL,41238,rna_state,AMBIGUOUSLY_MAPPED,35,0.000849
ALL,41238,rna_microglia_state,MEASURED_DETECTED,24824,0.601969
ALL,41238,rna_microglia_state,MEASURED_BUT_UNDETECTED,14257,0.345725
ALL,41238,rna_microglia_state,UNMEASURED,2122,0.051457
ALL,41238,rna_microglia_state,AMBIGUOUSLY_MAPPED,35,0.000849
ALL,41238,annotation_regulatory_state,PROMOTER_SUPPORTED,25987,0.630171
ALL,41238,annotation_regulatory_state,DISTAL_CANDIDATE_ONLY,13798,0.334594
ALL,41238,annotation_regulatory_state,UNKNOWN,755,0.018308
ALL,41238,annotation_regulatory_state,NO_ANNOTATED_REGION_IN_ASSAYED_PEAK_SET,698,0.016926
ALL,41238,atac_accessibility_state,ACCESSIBLE_PROMOTER,25966,0.629662
ALL,41238,atac_accessibility_state,ACCESSIBLE_DISTAL_ONLY,13814,0.334982
ALL,41238,atac_accessibility_state,UNKNOWN,755,0.018308
ALL,41238,atac_accessibility_state,NO_ASSAYED_REGION,698,0.016926
ALL,41238,atac_accessibility_state,REGION_PRESENT_BUT_NOT_ACCESSIBLE,5,0.000121
ALL,41238,atac_microglia_accessibility_state,ACCESSIBLE_PROMOTER,25855,0.626970
ALL,41238,atac_microglia_accessibility_state,ACCESSIBLE_DISTAL_ONLY,13911,0.337334
ALL,41238,atac_microglia_accessibility_state,UNKNOWN,755,0.018308
ALL,41238,atac_microglia_accessibility_state,NO_ASSAYED_REGION,698,0.016926
ALL,41238,atac_microglia_accessibility_state,REGION_PRESENT_BUT_NOT_ACCESSIBLE,19,0.000461
ALL,41238,regulatory_evidence_state,REGULATORY_EVIDENCE_PRESENT,37971,0.920777
ALL,41238,regulatory_evidence_state,UNMEASURED,2122,0.051457
ALL,41238,regulatory_evidence_state,MAPPED_WITHOUT_REGULATORY_EVIDENCE,676,0.016393
ALL,41238,regulatory_evidence_state,UNKNOWN,434,0.010524
ALL,41238,regulatory_evidence_state,AMBIGUOUSLY_MAPPED,35,0.000849
ALL,41238,matched_rna_atac_state,ELIGIBLE_MATCHED_RNA_ATAC,37966,0.920656
ALL,41238,matched_rna_atac_state,UNMEASURED,2122,0.051457
ALL,41238,matched_rna_atac_state,NOT_ELIGIBLE_NO_ACCESSIBLE_REGION,681,0.016514
ALL,41238,matched_rna_atac_state,UNKNOWN,434,0.010524
ALL,41238,matched_rna_atac_state,AMBIGUOUSLY_MAPPED,35,0.000849
MICROGLIA_DETECTABLE,24824,rna_state,MEASURED_DETECTED,24824,1.000000
MICROGLIA_DETECTABLE,24824,rna_microglia_state,MEASURED_DETECTED,24824,1.000000
MICROGLIA_DETECTABLE,24824,annotation_regulatory_state,PROMOTER_SUPPORTED,19126,0.770464
MICROGLIA_DETECTABLE,24824,annotation_regulatory_state,DISTAL_CANDIDATE_ONLY,5313,0.214027
MICROGLIA_DETECTABLE,24824,annotation_regulatory_state,UNKNOWN,214,0.008621
MICROGLIA_DETECTABLE,24824,annotation_regulatory_state,NO_ANNOTATED_REGION_IN_ASSAYED_PEAK_SET,171,0.006888
MICROGLIA_DETECTABLE,24824,atac_accessibility_state,ACCESSIBLE_PROMOTER,19112,0.769900
MICROGLIA_DETECTABLE,24824,atac_accessibility_state,ACCESSIBLE_DISTAL_ONLY,5324,0.214470
MICROGLIA_DETECTABLE,24824,atac_accessibility_state,UNKNOWN,214,0.008621
MICROGLIA_DETECTABLE,24824,atac_accessibility_state,NO_ASSAYED_REGION,171,0.006888
MICROGLIA_DETECTABLE,24824,atac_accessibility_state,REGION_PRESENT_BUT_NOT_ACCESSIBLE,3,0.000121
MICROGLIA_DETECTABLE,24824,atac_microglia_accessibility_state,ACCESSIBLE_PROMOTER,19062,0.767886
MICROGLIA_DETECTABLE,24824,atac_microglia_accessibility_state,ACCESSIBLE_DISTAL_ONLY,5370,0.216323
MICROGLIA_DETECTABLE,24824,atac_microglia_accessibility_state,UNKNOWN,214,0.008621
MICROGLIA_DETECTABLE,24824,atac_microglia_accessibility_state,NO_ASSAYED_REGION,171,0.006888
MICROGLIA_DETECTABLE,24824,atac_microglia_accessibility_state,REGION_PRESENT_BUT_NOT_ACCESSIBLE,7,0.000282
MICROGLIA_DETECTABLE,24824,regulatory_evidence_state,REGULATORY_EVIDENCE_PRESENT,24439,0.984491
MICROGLIA_DETECTABLE,24824,regulatory_evidence_state,UNKNOWN,214,0.008621
MICROGLIA_DETECTABLE,24824,regulatory_evidence_state,MAPPED_WITHOUT_REGULATORY_EVIDENCE,171,0.006888
MICROGLIA_DETECTABLE,24824,matched_rna_atac_state,ELIGIBLE_MATCHED_RNA_ATAC,24436,0.984370
MICROGLIA_DETECTABLE,24824,matched_rna_atac_state,UNKNOWN,214,0.008621
MICROGLIA_DETECTABLE,24824,matched_rna_atac_state,NOT_ELIGIBLE_NO_ACCESSIBLE_REGION,174,0.007009
