source,target,source_idx,target_idx,support,string_score,wgcna_tom
ISG15,ISG15,0,0,identity_self_loop,,
GNB1,GNB1,1,1,identity_self_loop,,
SKI,SKI,2,2,identity_self_loop,,
CAMTA1,CAMTA1,3,3,identity_self_loop,,
SLC2A5,SLC2A5,4,4,identity_self_loop,,
MIR34AHG,MIR34AHG,5,5,identity_self_loop,,
PIK3CD,PIK3CD,6,6,identity_self_loop,,
CLSTN1,CLSTN1,7,7,identity_self_loop,,
UBE4B,UBE4B,8,8,identity_self_loop,,
KIF1B,KIF1B,9,9,identity_self_loop,,
PEX14,PEX14,10,10,identity_self_loop,,
TNFRSF1B,TNFRSF1B,11,11,identity_self_loop,,
VPS13D,VPS13D,12,12,identity_self_loop,,
DHRS3,DHRS3,13,13,identity_self_loop,,
PRDM2,PRDM2,14,14,identity_self_loop,,
KAZN,KAZN,15,15,identity_self_loop,,
TMEM51,TMEM51,16,16,identity_self_loop,,
DDI2,DDI2,17,17,identity_self_loop,,
PLEKHM2,PLEKHM2,18,18,identity_self_loop,,
SPEN,SPEN,19,19,identity_self_loop,,
FBXO42,FBXO42,20,20,identity_self_loop,,
PADI2,PADI2,21,21,identity_self_loop,,
RCC2,RCC2,22,22,identity_self_loop,,
ARHGEF10L,ARHGEF10L,23,23,identity_self_loop,,
IGSF21,IGSF21,24,24,identity_self_loop,,
UBR4,UBR4,25,25,identity_self_loop,,
CAPZB,CAPZB,26,26,identity_self_loop,,
MICOS10,MICOS10,27,27,identity_self_loop,,
LINC01141,LINC01141,28,28,identity_self_loop,,
HP1BP3,HP1BP3,29,29,identity_self_loop,,
USP48,USP48,30,30,identity_self_loop,,
CDC42,CDC42,31,31,identity_self_loop,,
C1QA,C1QA,32,32,identity_self_loop,,
C1QC,C1QC,33,33,identity_self_loop,,
C1QB,C1QB,34,34,identity_self_loop,,
EPHB2,EPHB2,35,35,identity_self_loop,,
LUZP1,LUZP1,36,36,identity_self_loop,,
HNRNPR,HNRNPR,37,37,identity_self_loop,,
RPL11,RPL11,38,38,identity_self_loop,,
SRSF10,SRSF10,39,39,identity_self_loop,,
SRRM1,SRRM1,40,40,identity_self_loop,,
RSRP1,RSRP1,41,41,identity_self_loop,,
MACO1,MACO1,42,42,identity_self_loop,,
MAN1C1,MAN1C1,43,43,identity_self_loop,,
RPS6KA1,RPS6KA1,44,44,identity_self_loop,,
ARID1A,ARID1A,45,45,identity_self_loop,,
WASF2,WASF2,46,46,identity_self_loop,,
STX12,STX12,47,47,identity_self_loop,,
EYA3,EYA3,48,48,identity_self_loop,,
PTAFR,PTAFR,49,49,identity_self_loop,,
PHACTR4,PHACTR4,50,50,identity_self_loop,,
EPB41,EPB41,51,51,identity_self_loop,,
SRSF4,SRSF4,52,52,identity_self_loop,,
LAPTM5,LAPTM5,53,53,identity_self_loop,,
PUM1,PUM1,54,54,identity_self_loop,,
PTP4A2,PTP4A2,55,55,identity_self_loop,,
KHDRBS1,KHDRBS1,56,56,identity_self_loop,,
KPNA6,KPNA6,57,57,identity_self_loop,,
ZBTB8OS,ZBTB8OS,58,58,identity_self_loop,,
RBBP4,RBBP4,59,59,identity_self_loop,,
S100PBP,S100PBP,60,60,identity_self_loop,,
PHC2,PHC2,61,61,identity_self_loop,,
ZMYM6,ZMYM6,62,62,identity_self_loop,,
SFPQ,SFPQ,63,63,identity_self_loop,,
ZMYM4,ZMYM4,64,64,identity_self_loop,,
KIAA0319L,KIAA0319L,65,65,identity_self_loop,,
AGO4,AGO4,66,66,identity_self_loop,,
AGO3,AGO3,67,67,identity_self_loop,,
THRAP3,THRAP3,68,68,identity_self_loop,,
CSF3R,CSF3R,69,69,identity_self_loop,,
INPP5B,INPP5B,70,70,identity_self_loop,,
MACF1,MACF1,71,71,identity_self_loop,,
PABPC4,PABPC4,72,72,identity_self_loop,,
CAP1,CAP1,73,73,identity_self_loop,,
RLF,RLF,74,74,identity_self_loop,,
SMAP2,SMAP2,75,75,identity_self_loop,,
NFYC,NFYC,76,76,identity_self_loop,,
SCMH1,SCMH1,77,77,identity_self_loop,,
HIVEP3,HIVEP3,78,78,identity_self_loop,,
FOXJ3,FOXJ3,79,79,identity_self_loop,,
ST3GAL3,ST3GAL3,80,80,identity_self_loop,,
ERI3,ERI3,81,81,identity_self_loop,,
RPS8,RPS8,82,82,identity_self_loop,,
EIF2B3,EIF2B3,83,83,identity_self_loop,,
PRDX1,PRDX1,84,84,identity_self_loop,,
GPBP1L1,GPBP1L1,85,85,identity_self_loop,,
MAST2,MAST2,86,86,identity_self_loop,,
MKNK1,MKNK1,87,87,identity_self_loop,,
TAL1,TAL1,88,88,identity_self_loop,,
SPATA6,SPATA6,89,89,identity_self_loop,,
AGBL4,AGBL4,90,90,identity_self_loop,,
FAF1,FAF1,91,91,identity_self_loop,,
EPS15,EPS15,92,92,identity_self_loop,,
OSBPL9,OSBPL9,93,93,identity_self_loop,,
NRDC,NRDC,94,94,identity_self_loop,,
TUT4,TUT4,95,95,identity_self_loop,,
ZYG11B,ZYG11B,96,96,identity_self_loop,,
SCP2,SCP2,97,97,identity_self_loop,,
USP24,USP24,98,98,identity_self_loop,,
DAB1,DAB1,99,99,identity_self_loop,,
MYSM1,MYSM1,100,100,identity_self_loop,,
JUN,JUN,101,101,identity_self_loop,,
FGGY,FGGY,102,102,identity_self_loop,,
NFIA,NFIA,103,103,identity_self_loop,,
TM2D1,TM2D1,104,104,identity_self_loop,,
DOCK7,DOCK7,105,105,identity_self_loop,,
ATG4C,ATG4C,106,106,identity_self_loop,,
JAK1,JAK1,107,107,identity_self_loop,,
PDE4B,PDE4B,108,108,identity_self_loop,,
MIER1,MIER1,109,109,identity_self_loop,,
GADD45A,GADD45A,110,110,identity_self_loop,,
LRRC7,LRRC7,111,111,identity_self_loop,,
SRSF11,SRSF11,112,112,identity_self_loop,,
ANKRD13C,ANKRD13C,113,113,identity_self_loop,,
ZRANB2,ZRANB2,114,114,identity_self_loop,,
NEGR1,NEGR1,115,115,identity_self_loop,,
ST6GALNAC3,ST6GALNAC3,116,116,identity_self_loop,,
AC118549.1,AC118549.1,117,117,identity_self_loop,,
USP33,USP33,118,118,identity_self_loop,,
MIGA1,MIGA1,119,119,identity_self_loop,,
FUBP1,FUBP1,120,120,identity_self_loop,,
IFI44L,IFI44L,121,121,identity_self_loop,,
IFI44,IFI44,122,122,identity_self_loop,,
PRKACB,PRKACB,123,123,identity_self_loop,,
SH3GLB1,SH3GLB1,124,124,identity_self_loop,,
HS2ST1,HS2ST1,125,125,identity_self_loop,,
PKN2,PKN2,126,126,identity_self_loop,,
LRRC8C,LRRC8C,127,127,identity_self_loop,,
LRRC8D,LRRC8D,128,128,identity_self_loop,,
ZNF644,ZNF644,129,129,identity_self_loop,,
RPAP2,RPAP2,130,130,identity_self_loop,,
EVI5,EVI5,131,131,identity_self_loop,,
RPL5,RPL5,132,132,identity_self_loop,,
DIPK1A,DIPK1A,133,133,identity_self_loop,,
MTF2,MTF2,134,134,identity_self_loop,,
CCDC18-AS1,CCDC18-AS1,135,135,identity_self_loop,,
FNBP1L,FNBP1L,136,136,identity_self_loop,,
