"guide_donor","guide_identity","donor","Gene_Targeted","crispr","n_cells","total_counts"
"ABCA1_CRISPRa_sgRNA_1||D1","ABCA1_CRISPRa_sgRNA_1","D1","ABCA1","Perturbed",8,90561
"ABCA1_CRISPRa_sgRNA_1||D2","ABCA1_CRISPRa_sgRNA_1","D2","ABCA1","Perturbed",1,9771
"ABCA1_CRISPRa_sgRNA_2||D1","ABCA1_CRISPRa_sgRNA_2","D1","ABCA1","Perturbed",12,106215
"ABCA1_CRISPRa_sgRNA_2||D2","ABCA1_CRISPRa_sgRNA_2","D2","ABCA1","Perturbed",5,59189
"ABCA1_CRISPRa_sgRNA_3||D1","ABCA1_CRISPRa_sgRNA_3","D1","ABCA1","Perturbed",6,68181
"ABCA1_CRISPRa_sgRNA_3||D2","ABCA1_CRISPRa_sgRNA_3","D2","ABCA1","Perturbed",8,78217
"ABCA1_CRISPRa_sgRNA_4||D1","ABCA1_CRISPRa_sgRNA_4","D1","ABCA1","Perturbed",3,17272
"ABCA1_CRISPRa_sgRNA_4||D2","ABCA1_CRISPRa_sgRNA_4","D2","ABCA1","Perturbed",2,15358
"ABCA1_CRISPRa_sgRNA_5||D1","ABCA1_CRISPRa_sgRNA_5","D1","ABCA1","Perturbed",3,29871
"ABCA7_CRISPRa_sgRNA_1||D1","ABCA7_CRISPRa_sgRNA_1","D1","ABCA7","Perturbed",27,249673
"ABCA7_CRISPRa_sgRNA_1||D2","ABCA7_CRISPRa_sgRNA_1","D2","ABCA7","Perturbed",10,88522
"ABCA7_CRISPRa_sgRNA_2||D1","ABCA7_CRISPRa_sgRNA_2","D1","ABCA7","Perturbed",8,66613
"ABCA7_CRISPRa_sgRNA_2||D2","ABCA7_CRISPRa_sgRNA_2","D2","ABCA7","Perturbed",7,72177
"ABCA7_CRISPRa_sgRNA_3||D1","ABCA7_CRISPRa_sgRNA_3","D1","ABCA7","Perturbed",19,156944
"ABCA7_CRISPRa_sgRNA_3||D2","ABCA7_CRISPRa_sgRNA_3","D2","ABCA7","Perturbed",5,49760
"ABCA7_CRISPRa_sgRNA_4||D1","ABCA7_CRISPRa_sgRNA_4","D1","ABCA7","Perturbed",6,55914
"ABCA7_CRISPRa_sgRNA_4||D2","ABCA7_CRISPRa_sgRNA_4","D2","ABCA7","Perturbed",4,33761
"ABCA7_CRISPRa_sgRNA_5||D1","ABCA7_CRISPRa_sgRNA_5","D1","ABCA7","Perturbed",23,214177
"ABCA7_CRISPRa_sgRNA_5||D2","ABCA7_CRISPRa_sgRNA_5","D2","ABCA7","Perturbed",11,131492
"ABI3_CRISPRa_sgRNA_1||D1","ABI3_CRISPRa_sgRNA_1","D1","ABI3","Perturbed",16,176380
"ABI3_CRISPRa_sgRNA_1||D2","ABI3_CRISPRa_sgRNA_1","D2","ABI3","Perturbed",11,105884
"ABI3_CRISPRa_sgRNA_2||D1","ABI3_CRISPRa_sgRNA_2","D1","ABI3","Perturbed",9,72296
"ABI3_CRISPRa_sgRNA_2||D2","ABI3_CRISPRa_sgRNA_2","D2","ABI3","Perturbed",9,96023
"ABI3_CRISPRa_sgRNA_3||D1","ABI3_CRISPRa_sgRNA_3","D1","ABI3","Perturbed",16,145048
"ABI3_CRISPRa_sgRNA_3||D2","ABI3_CRISPRa_sgRNA_3","D2","ABI3","Perturbed",6,64927
"ABI3_CRISPRa_sgRNA_4||D1","ABI3_CRISPRa_sgRNA_4","D1","ABI3","Perturbed",5,57222
"ABI3_CRISPRa_sgRNA_4||D2","ABI3_CRISPRa_sgRNA_4","D2","ABI3","Perturbed",4,33681
"ABI3_CRISPRa_sgRNA_5||D1","ABI3_CRISPRa_sgRNA_5","D1","ABI3","Perturbed",16,174367
"ABI3_CRISPRa_sgRNA_5||D2","ABI3_CRISPRa_sgRNA_5","D2","ABI3","Perturbed",10,88814
"ACTB_CRISPRa_sgRNA_1||D1","ACTB_CRISPRa_sgRNA_1","D1","ACTB","Perturbed",9,62420
"ACTB_CRISPRa_sgRNA_1||D2","ACTB_CRISPRa_sgRNA_1","D2","ACTB","Perturbed",5,34633
"ACTB_CRISPRa_sgRNA_2||D1","ACTB_CRISPRa_sgRNA_2","D1","ACTB","Perturbed",17,171860
"ACTB_CRISPRa_sgRNA_2||D2","ACTB_CRISPRa_sgRNA_2","D2","ACTB","Perturbed",8,81369
"ACTB_CRISPRa_sgRNA_3||D1","ACTB_CRISPRa_sgRNA_3","D1","ACTB","Perturbed",32,300063
"ACTB_CRISPRa_sgRNA_3||D2","ACTB_CRISPRa_sgRNA_3","D2","ACTB","Perturbed",14,128222
"ACTB_CRISPRa_sgRNA_4||D1","ACTB_CRISPRa_sgRNA_4","D1","ACTB","Perturbed",27,228314
"ACTB_CRISPRa_sgRNA_4||D2","ACTB_CRISPRa_sgRNA_4","D2","ACTB","Perturbed",16,160465
"ACTB_CRISPRa_sgRNA_5||D1","ACTB_CRISPRa_sgRNA_5","D1","ACTB","Perturbed",4,33688
"ADA2_CRISPRa_sgRNA_1||D1","ADA2_CRISPRa_sgRNA_1","D1","ADA2","Perturbed",49,447262
"ADA2_CRISPRa_sgRNA_1||D2","ADA2_CRISPRa_sgRNA_1","D2","ADA2","Perturbed",27,261414
"ADA2_CRISPRa_sgRNA_2||D1","ADA2_CRISPRa_sgRNA_2","D1","ADA2","Perturbed",18,176147
"ADA2_CRISPRa_sgRNA_2||D2","ADA2_CRISPRa_sgRNA_2","D2","ADA2","Perturbed",14,126019
"ADA2_CRISPRa_sgRNA_3||D1","ADA2_CRISPRa_sgRNA_3","D1","ADA2","Perturbed",26,248296
"ADA2_CRISPRa_sgRNA_3||D2","ADA2_CRISPRa_sgRNA_3","D2","ADA2","Perturbed",7,49610
"ADA2_CRISPRa_sgRNA_4||D1","ADA2_CRISPRa_sgRNA_4","D1","ADA2","Perturbed",28,249761
"ADA2_CRISPRa_sgRNA_4||D2","ADA2_CRISPRa_sgRNA_4","D2","ADA2","Perturbed",10,113595
"ADA2_CRISPRa_sgRNA_5||D1","ADA2_CRISPRa_sgRNA_5","D1","ADA2","Perturbed",26,221798
"ADA2_CRISPRa_sgRNA_5||D2","ADA2_CRISPRa_sgRNA_5","D2","ADA2","Perturbed",10,96302
"ADAM10_CRISPRa_sgRNA_1||D1","ADAM10_CRISPRa_sgRNA_1","D1","ADAM10","Perturbed",17,144770
"ADAM10_CRISPRa_sgRNA_1||D2","ADAM10_CRISPRa_sgRNA_1","D2","ADAM10","Perturbed",13,114619
"ADAM10_CRISPRa_sgRNA_2||D1","ADAM10_CRISPRa_sgRNA_2","D1","ADAM10","Perturbed",32,256965
"ADAM10_CRISPRa_sgRNA_2||D2","ADAM10_CRISPRa_sgRNA_2","D2","ADAM10","Perturbed",18,156566
"ADAM10_CRISPRa_sgRNA_3||D1","ADAM10_CRISPRa_sgRNA_3","D1","ADAM10","Perturbed",13,109799
"ADAM10_CRISPRa_sgRNA_3||D2","ADAM10_CRISPRa_sgRNA_3","D2","ADAM10","Perturbed",2,17765
"ADAM10_CRISPRa_sgRNA_4||D1","ADAM10_CRISPRa_sgRNA_4","D1","ADAM10","Perturbed",8,57022
"ADAM10_CRISPRa_sgRNA_4||D2","ADAM10_CRISPRa_sgRNA_4","D2","ADAM10","Perturbed",5,45639
"ADAM10_CRISPRa_sgRNA_5||D1","ADAM10_CRISPRa_sgRNA_5","D1","ADAM10","Perturbed",10,76185
"ADAM10_CRISPRa_sgRNA_5||D2","ADAM10_CRISPRa_sgRNA_5","D2","ADAM10","Perturbed",8,69987
"ADGRG1_CRISPRa_sgRNA_1||D1","ADGRG1_CRISPRa_sgRNA_1","D1","ADGRG1","Perturbed",5,42132
"ADGRG1_CRISPRa_sgRNA_1||D2","ADGRG1_CRISPRa_sgRNA_1","D2","ADGRG1","Perturbed",1,10993
"ADGRG1_CRISPRa_sgRNA_2||D1","ADGRG1_CRISPRa_sgRNA_2","D1","ADGRG1","Perturbed",17,162949
"ADGRG1_CRISPRa_sgRNA_2||D2","ADGRG1_CRISPRa_sgRNA_2","D2","ADGRG1","Perturbed",4,35890
"ADGRG1_CRISPRa_sgRNA_3||D1","ADGRG1_CRISPRa_sgRNA_3","D1","ADGRG1","Perturbed",4,52924
"ADGRG1_CRISPRa_sgRNA_3||D2","ADGRG1_CRISPRa_sgRNA_3","D2","ADGRG1","Perturbed",2,18324
"ADGRG1_CRISPRa_sgRNA_4||D1","ADGRG1_CRISPRa_sgRNA_4","D1","ADGRG1","Perturbed",13,110415
"ADGRG1_CRISPRa_sgRNA_4||D2","ADGRG1_CRISPRa_sgRNA_4","D2","ADGRG1","Perturbed",1,7360
"ADGRG1_CRISPRa_sgRNA_5||D1","ADGRG1_CRISPRa_sgRNA_5","D1","ADGRG1","Perturbed",17,156798
"ADGRG1_CRISPRa_sgRNA_5||D2","ADGRG1_CRISPRa_sgRNA_5","D2","ADGRG1","Perturbed",6,57841
"AIF1_CRISPRa_sgRNA_1||D1","AIF1_CRISPRa_sgRNA_1","D1","AIF1","Perturbed",7,66508
"AIF1_CRISPRa_sgRNA_1||D2","AIF1_CRISPRa_sgRNA_1","D2","AIF1","Perturbed",1,9124
"AIF1_CRISPRa_sgRNA_2||D1","AIF1_CRISPRa_sgRNA_2","D1","AIF1","Perturbed",3,27576
"AIF1_CRISPRa_sgRNA_3||D1","AIF1_CRISPRa_sgRNA_3","D1","AIF1","Perturbed",22,166090
"AIF1_CRISPRa_sgRNA_3||D2","AIF1_CRISPRa_sgRNA_3","D2","AIF1","Perturbed",6,49136
"AIF1_CRISPRa_sgRNA_4||D1","AIF1_CRISPRa_sgRNA_4","D1","AIF1","Perturbed",9,76963
"AIF1_CRISPRa_sgRNA_4||D2","AIF1_CRISPRa_sgRNA_4","D2","AIF1","Perturbed",3,16366
"AIF1_CRISPRa_sgRNA_5||D1","AIF1_CRISPRa_sgRNA_5","D1","AIF1","Perturbed",19,204884
"AIF1_CRISPRa_sgRNA_5||D2","AIF1_CRISPRa_sgRNA_5","D2","AIF1","Perturbed",7,76771
"APOC1_CRISPRa_sgRNA_1||D1","APOC1_CRISPRa_sgRNA_1","D1","APOC1","Perturbed",13,145069
"APOC1_CRISPRa_sgRNA_1||D2","APOC1_CRISPRa_sgRNA_1","D2","APOC1","Perturbed",3,26378
"APOC1_CRISPRa_sgRNA_2||D1","APOC1_CRISPRa_sgRNA_2","D1","APOC1","Perturbed",20,155230
"APOC1_CRISPRa_sgRNA_2||D2","APOC1_CRISPRa_sgRNA_2","D2","APOC1","Perturbed",5,45904
"APOC1_CRISPRa_sgRNA_3||D1","APOC1_CRISPRa_sgRNA_3","D1","APOC1","Perturbed",13,113605
