"study","assay_object","donor","target_gene","target_gene_measured","n_guides","n_cells","n_nt_guides","n_nt_cells","target_log2fc_mean","target_log2fc_sd","target_log2fc_se"
"GSE301119","CRISPRa","D1","ABCA1",TRUE,5,32,99,1446,0.874967593076647,0.644540907863844,0.288247456852597
"GSE301119","CRISPRa","D1","ABCA7",TRUE,5,83,99,1446,1.0352998649268,2.90228000514516,1.2979390762486
"GSE301119","CRISPRa","D1","ABI3",TRUE,5,62,99,1446,2.00808894239825,0.534248898171556,0.238923370643192
"GSE301119","CRISPRa","D1","ACTB",TRUE,5,89,99,1446,0.862598552213942,0.180750491203296,0.0808340770594097
"GSE301119","CRISPRa","D1","ADA2",TRUE,5,147,99,1446,1.38180968182277,0.3428766017848,0.153339077896988
"GSE301119","CRISPRa","D1","ADAM10",TRUE,5,80,99,1446,1.47815855211114,0.521183628546844,0.233080404438149
"GSE301119","CRISPRa","D1","ADGRG1",TRUE,5,56,99,1446,3.405893553805,3.51858052716437,1.57355704860931
"GSE301119","CRISPRa","D1","AIF1",TRUE,5,60,99,1446,1.78293803700982,0.21018090906846,0.0939957600499557
"GSE301119","CRISPRa","D1","APOC1",TRUE,5,66,99,1446,1.66141871714233,0.733056292642969,0.327832740336732
"GSE301119","CRISPRa","D1","APOE",TRUE,5,42,99,1446,0.703968096983786,0.881573506538991,0.394251657556808
"GSE301119","CRISPRa","D1","APP",TRUE,5,51,99,1446,0.804412428816796,0.614211465732201,0.274683717987397
"GSE301119","CRISPRa","D1","AXL",TRUE,4,55,99,1446,1.56591492757365,3.85590504338301,1.92795252169151
"GSE301119","CRISPRa","D1","BIN1",TRUE,5,116,99,1446,2.24409577098215,0.52152122320092,0.233231381357219
"GSE301119","CRISPRa","D1","C1QA",TRUE,5,83,99,1446,1.84618430522449,0.367679489512917,0.164431266496661
"GSE301119","CRISPRa","D1","C1QB",TRUE,5,77,99,1446,1.18003385941367,0.935010328719481,0.418149330936237
"GSE301119","CRISPRa","D1","C1QC",TRUE,5,30,99,1446,1.05016236849747,1.21634231067321,0.543964818114895
"GSE301119","CRISPRa","D1","C3AR1",TRUE,5,40,99,1446,1.63532998523124,0.616297840843936,0.275616773302678
"GSE301119","CRISPRa","D1","C9orf72",TRUE,5,133,99,1446,1.2383919150311,0.338204508549619,0.151249654282772
"GSE301119","CRISPRa","D1","CCR2",TRUE,5,36,99,1446,5.14705892462653,3.29649618109352,1.47423790969871
"GSE301119","CRISPRa","D1","CD14",TRUE,5,20,99,1446,1.86466098529971,0.470977708237406,0.210627634301181
"GSE301119","CRISPRa","D1","CD180",TRUE,5,43,99,1446,2.62299101360528,3.33168391518572,1.48997434277958
"GSE301119","CRISPRa","D1","CD19",TRUE,4,46,99,1446,0.25803582340878,1.75283708744037,0.876418543720184
"GSE301119","CRISPRa","D1","CD1D",TRUE,5,68,99,1446,2.82062034030194,2.95681684676277,1.32232869327563
"GSE301119","CRISPRa","D1","CD200R1",TRUE,5,83,99,1446,2.21071234520451,0.873651158088592,0.390708675621501
"GSE301119","CRISPRa","D1","CD226",TRUE,5,36,99,1446,2.36575143322267,3.48361921157192,1.55792187295981
"GSE301119","CRISPRa","D1","CD300A",TRUE,4,109,99,1446,2.47144758944503,0.6680314840002,0.3340157420001
"GSE301119","CRISPRa","D1","CD300C",TRUE,5,71,99,1446,3.82402865821728,0.477501439997243,0.213545135837575
"GSE301119","CRISPRa","D1","CD300LB",TRUE,4,50,99,1446,2.75815614578218,1.01000596170408,0.505002980852038
"GSE301119","CRISPRa","D1","CD300LF",TRUE,5,47,99,1446,3.67364294789509,1.11712874296112,0.499595161775992
"GSE301119","CRISPRa","D1","CD33",TRUE,5,127,99,1446,3.19654493373583,0.176661274970047,0.0790053239649615
"GSE301119","CRISPRa","D1","CD37",TRUE,5,82,99,1446,1.18404422342077,1.48727897440882,0.665131377656858
"GSE301119","CRISPRa","D1","CD40",TRUE,5,102,99,1446,2.57114569499575,1.30732860627911,0.584655126514032
"GSE301119","CRISPRa","D1","CD44",TRUE,5,53,99,1446,1.44921753892161,0.22633748567813,0.101221200766537
"GSE301119","CRISPRa","D1","CD48",TRUE,5,101,99,1446,2.18164172402202,1.15537838271852,0.516700920698478
"GSE301119","CRISPRa","D1","CD52",TRUE,5,50,99,1446,3.06920443169762,0.221836095860016,0.0992081180412312
"GSE301119","CRISPRa","D1","CD58",TRUE,4,78,99,1446,1.99902754348364,0.230428708256819,0.11521435412841
"GSE301119","CRISPRa","D1","CD68",TRUE,5,51,99,1446,1.07411911611966,0.436599218552109,0.19525310632116
"GSE301119","CRISPRa","D1","CD69",TRUE,4,56,99,1446,5.40726070808854,1.09767532730469,0.548837663652346
"GSE301119","CRISPRa","D1","CD80",TRUE,5,87,99,1446,3.96350860513495,0.230706613212846,0.103175134000535
"GSE301119","CRISPRa","D1","CD81",TRUE,5,86,99,1446,2.05058516985406,0.493681541254771,0.220781097096507
"GSE301119","CRISPRa","D1","CD86",TRUE,5,61,99,1446,0.735871567283225,0.481121383610451,0.215164023836344
"GSE301119","CRISPRa","D1","CDKN2A",TRUE,5,53,99,1446,0.255910057191868,1.99181455096766,0.890766546907383
"GSE301119","CRISPRa","D1","CEMIP2",TRUE,5,105,99,1446,2.97952240772106,0.27854756390576,0.124570257572049
"GSE301119","CRISPRa","D1","CHRNE",TRUE,5,149,99,1446,5.53552484430493,1.36826287554852,0.611905760163166
"GSE301119","CRISPRa","D1","CLDN7",TRUE,3,21,99,1446,-1.22058342133522,0,0
"GSE301119","CRISPRa","D1","CLEC2B",TRUE,5,32,99,1446,1.40690743546977,4.07902433829009,1.82419514045855
"GSE301119","CRISPRa","D1","CLEC2D",TRUE,4,53,99,1446,-0.291796515914543,0.502034830277795,0.251017415138897
"GSE301119","CRISPRa","D1","CLEC7A",TRUE,5,46,99,1446,0.259193808088994,0.738081069842067,0.330079889014527
"GSE301119","CRISPRa","D1","CLECL1",TRUE,5,60,99,1446,3.04597815467523,1.38849717822794,0.620954815416864
"GSE301119","CRISPRa","D1","CLIC1",TRUE,5,64,99,1446,1.36893538804261,0.8103282748312,0.362389821322539
"GSE301119","CRISPRa","D1","CLN3",TRUE,4,74,99,1446,1.17110183264726,0.734765865903646,0.367382932951823
"GSE301119","CRISPRa","D1","CLU",TRUE,5,62,99,1446,9.70783527316128,1.60952691809488,0.719802320095179
"GSE301119","CRISPRa","D1","CR1",TRUE,5,103,99,1446,4.85740853668421,0.556582013180275,0.248911043304956
"GSE301119","CRISPRa","D1","CR2",TRUE,5,60,99,1446,1.86916132331899,2.93467516592982,1.31242663257991
"GSE301119","CRISPRa","D1","CSF1R",TRUE,5,96,99,1446,0.745153344113945,0.175365909322106,0.0784260188360588
"GSE301119","CRISPRa","D1","CSF2RA",TRUE,4,64,99,1446,1.98963683817249,0.68821658286427,0.344108291432135
"GSE301119","CRISPRa","D1","CSF2RB",TRUE,5,63,99,1446,3.60669048347104,0.601556521586102,0.269024254914969
"GSE301119","CRISPRa","D1","CSF3R",TRUE,5,135,99,1446,3.66234408084771,1.65479270422679,0.74004579506436
"GSE301119","CRISPRa","D1","CTLA4",TRUE,5,35,99,1446,1.77956006969168,2.60247256104344,1.16386111121422
"GSE301119","CRISPRa","D1","CTSB",TRUE,5,65,99,1446,0.915457316497998,0.246970659553326,0.110448636641839
"GSE301119","CRISPRa","D1","CTSH",TRUE,5,66,99,1446,1.10945637788542,0.630388762441074,0.281918425014042
"GSE301119","CRISPRa","D1","CXCR3",TRUE,5,107,99,1446,5.59713804558305,0.823733474254178,0.368384808754883
"GSE301119","CRISPRa","D1","CXCR4",TRUE,5,36,99,1446,2.75987061827144,0.210565965103059,0.0941679623436577
"GSE301119","CRISPRa","D1","DPYD",TRUE,5,73,99,1446,1.18845907010029,0.854261311922962,0.382037272801579
"GSE301119","CRISPRa","D1","EPHA1",TRUE,5,15,99,1446,0.987564192603988,2.53602714598128,1.13414581823979
"GSE301119","CRISPRa","D1","FCER1G",TRUE,5,101,99,1446,2.02375089483789,0.541686347633978,0.242249499158631
"GSE301119","CRISPRa","D1","FCGR1A",TRUE,5,142,99,1446,2.5727999788803,0.735907409337768,0.329107798485003
"GSE301119","CRISPRa","D1","FCGR2A",TRUE,5,82,99,1446,2.42818565728282,0.456482920479997,0.204145368152181
"GSE301119","CRISPRa","D1","FCGR2B",TRUE,5,90,99,1446,0.338944359462992,2.19006701151215,0.979427742604198
"GSE301119","CRISPRa","D1","FCGR2C",FALSE,5,58,99,1446,NA,NA,NA
"GSE301119","CRISPRa","D1","FCGR3A",TRUE,5,69,99,1446,1.39921500880809,0.708933638165558,0.317044761294885
"GSE301119","CRISPRa","D1","FCGR3B",TRUE,5,48,99,1446,4.65005399897677,3.28636407170394,1.4697066926286
"GSE301119","CRISPRa","D1","FERMT3",TRUE,5,71,99,1446,2.49864550048231,0.315652176608064,0.14116394482828
"GSE301119","CRISPRa","D1","FLT1",TRUE,3,53,99,1446,6.41298024617438,0.330788199803146,0.190980656201098
"GSE301119","CRISPRa","D1","FOLR2",TRUE,5,83,99,1446,6.82009156684181,0.667555147749345,0.29853973781949
"GSE301119","CRISPRa","D1","FPR1",TRUE,5,71,99,1446,2.56892546241112,0.897744288573222,0.401483451132382
"GSE301119","CRISPRa","D1","FPR2",TRUE,5,87,99,1446,1.76418984712807,1.95575248440946,0.874639100460731
"GSE301119","CRISPRa","D1","FPR3",TRUE,5,57,99,1446,-0.0599871387568239,1.25196349726374,0.559895097046017
"GSE301119","CRISPRa","D1","GBA",TRUE,4,56,99,1446,1.7662841923819,1.53403810156415,0.767019050782075
"GSE301119","CRISPRa","D1","GPNMB",TRUE,5,46,99,1446,1.54735386083608,0.620251024022611,0.277384690565683
"GSE301119","CRISPRa","D1","GPR141",TRUE,5,59,99,1446,1.83245884674317,2.38535351141623,1.0667625203789
"GSE301119","CRISPRa","D1","GPR183",TRUE,5,31,99,1446,1.65949898747627,0.799858259381413,0.3577074880683
"GSE301119","CRISPRa","D1","GPR65",TRUE,5,76,99,1446,-0.299344900409491,1.74519583392246,0.780475303740012
"GSE301119","CRISPRa","D1","GPR87",TRUE,4,47,99,1446,2.01428241750727,2.38759406178489,1.19379703089245
"GSE301119","CRISPRa","D1","GRN",TRUE,4,37,99,1446,0.259953075584468,0.331110054754902,0.165555027377451
"GSE301119","CRISPRa","D1","HAVCR1",TRUE,5,104,99,1446,-0.162667826009044,1.08647713653565,0.485887346658606
