study,arm,sample_id,genotype,clone,replicate,treatment,total_counts,file,file_sha256
GSE241858,cytokine,R47H_A_1_UNTR,R47H,R47H_A,1,UNTR,31859008,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,R47H_A_2_UNTR,R47H,R47H_A,2,UNTR,34799745,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,R47H_A_1_IFN,R47H,R47H_A,1,IFN,25651805,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,R47H_A_2_IFN,R47H,R47H_A,2,IFN,33981801,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,R47H_A_1_LPS,R47H,R47H_A,1,LPS,32566434,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,R47H_A_2_LPS,R47H,R47H_A,2,LPS,27587562,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,R47H_B_1_UNTR,R47H,R47H_B,1,UNTR,34040756,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,R47H_B_2_UNTR,R47H,R47H_B,2,UNTR,47585928,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,R47H_B_1_IFN,R47H,R47H_B,1,IFN,36647256,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,R47H_B_2_IFN,R47H,R47H_B,2,IFN,34062383,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,R47H_B_1_LPS,R47H,R47H_B,1,LPS,40631183,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
GSE241858,cytokine,R47H_B_2_LPS,R47H,R47H_B,2,LPS,42400925,GSE241858_TREM2_cytokine_RNAseq_countsfile.txt.gz,50f1e487226a491009a62a0f362e20b41871118a964ebeebf3f28a97e3dd2a03
