scope,id,observed_match_r,null_median,null_max,beats_all_null
DONOR_HALF,HVS,0.850485,0.944694,0.970044,false
DONOR_HALF,NPH52,0.946319,0.935694,0.973941,false
DONOR_HALF,SEA_AD,0.854363,0.739020,0.910183,false
CROSS,HVS__NPH52,0.818104,0.898306,0.941010,false
CROSS,HVS__SEA_AD,0.740881,0.925938,0.960713,false
CROSS,NPH52__SEA_AD,0.888505,0.872853,0.960088,false
