source,prefix,panels_all8_pass,panel_pass_bits,within_recurrent,median_observed,min_observed,median_null_p95
HVS,1,0,0000,False,0.029897882270310455,-0.06102232457604185,0.08639016370755352
HVS,2,0,0000,False,0.01613401233263576,-0.04823378049004969,0.06854240144547616
HVS,4,0,0000,False,0.03223352908356873,-0.035130516883598,0.04992816729232385
HVS,8,0,0000,False,0.029835574052195057,-0.00282150584900481,0.03611201692235539
HVS,16,0,0000,False,0.022853704305640658,-0.0021124453199370045,0.02793775647064725
NPH52,1,0,0000,False,0.09866181134634538,-0.2784279206098824,0.48879988548043063
NPH52,2,0,0000,False,0.20031636562413918,-0.4625224366347797,0.3194576910362618
NPH52,4,0,0000,False,0.14548132195975835,-0.11170125549468421,0.19219841995619863
NPH52,8,0,0000,False,0.09163728534811708,-0.11759586406482839,0.11840517890782767
NPH52,16,0,0000,False,0.0625755341543137,-0.12322971810593114,0.07535697251327544
SEA_AD,1,4,1111,True,0.8126952466428274,0.774882746695788,0.1189312686545195
SEA_AD,2,4,1111,True,0.7575989142134161,0.7348580528324802,0.08039760647693454
SEA_AD,4,4,1111,True,0.7075317752310252,0.6679082085722428,0.05798418719670473
SEA_AD,8,4,1111,True,0.5491562582060416,0.4714976210316385,0.03969937921754922
SEA_AD,16,4,1111,True,0.3496513616845398,0.30297867774332937,0.027107756001560162
