source_train,target,prefix,panels_all8_pass,panel_pass_bits,transfer_survives,median_observed,min_observed,median_null_p95
SEA_AD,HVS,1,0,0000,False,0.0008937028525944708,-0.04098177698092639,0.009752778358085593
SEA_AD,HVS,2,0,0000,False,-0.0009564304786293574,-0.04817758766823172,0.006560088582562269
SEA_AD,HVS,4,0,0000,False,0.0003906954265099264,-0.06858780364250142,0.008743946676255516
SEA_AD,HVS,8,0,0000,False,-0.0004416572958274099,-0.078098690543678,0.004999727016595937
SEA_AD,HVS,16,0,0000,False,0.00015524939503279656,-0.03442552493442609,0.0036075513016195736
SEA_AD,NPH52,1,0,0000,False,1.2136314159343783e-05,-0.47670864927075074,0.012116346141017354
SEA_AD,NPH52,2,0,0000,False,-0.00020523944090139766,-0.2490335812075733,0.00805440643615373
SEA_AD,NPH52,4,0,0000,False,0.0007201868876430369,-0.11340803079711845,0.008971297896289436
SEA_AD,NPH52,8,0,0000,False,-0.000600416207159403,-0.044033547185433015,0.004014096940089706
SEA_AD,NPH52,16,0,0000,False,-0.00028472210704397823,-0.032897544186105854,0.00212321472983197
