asset_id,study_id,decision,primary_role,decision_reason
gse97930_cerebellar_umi,GSE97930,download,normal_training_reference,required_processed_reference_or_documentation
gse97930_frontal_cortex_umi,GSE97930,download,normal_training_reference,required_processed_reference_or_documentation
gse97930_readme,GSE97930,download,technical_compatibility_only,required_processed_reference_or_documentation
gse97930_visual_cortex_umi,GSE97930,download,normal_training_reference,required_processed_reference_or_documentation
siletti_hbca_all_non_neuronal,siletti_human_brain_cell_atlas_v1,download,clean_normal_holdout,required_processed_reference_or_documentation
