group,n,L_total__mean,L_total__min,L_total__p01,L_total__p05,L_total__p25,L_total__median,L_total__p75,L_total__p95,L_total__p99,L_total__max,L_ledger__mean,L_ledger__min,L_ledger__p01,L_ledger__p05,L_ledger__p25,L_ledger__median,L_ledger__p75,L_ledger__p95,L_ledger__p99,L_ledger__max,L_core__mean,L_core__min,L_core__p01,L_core__p05,L_core__p25,L_core__median,L_core__p75,L_core__p95,L_core__p99,L_core__max,L_outside_ledger__mean,L_outside_ledger__min,L_outside_ledger__p01,L_outside_ledger__p05,L_outside_ledger__p25,L_outside_ledger__median,L_outside_ledger__p75,L_outside_ledger__p95,L_outside_ledger__p99,L_outside_ledger__max,fraction_outside_ledger__mean,fraction_outside_ledger__min,fraction_outside_ledger__p01,fraction_outside_ledger__p05,fraction_outside_ledger__p25,fraction_outside_ledger__median,fraction_outside_ledger__p75,fraction_outside_ledger__p95,fraction_outside_ledger__p99,fraction_outside_ledger__max,fraction_inside_ledger__mean,fraction_inside_ledger__min,fraction_inside_ledger__p01,fraction_inside_ledger__p05,fraction_inside_ledger__p25,fraction_inside_ledger__median,fraction_inside_ledger__p75,fraction_inside_ledger__p95,fraction_inside_ledger__p99,fraction_inside_ledger__max,fraction_core__mean,fraction_core__min,fraction_core__p01,fraction_core__p05,fraction_core__p25,fraction_core__median,fraction_core__p75,fraction_core__p95,fraction_core__p99,fraction_core__max
H16.06.003,4261,22819.239849800517,1563.0,2542.2,4801.0,11526.0,19009.0,30251.0,53533.0,74009.79999999967,109101.0,22819.239849800517,1563.0,2542.2,4801.0,11526.0,19009.0,30251.0,53533.0,74009.79999999967,109101.0,21726.121802393805,1486.0,2410.2,4549.0,10957.0,18073.0,28819.0,51138.0,70829.19999999984,104178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9513701348018191,0.908289241622575,0.9368183219818407,0.9435353088603863,0.9490443201736082,0.9517877641256749,0.9542394777996872,0.9579443571494592,0.9611177396081035,0.9658630665380906
H16.06.008,4745,24561.635194942046,1443.0,2823.92,4319.2,12591.0,21553.0,33187.0,55289.20000000001,76693.20000000027,124168.0,24561.635194942046,1443.0,2823.92,4319.2,12591.0,21553.0,33187.0,55289.20000000001,76693.20000000027,124168.0,23337.16248682824,1352.0,2642.2,4011.8,11916.0,20420.0,31673.0,52597.40000000001,72865.1200000001,119480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948635800401491,0.7553565156304882,0.8965432993054929,0.9304834846204143,0.9456656521249014,0.9515190691661279,0.9554421364985163,0.9595725226693717,0.9615495212769251,0.9657299212775025
H16.06.012,5866,18202.98908966928,1405.0,2394.65,3544.0,7881.0,15647.0,25271.5,42749.25,57006.5,90964.0,18202.98908966928,1405.0,2394.65,3544.0,7881.0,15647.0,25271.5,42749.25,57006.5,90964.0,17381.874019774976,1321.0,2263.8,3350.25,7514.5,14942.0,24126.25,40915.75,54562.10000000009,87054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9532543619160831,0.8697155011964903,0.9291481142978273,0.9422058729726193,0.950714293257598,0.9544164166426521,0.9574411790667576,0.9607334863119164,0.962730040654086,0.9659114104919372
H17.03.012,3587,11372.163088932255,1255.0,1503.44,2000.6,3939.0,7377.0,14893.5,33831.7,52505.38,104707.0,11372.163088932255,1255.0,1503.44,2000.6,3939.0,7377.0,14893.5,33831.7,52505.38,104707.0,10766.390855868414,1167.0,1396.16,1821.0,3643.0,6899.0,14130.5,32424.699999999993,50122.92,100940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9394539766056107,0.3785011355034065,0.7537392720930864,0.9014979500153458,0.939358447201502,0.9472669936930623,0.9535554153512292,0.9599140099354778,0.9632888750741619,0.9680971659919029
H17.26.005,3236,35354.985784919656,1490.0,3657.2,8143.75,18278.25,29431.0,45495.75,84328.5,120151.75000000009,223468.0,35354.985784919656,1490.0,3657.2,8143.75,18278.25,29431.0,45495.75,84328.5,120151.75000000009,223468.0,33716.012051915946,1324.0,3191.35,7614.75,17312.25,28014.5,43296.75,80851.0,115496.10000000012,215227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9504651538725168,0.7670043415340086,0.8972612314826135,0.9324145306378934,0.9481014985682891,0.9535488730345416,0.9569949022637652,0.9611415805548582,0.9635838222152247,0.9665578564385052
H18.03.002,3658,9822.647621651175,1406.0,1762.57,2267.85,4880.25,8647.0,13682.5,21137.6,26952.489999999994,59778.0,9822.647621651175,1406.0,1762.57,2267.85,4880.25,8647.0,13682.5,21137.6,26952.489999999994,59778.0,9398.672772006561,1320.0,1666.14,2133.85,4683.5,8277.0,13122.75,20260.699999999986,25891.069999999992,55064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9544150477605955,0.7180232558139535,0.8903766996785336,0.9391961743374704,0.9523243900722734,0.9572446039343327,0.9606067976876973,0.9653697956621801,0.9681396326444893,0.9740029542097489
H18.03.003,3939,20030.434374206652,1456.0,2309.26,3555.7,8392.5,16497.0,28325.5,48291.99999999999,63268.52,103597.0,20030.434374206652,1456.0,2309.26,3555.7,8392.5,16497.0,28325.5,48291.99999999999,63268.52,103597.0,18915.84437674537,1344.0,1989.18,3171.6,7799.0,15556.0,26851.0,45863.099999999984,59906.479999999996,98935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9344800564471547,0.3978652926021347,0.6735980160134736,0.8500823353883915,0.94225157952995,0.9485341185507618,0.9521582239782193,0.9563696148659102,0.9587548864837384,0.9628889523265772
H18.03.008,4832,10704.059188741721,1323.0,1699.24,2168.2,5006.75,8728.0,13901.0,26051.149999999998,36922.23999999996,101277.0,10704.059188741721,1323.0,1699.24,2168.2,5006.75,8728.0,13901.0,26051.149999999998,36922.23999999996,101277.0,10125.522350993377,1246.0,1598.0,2026.55,4657.75,8266.5,13187.75,24742.749999999993,34901.88999999985,91871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9423880741261603,0.4835918854415274,0.7646516807337659,0.8978946857667865,0.943793698869841,0.9510467755522375,0.9551040065671241,0.9593614546354176,0.9616791842382584,0.9675615212527964
H18.03.012,5791,21128.24900707995,1292.0,1781.9,2670.0,7653.0,17672.0,28737.0,55226.5,75398.40000000002,122407.0,21128.24900707995,1292.0,1781.9,2670.0,7653.0,17672.0,28737.0,55226.5,75398.40000000002,122407.0,20122.23519254015,1217.0,1663.8,2521.5,7269.0,16793.0,27322.5,52697.5,72069.30000000008,117353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.949936240588287,0.8490597437177567,0.9213876548150081,0.9361023784802338,0.9468045010754,0.9514988516862082,0.955059120871063,0.9590817772963236,0.9616753211560448,0.967632348777956
H18.03.313,4292,8208.137931034482,1230.0,1359.0,1604.1,2925.5,6226.0,11027.25,21219.05,36855.82000000007,71860.0,8208.137931034482,1230.0,1359.0,1604.1,2925.5,6226.0,11027.25,21219.05,36855.82000000007,71860.0,7799.745340167754,1144.0,1288.46,1513.2,2759.25,5887.0,10515.0,20144.99999999998,35022.510000000024,68799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948687636636291,0.5185764567852953,0.8732015666885431,0.9320046098303684,0.9461814148398019,0.9520355189497992,0.9564799020220225,0.9607580600037753,0.9632793013148017,0.9679404975634778
H18.03.323,4131,15016.824497700314,1365.0,1572.3,1990.5,5841.0,13097.0,20782.5,36287.5,52930.899999999994,135054.0,15016.824497700314,1365.0,1572.3,1990.5,5841.0,13097.0,20782.5,36287.5,52930.899999999994,135054.0,14351.233357540546,1286.0,1490.3,1882.0,5567.0,12509.0,19912.0,34705.5,50661.9,128550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9532516746274676,0.7196566015393724,0.9237440136768238,0.9420066048001934,0.9507148865395784,0.9548889293517844,0.9581127600086445,0.9616540923953478,0.9638789814900044,0.9680942669385906
H18.06.002,3453,17780.837242977123,1224.0,1828.48,2556.0,5273.0,12705.0,26384.0,48398.19999999999,68483.08,120644.0,17780.837242977123,1224.0,1828.48,2556.0,5273.0,12705.0,26384.0,48398.19999999999,68483.08,120644.0,16977.43006081668,1148.0,1712.76,2405.4,4958.0,12111.0,25182.0,46369.59999999997,65773.88,116178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9504901989453141,0.8916232844297208,0.9246562176252381,0.9344184091420081,0.9457586855389488,0.9524844970604815,0.9567016452050713,0.9607977188395006,0.963129380616306,0.9746490579977836
