group,n,L_total__mean,L_total__min,L_total__p01,L_total__p05,L_total__p25,L_total__median,L_total__p75,L_total__p95,L_total__p99,L_total__max,L_ledger__mean,L_ledger__min,L_ledger__p01,L_ledger__p05,L_ledger__p25,L_ledger__median,L_ledger__p75,L_ledger__p95,L_ledger__p99,L_ledger__max,L_core__mean,L_core__min,L_core__p01,L_core__p05,L_core__p25,L_core__median,L_core__p75,L_core__p95,L_core__p99,L_core__max,L_outside_ledger__mean,L_outside_ledger__min,L_outside_ledger__p01,L_outside_ledger__p05,L_outside_ledger__p25,L_outside_ledger__median,L_outside_ledger__p75,L_outside_ledger__p95,L_outside_ledger__p99,L_outside_ledger__max,fraction_outside_ledger__mean,fraction_outside_ledger__min,fraction_outside_ledger__p01,fraction_outside_ledger__p05,fraction_outside_ledger__p25,fraction_outside_ledger__median,fraction_outside_ledger__p75,fraction_outside_ledger__p95,fraction_outside_ledger__p99,fraction_outside_ledger__max,fraction_inside_ledger__mean,fraction_inside_ledger__min,fraction_inside_ledger__p01,fraction_inside_ledger__p05,fraction_inside_ledger__p25,fraction_inside_ledger__median,fraction_inside_ledger__p75,fraction_inside_ledger__p95,fraction_inside_ledger__p99,fraction_inside_ledger__max,fraction_core__mean,fraction_core__min,fraction_core__p01,fraction_core__p05,fraction_core__p25,fraction_core__median,fraction_core__p75,fraction_core__p95,fraction_core__p99,fraction_core__max
core_nnz_decile_0,455452,2839.857425151278,3.0,505.0,809.0,1839.0,2899.0,3795.0,4780.0,5517.0,11643.0,2728.783169247253,3.0,485.0,777.0,1777.0,2785.0,3644.0,4583.0,5285.489999999991,11271.0,1532.7539872478328,1.0,263.0,432.0,1036.0,1571.0,2017.0,2546.0,2961.0,7424.0,111.07425590402501,0.0,0.0,21.0,68.0,111.0,150.0,207.0,248.0,805.0,0.03844265526149525,0.0,0.0,0.02387511334085278,0.034639409426462237,0.039414414414414414,0.04383282364933741,0.05035128805620609,0.05627236154266752,0.25,0.961557344738505,0.75,0.9437276384573324,0.949648711943794,0.9561671763506626,0.9605855855855856,0.9653605905735377,0.9761248866591472,1.0,1.0,0.5469864637148815,0.15310865775711796,0.4589020036502938,0.49174995115067305,0.5167303509142753,0.5315269652451374,0.5472261290262709,0.600093433482932,0.9443803950907331,0.970913321698662
core_nnz_decile_1,456138,6030.924272917407,1661.0,2344.0,3240.0,5122.0,6006.0,6967.0,8422.0,9661.0,22594.0,5796.5214715721995,1640.0,2327.0,3217.0,4921.0,5769.0,6688.0,8077.0,9257.0,21661.0,3282.099785591203,1475.0,2043.0,2291.0,2762.0,3210.0,3721.0,4513.0,5181.0,11650.0,234.40280134520694,0.0,0.0,42.0,191.0,235.0,285.0,365.0,430.0,1335.0,0.037636930368772956,0.0,0.0,0.014659501673827057,0.034764031850844826,0.0394193932537632,0.04315107284667412,0.048143273593721704,0.051932126254931835,0.09698444425132528,0.962363069631227,0.9030155557486748,0.9480678737450682,0.9518567264062783,0.9568489271533259,0.9605806067462368,0.9652359681491551,0.9853404983261729,1.0,1.0,0.5567548478935582,0.23336173435577015,0.4850403800544038,0.5036041999155172,0.522282342107584,0.5345244167881165,0.5483014469982783,0.89327544101633,0.9510082242441563,0.9729461404815091
core_nnz_decile_2,455296,9233.992958427045,2442.0,3384.0,4267.75,8074.0,9300.0,10615.0,12681.0,14515.0,29113.0,8877.511375017571,2414.0,3357.95,4232.0,7762.0,8932.0,10190.0,12163.0,13919.0,28028.0,5075.791019468654,2201.0,3055.0,3551.0,4358.0,4997.0,5709.0,6838.0,7816.0,16830.0,356.4815834094743,0.0,0.0,54.0,297.0,363.0,434.0,545.0,639.0,2988.0,0.03714242202712119,0.0,0.0,0.013151266866204674,0.034574651504035214,0.039304056178597634,0.04277048992282771,0.04736082680267433,0.05072838465814611,0.1026345618795727,0.9628575779728786,0.8973654381204274,0.9492716153418539,0.9526391731973256,0.9572295100771723,0.9606959438214023,0.9654253484959647,0.9868487331337953,1.0,1.0,0.5656723047949229,0.2848501899001266,0.49357595816614724,0.509113932026033,0.5267430081269903,0.538695917123705,0.5523255813953488,0.8982486454664199,0.9512331055078352,0.9722267075730664
core_nnz_decile_3,454947,12983.991040714633,3130.0,4449.0,5468.0,11504.0,13226.0,14984.0,17736.0,20072.0,42260.0,12482.482999118578,3080.0,4406.0,5420.0,11055.0,12703.0,14383.0,17020.0,19264.0,40759.0,7202.0345666638095,2774.0,4015.0,4810.0,6237.0,7154.0,8123.0,9640.0,10922.0,23337.0,501.50804159605406,0.0,0.0,67.0,428.0,520.0,611.0,752.0,871.0,1852.0,0.03701301417742133,0.0,0.0,0.012583732684566699,0.03511950785616918,0.03948312993539124,0.042531898924193144,0.04667806556897031,0.049750079046842206,0.0871242088607595,0.962986985822579,0.9128757911392406,0.9502499209531577,0.9533219344310297,0.9574681010758068,0.9605168700646087,0.9648804921438308,0.9874162673154333,1.0,1.0,0.573279452325797,0.27467365506329117,0.5002034751158466,0.5137564699551233,0.5316275602617284,0.5434182035391623,0.5563305427111493,0.8988392682000519,0.9517086475553372,0.9740029542097489
core_nnz_decile_4,455089,17533.16309117557,3924.0,5609.0,6840.0,15548.0,17947.0,20332.0,24044.0,27046.0,52403.0,16851.29857016979,3864.0,5556.0,6784.0,14934.0,17231.0,19515.0,23073.0,25962.0,50089.0,9772.68063829273,3509.0,5053.0,6141.0,8465.0,9768.0,11099.0,13171.0,14860.0,29224.0,681.8645210057813,0.0,0.0,81.0,589.0,710.0,828.0,1012.0,1162.0,2454.0,0.03721808404753144,0.0,0.0,0.012448132780082987,0.03621581670362158,0.03970773192789124,0.042385832434376124,0.04618419149439224,0.04899672174575317,0.07014309190749128,0.9627819159524682,0.9298569080925088,0.9510032782542469,0.9538158085056078,0.9576141675656239,0.9602922680721088,0.9637841832963784,0.9875518672199171,1.0,1.0,0.5765892057042831,0.3633879781420765,0.5051084406705358,0.5176250564643916,0.5358208115256908,0.5471968475729895,0.5592703569363402,0.8979949372960445,0.9527799009382248,0.9708019375672766
core_nnz_decile_5,456135,23182.281690727526,4736.0,6934.34,8523.0,20408.0,23726.0,26968.0,31974.0,36022.0,68422.0,22271.633731241847,4681.0,6869.0,8457.0,19598.0,22772.0,25878.0,30674.0,34571.659999999974,65266.0,12953.514639306346,4244.0,6260.0,7748.0,11174.0,12998.0,14802.0,17616.29999999999,19894.659999999974,39179.0,910.6479594856786,0.0,0.0,103.0,787.0,945.0,1100.0,1343.0,1543.0,3554.0,0.03764305112574796,0.0,0.0,0.012836563908874611,0.03714049730319745,0.03987393806522335,0.042263430337148675,0.04577869908382563,0.04848910956665317,0.07907552973342447,0.9623569488742518,0.9209244702665755,0.9515108904333468,0.9542213009161743,0.9577365696628514,0.9601260619347767,0.9628595026968025,0.9871634360911253,1.0,1.0,0.5770530562997045,0.37469295013510195,0.5085317760902195,0.5209950737321901,0.5394193072687596,0.5503963759909399,0.561779709602583,0.8964592223597967,0.9540866149000349,0.9721556886227545
core_nnz_decile_6,454637,30112.926833935646,5556.0,8373.0,10486.0,26308.0,30755.0,35117.0,41901.0,47298.0,102774.0,28922.346340047116,5481.0,8297.0,10418.0,25264.0,29517.0,33693.0,40189.0,45351.640000000014,98371.0,16873.64535222606,4983.0,7573.0,9609.0,14496.0,16948.0,19382.0,23208.0,26312.0,57655.0,1190.5804938885308,0.0,0.0,128.0,1024.0,1230.0,1433.0,1757.0,2020.0,4495.0,0.03790872353424449,0.0,0.0,0.013329121240013673,0.037579948141745895,0.03989251756924349,0.04205547743832289,0.0453514151165307,0.04791258373163531,0.06442358401012552,0.9620912764657555,0.9355764159898745,0.9520874162683647,0.9546485848834693,0.9579445225616771,0.9601074824307565,0.9624200518582541,0.9866708787599863,1.0,1.0,0.5778227579219122,0.34607928964482243,0.5119249109583645,0.5247136701546674,0.5430136656432485,0.5532733126639637,0.5640876970465664,0.8954026305066758,0.9550866979597885,0.9746490579977836
core_nnz_decile_7,455809,39240.950887323415,6528.0,10000.0,12623.400000000001,33925.0,40055.0,46071.0,55459.0,62899.0,124975.0,37687.645215430144,6440.0,9913.08,12558.0,32577.0,38443.0,44200.0,53194.0,60305.919999999984,120473.0,22061.81314761227,5773.0,9082.0,11751.0,18775.0,22173.0,25549.0,30882.0,35157.0,70664.0,1553.305671893271,0.0,0.0,147.0,1328.0,1603.0,1876.0,2311.0,2670.0,5227.0,0.03786425533393824,0.0,0.0,0.013234220192626205,0.037775172593460984,0.03982329630351458,0.04180356778229474,0.04487136290615041,0.04734251555724001,0.06974257425742575,0.9621357446660618,0.9302574257425743,0.9526574844427599,0.9551286370938497,0.9581964322177052,0.9601767036964854,0.962224827406539,0.9867657798073738,1.0,1.0,0.5800929829204835,0.42395408548557617,0.5156281485260811,0.5289968321566684,0.5463012878107217,0.5557878787878788,0.5659437151512491,0.8968862360807947,0.9561348572289531,0.9712617580278949
core_nnz_decile_8,454787,53006.533605841854,8186.0,12125.0,15056.0,44801.0,54076.0,63373.0,78110.0,89605.0,147588.0,50918.18825736004,8089.0,12019.86,14994.0,43028.0,51908.0,60812.0,74926.0,85889.14000000001,141064.0,29945.048237966344,7325.0,11043.86,14123.0,24867.0,30030.0,35273.0,43645.0,50308.0,83667.0,2088.345348481817,0.0,0.0,119.0,1754.0,2158.0,2567.0,3230.0,3771.0,6630.0,0.03726463583229821,0.0,0.0,0.009896283888554723,0.03775530095606951,0.039664352051277635,0.04148489646752147,0.04440530260468033,0.046792751118754174,0.05812740216343296,0.9627353641677019,0.9418725978365671,0.9532072488812459,0.9555946973953197,0.9585151035324786,0.9603356479487224,0.9622446990439305,0.9901037161114451,1.0,1.0,0.5867852797523964,0.39921115421448167,0.5200310582419911,0.5337131662453848,0.5491283120193087,0.5578995474179235,0.5674918541119223,0.909332413648762,0.9572934045927547,0.970285096833181
core_nnz_decile_9,455117,74980.31729423424,9921.0,15480.0,19143.0,45671.0,74044.0,96394.0,143305.59999999986,195839.91999999958,685696.0,72330.75493114957,9785.0,15372.16,19065.0,44770.0,71227.0,92604.0,137594.59999999986,188053.91999999958,657632.0,45658.771630152245,8903.0,14246.0,17936.0,32176.0,43316.0,55433.0,81940.19999999995,111217.0,382331.0,2649.562363084657,0.0,0.0,0.0,581.0,2876.0,3846.0,5752.0,7900.839999999967,28064.0,0.029612450258347474,0.0,0.0,0.0,0.015828375698575807,0.03834044525419124,0.04046062869592281,0.04337590040384725,0.04572515932265916,0.05835841452838851,0.9703875497416522,0.9416415854716115,0.9542748406773409,0.9566240995961528,0.9595393713040772,0.9616595547458088,0.9841716243014242,1.0,1.0,1.0,0.6703753903790787,0.4410807005192291,0.5279218039781922,0.5396468263029972,0.5539584177911623,0.564087845528053,0.8962443095599393,0.9563443615713915,0.9602296760784346,0.9684610562607742
