group,n,L_total__mean,L_total__min,L_total__p01,L_total__p05,L_total__p25,L_total__median,L_total__p75,L_total__p95,L_total__p99,L_total__max,L_ledger__mean,L_ledger__min,L_ledger__p01,L_ledger__p05,L_ledger__p25,L_ledger__median,L_ledger__p75,L_ledger__p95,L_ledger__p99,L_ledger__max,L_core__mean,L_core__min,L_core__p01,L_core__p05,L_core__p25,L_core__median,L_core__p75,L_core__p95,L_core__p99,L_core__max,L_outside_ledger__mean,L_outside_ledger__min,L_outside_ledger__p01,L_outside_ledger__p05,L_outside_ledger__p25,L_outside_ledger__median,L_outside_ledger__p75,L_outside_ledger__p95,L_outside_ledger__p99,L_outside_ledger__max,fraction_outside_ledger__mean,fraction_outside_ledger__min,fraction_outside_ledger__p01,fraction_outside_ledger__p05,fraction_outside_ledger__p25,fraction_outside_ledger__median,fraction_outside_ledger__p75,fraction_outside_ledger__p95,fraction_outside_ledger__p99,fraction_outside_ledger__max,fraction_inside_ledger__mean,fraction_inside_ledger__min,fraction_inside_ledger__p01,fraction_inside_ledger__p05,fraction_inside_ledger__p25,fraction_inside_ledger__median,fraction_inside_ledger__p75,fraction_inside_ledger__p95,fraction_inside_ledger__p99,fraction_inside_ledger__max,fraction_core__mean,fraction_core__min,fraction_core__p01,fraction_core__p05,fraction_core__p25,fraction_core__median,fraction_core__p75,fraction_core__p95,fraction_core__p99,fraction_core__max
op00,2441,18149.833674723475,1362.0,2108.8,4973.0,10839.0,16227.0,23383.0,37846.0,50688.39999999999,76352.0,18149.833674723475,1362.0,2108.8,4973.0,10839.0,16227.0,23383.0,37846.0,50688.39999999999,76352.0,17251.961081523965,1279.0,1904.2,4687.0,10254.0,15422.0,22318.0,35941.0,48381.199999999975,72767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9491928994119788,0.5986482137109752,0.9039530984793602,0.9377947451156524,0.9486490707480868,0.9519172770357605,0.9544234231388775,0.9576409697630074,0.9599921793055685,0.9681349578256795
op01,4355,28386.647990815156,2964.0,4702.82,9225.6,17479.5,25101.0,35540.0,58646.00000000001,85035.90000000001,140286.0,28386.647990815156,2964.0,4702.82,9225.6,17479.5,25101.0,35540.0,58646.00000000001,85035.90000000001,140286.0,27136.886796785304,2817.0,4347.14,8747.9,16708.5,24010.0,34032.0,56126.80000000002,80712.02000000003,134501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.955358651874054,0.7496903009546018,0.9295601337745686,0.9431454737176617,0.9543057168617759,0.9570648244838943,0.9593662277363808,0.9625864740905588,0.9650806101927801,0.970285096833181
op02,278,35143.3345323741,4887.0,8385.1,13564.800000000001,22779.5,34502.0,44623.75,59516.45,87668.48000000023,106102.0,35143.3345323741,4887.0,8385.1,13564.800000000001,22779.5,34502.0,44623.75,59516.45,87668.48000000023,106102.0,33592.39928057554,4559.0,7898.49,12990.75,21771.25,33050.5,42681.5,57183.45,84520.1400000002,100993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9554662046141672,0.9123932199735914,0.9351361061559397,0.9450811910467722,0.9536087204441492,0.9562526360975883,0.9592341345856829,0.9620954355932848,0.9640890906368508,0.967632348777956
op03,10300,18428.080291262137,1207.0,2007.0,4362.9,10296.75,16074.0,23850.25,39980.39999999995,58210.16,165529.0,18428.080291262137,1207.0,2007.0,4362.9,10296.75,16074.0,23850.25,39980.39999999995,58210.16,165529.0,17485.504174757283,1135.0,1830.98,3960.6000000000004,9769.0,15254.5,22657.5,37927.299999999996,55312.15000000002,157174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9468080883440293,0.3785011355034065,0.8253240067621509,0.9328920576768355,0.9479687586376819,0.9516607976386544,0.9544110887273177,0.958160130319535,0.9611933037935341,0.9681458294973302
op04,43616,26550.492181768157,1230.0,3470.6000000000004,6662.0,14243.0,22384.0,34610.0,60169.75,85374.74999999997,223468.0,26550.492181768157,1230.0,3470.6000000000004,6662.0,14243.0,22384.0,34610.0,60169.75,85374.74999999997,223468.0,25323.098243763758,1162.0,3214.4500000000003,6250.0,13580.75,21369.5,32995.5,57396.75,81700.24999999994,215227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9524404826190909,0.3978652926021347,0.9048461572585179,0.9408241400069417,0.9512431794218741,0.9548659263931469,0.9576888799127822,0.9612742873357394,0.963569032932157,0.9721667332534292
op05,179,19849.346368715083,1798.0,3055.7,6697.5,10870.0,16859.0,26038.5,43283.299999999996,63061.29999999999,102307.0,19849.346368715083,1798.0,3055.7,6697.5,10870.0,16859.0,26038.5,43283.299999999996,63061.29999999999,102307.0,18923.670391061452,1650.0,2893.34,6309.900000000001,10413.0,16130.0,24721.0,41232.3,59613.13999999999,98156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9531162251760789,0.8842930856553147,0.921058270755273,0.9418116522249265,0.9506412809755148,0.95445721181594,0.9579666018081849,0.9622354289953041,0.9659004040432481,0.9677521340499525
op06,14702,12027.280982179296,1230.0,2364.0,4060.3,7130.25,10530.0,15257.0,25099.949999999997,35323.66999999999,68552.0,12027.280982179296,1230.0,2364.0,4060.3,7130.25,10530.0,15257.0,25099.949999999997,35323.66999999999,68552.0,11427.419398721262,1144.0,2228.02,3849.15,6765.25,9990.5,14506.0,23892.04999999996,33661.67999999999,64293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9496281520223612,0.70929635336415,0.9172289506182689,0.937764367955126,0.9472736887070463,0.9511700256689254,0.9543105920379691,0.9581595215923713,0.9608105584730755,0.9692410565028419
op07,2687,25261.68552288798,1656.0,3866.34,7689.200000000001,15345.0,22499.0,31139.0,54512.69999999993,75064.53999999989,114595.0,25261.68552288798,1656.0,3866.34,7689.200000000001,15345.0,22499.0,31139.0,54512.69999999993,75064.53999999989,114595.0,24091.796427242276,1574.0,3586.56,7206.5,14653.0,21456.0,29697.5,51736.6,71588.51999999989,109668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9529677745488283,0.7418239829832491,0.9235582627037435,0.9401933750746151,0.9516873701811177,0.954614279613309,0.9571050396998866,0.9612614412351019,0.9639682566579119,0.9680971659919029
op08,3666,26082.432624113477,2494.0,4069.6,7849.75,15366.0,22781.0,32831.5,56347.25,82420.34999999998,135054.0,26082.432624113477,2494.0,4069.6,7849.75,15366.0,22781.0,32831.5,56347.25,82420.34999999998,135054.0,24871.151391162028,2294.0,3767.95,7461.0,14632.75,21702.5,31328.25,53683.25,78698.7,128550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.952841614430133,0.7108433734939759,0.9200270962319825,0.9407705616627042,0.9516398531982377,0.9547628735061522,0.9573395395292402,0.9609131302188781,0.963880752463629,0.9690825883354619
op09,788,15774.21192893401,1433.0,2625.29,5055.5,9801.0,13653.0,19741.5,31477.449999999983,47604.25999999999,83875.0,15774.21192893401,1433.0,2625.29,5055.5,9801.0,13653.0,19741.5,31477.449999999983,47604.25999999999,83875.0,14977.517766497462,1340.0,2338.44,4777.2,9330.25,13006.0,18725.25,29732.649999999983,45161.88999999999,79808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9492714770194217,0.7934893184130214,0.9243663437854123,0.9373828585345351,0.9461844339294923,0.9504450418966137,0.9538859091826684,0.9586555737147351,0.9613955625055063,0.9662725689670975
