source_local_path,proposed_repo_path,bytes,filesystem_sha256,existing_authority_sha256_if_any,authority_hash_matches,git_present_status,git_filter_alters_bytes,applicable_attributes,exact_byte_preservation_possible,classification,historical_stage,chronology_class,sensitive_class,exact_or_reconstructed,superseded_by,recommended_commit_group,recommended_action,repair_disposition,repair_reason
docs/ACTIVE_V3_STATUS.md,,37018,a232b9a965f10a8ba13cf32fe19592578abaaad5ae92d014b5165d3b1c7160c2,,UNKNOWN,TRACKED,True,{},False,GIT_FILTER_ALTERS_HISTORICAL_BYTES,CURRENT_GENERAL,CURRENT_BYTES__SYNCED_AFTER_REVIEW,REVIEW_SAFE,EXACT_LOCAL_BYTES,,2_current_governance_contracts_source,LEDGER_HASH_ONLY_GIT_FILTER_ALTERED,LEDGER_HASH_ONLY_GIT_FILTER_ALTERED,LEDGER_HASH_ONLY_GIT_FILTER_ALTERED
docs/causal_discovery.md,docs/causal_discovery.md,8196,31e2377c3e8177713dbb376a0ca9cd7186e1d9c7a80a4b31d45d5073f8ddfd0a,,UNKNOWN,TRACKED,False,{},True,CURRENT_CONTRACT,CURRENT_GENERAL,CURRENT_BYTES__SYNCED_AFTER_REVIEW,REVIEW_SAFE,EXACT_LOCAL_BYTES,,2_current_governance_contracts_source,PROPOSE_REVIEW_MIRROR,PROPOSE_REVIEW_MIRROR,
docs/architecture.md,docs/architecture.md,6397,a419c6cd5b8f67693231ec8337f885d0c37581a65dd8eb181cf0491a62f3995a,,UNKNOWN,TRACKED,False,{},True,CURRENT_CONTRACT,CURRENT_GENERAL,CURRENT_BYTES__SYNCED_AFTER_REVIEW,REVIEW_SAFE,EXACT_LOCAL_BYTES,,2_current_governance_contracts_source,PROPOSE_REVIEW_MIRROR,PROPOSE_REVIEW_MIRROR,
docs/cleanup_manifest.md,docs/history/docs/cleanup_manifest.md,1461,1b6a152b8da331ec794a8cdd5999f2fb442031c6e7527f3df15ad5e889044cd8,,UNKNOWN,TRACKED,False,{},True,HISTORICAL_AUTHORITY,CURRENT_GENERAL,CURRENT_BYTES__SYNCED_AFTER_REVIEW,REVIEW_SAFE,EXACT_LOCAL_BYTES,,2_current_governance_contracts_source,PROPOSE_REVIEW_MIRROR,PROPOSE_REVIEW_MIRROR,
docs/DATASET_REGISTRY.md,docs/DATASET_REGISTRY.md,4306,51d687225ddd180b6509ec6f021fad4426901b4153b54ef7ba2bf7bdadda8d53,,UNKNOWN,TRACKED,False,{},True,CURRENT_CONTRACT,CURRENT_GENERAL,CURRENT_BYTES__SYNCED_AFTER_REVIEW,REVIEW_SAFE,EXACT_LOCAL_BYTES,,2_current_governance_contracts_source,PROPOSE_REVIEW_MIRROR,PROPOSE_REVIEW_MIRROR,
docs/current_status.md,docs/current_status.md,98454,b342abbec506f06c071f8f1270f4890fe8a5035edd3f823a11028b8d3fdf8598,,UNKNOWN,TRACKED,False,{},True,CURRENT_CONTRACT,CURRENT_GENERAL,CURRENT_BYTES__SYNCED_AFTER_REVIEW,REVIEW_SAFE,EXACT_LOCAL_BYTES,,2_current_governance_contracts_source,PROPOSE_REVIEW_MIRROR,PROPOSE_REVIEW_MIRROR,
docs/dataset_guide.md,docs/dataset_guide.md,12163,d5f30edc5d822130c60dd1fd69fb733490056cf89e63b8d20023fb233dd8ec7a,,UNKNOWN,TRACKED,False,{},True,CURRENT_CONTRACT,CURRENT_GENERAL,CURRENT_BYTES__SYNCED_AFTER_REVIEW,REVIEW_SAFE,EXACT_LOCAL_BYTES,,2_current_governance_contracts_source,PROPOSE_REVIEW_MIRROR,PROPOSE_REVIEW_MIRROR,
docs/external_validation_next_steps.md,docs/external_validation_next_steps.md,11567,0d97ffaf5530a71ea4807a07b039dc6801524921cfb997414fa0645403e9ee7d,,UNKNOWN,TRACKED,False,{},True,CURRENT_CONTRACT,CURRENT_GENERAL,CURRENT_BYTES__SYNCED_AFTER_REVIEW,REVIEW_SAFE,EXACT_LOCAL_BYTES,,2_current_governance_contracts_source,PROPOSE_REVIEW_MIRROR,PROPOSE_REVIEW_MIRROR,
docs/external_cohort_reconnaissance.md,docs/external_cohort_reconnaissance.md,5447,48564f71607f7b7de1b6d0254d9dd7ce33419879e59421a59f75c2847c8b7b4a,,UNKNOWN,TRACKED,False,{},True,CURRENT_CONTRACT,CURRENT_GENERAL,CURRENT_BYTES__SYNCED_AFTER_REVIEW,REVIEW_SAFE,EXACT_LOCAL_BYTES,,2_current_governance_contracts_source,PROPOSE_REVIEW_MIRROR,PROPOSE_REVIEW_MIRROR,
docs/github_about.md,docs/github_about.md,2482,d331cd9b38ecc92f78ddb4900d597d6468944a32636afba529991a93afa44865,,UNKNOWN,TRACKED,False,{},True,CURRENT_CONTRACT,CURRENT_GENERAL,CURRENT_BYTES__SYNCED_AFTER_REVIEW,REVIEW_SAFE,EXACT_LOCAL_BYTES,,2_current_governance_contracts_source,PROPOSE_REVIEW_MIRROR,PROPOSE_REVIEW_MIRROR,
