target_gene,n_lanes,lanes,n_cells,target_in_reference,engagement_log2fc,engagement_sd_across_capture_wells,engagement_direction_consistent_with_crispri,technical_capture_well_spread_estimable,biological_uncertainty_estimable
AARS,1,L3,18,True,-1.5603,,True,False,False
ATP1A1,4,L1|L2|L3|L4,260,True,-1.1404,0.1419,True,True,False
AURKB,4,L1|L2|L3|L4,63,True,-1.8384,2.4385,True,True,False
CDC25B,4,L1|L2|L3|L4,342,True,-0.7389,0.3802,True,True,False
CDK12,4,L1|L2|L3|L4,265,True,-1.0389,0.1033,True,True,False
CDK8,3,L2|L3|L4,272,True,-0.1354,0.5373,True,True,False
CSF1R,4,L1|L2|L3|L4,246,True,-0.1814,0.4208,True,True,False
CSF2RA,4,L1|L2|L3|L4,254,True,-0.8059,0.4489,True,True,False
CSF2RB,4,L1|L2|L3|L4,273,True,-0.9055,0.3058,True,True,False
CSNK2A1,4,L1|L2|L3|L4,467,True,-0.9913,0.193,True,True,False
DBF4,4,L1|L2|L3|L4,301,True,-0.6146,0.5567,True,True,False
DCPS,4,L1|L2|L3|L4,145,True,-1.1756,0.4308,True,True,False
DDX39B,4,L1|L2|L3|L4,61,True,-0.8609,0.3204,True,True,False
EPOR,4,L1|L2|L3|L4,290,True,-0.592,0.419,True,True,False
IFNAR2,4,L1|L2|L3|L4,252,True,-1.0937,0.6197,True,True,False
INPP5D,4,L1|L2|L3|L4,407,True,-1.1894,0.4048,True,True,False
LSM6,1,L2,13,True,-0.2551,,True,False,False
MAP2K6,4,L1|L2|L3|L4,388,True,-0.3984,0.086,True,True,False
MAPK14,4,L1|L2|L3|L4,403,True,-1.2326,0.6527,True,True,False
MED1,4,L1|L2|L3|L4,195,True,-0.8304,0.4909,True,True,False
MTHFD2,4,L1|L2|L3|L4,400,True,-0.0511,0.3342,True,True,False
NDUFA8,4,L1|L2|L3|L4,228,True,-1.3963,0.2997,True,True,False
NDUFS5,4,L1|L2|L3|L4,207,True,-1.4316,0.1356,True,True,False
NDUFV2,4,L1|L2|L3|L4,394,True,-0.7146,0.1851,True,True,False
PFN2,4,L1|L2|L3|L4,301,True,-1.08,0.5629,True,True,False
PKM,4,L1|L2|L3|L4,395,True,-0.2464,0.1304,True,True,False
PLK1,4,L1|L2|L3|L4,75,True,-2.896,1.3229,True,True,False
PPM1D,4,L1|L2|L3|L4,297,True,-0.1144,0.4688,True,True,False
RIOK2,3,L2|L3|L4,45,True,-0.3644,0.3391,True,True,False
RPS6KA6,4,L1|L2|L3|L4,402,True,-0.4774,0.6165,True,True,False
RPS6KB1,4,L1|L2|L3|L4,374,True,-0.6401,0.3512,True,True,False
RPS6KB2,4,L1|L2|L3|L4,388,True,-0.002,0.2299,True,True,False
SPTLC2,4,L1|L2|L3|L4,239,True,-1.8155,0.5181,True,True,False
STK40,4,L1|L2|L3|L4,272,True,-0.4326,0.3319,True,True,False
TGFBR1,4,L1|L2|L3|L4,232,True,-0.4536,0.0551,True,True,False
TGFBR2,4,L1|L2|L3|L4,564,True,-0.512,0.1272,True,True,False
TRAPPC3,4,L1|L2|L3|L4,228,True,-0.3285,0.0963,True,True,False
TRIM24,4,L1|L2|L3|L4,464,True,-0.6385,0.1259,True,True,False
ZMYND8,4,L1|L2|L3|L4,498,True,-0.2884,0.1872,True,True,False
