target,iTF_self_log2cpm,iTF_self_log2fc,iTF_self_fdr,iPSC_self_log2cpm,iPSC_self_log2fc,iPSC_self_fdr,iTF_engaged,iPSC_engaged,measurable_both
ARID2,1.7059441915001683,-0.281518196361337,0.999999999872378,0.3636267619192055,-1.14954027229188,0.102318775995097,False,False,True
ARID5B,0.8500008738177225,-0.0197701663439265,0.999999999843724,0.2484934401864417,-0.699505099621931,0.999999999160771,False,False,True
ATMIN,1.842425800866492,-0.0657185837754484,0.999999999861042,0.6608306268318195,-0.178844073673018,0.999999997236734,False,False,True
BHLHE40,2.925205492194667,-0.146189834341583,0.999999999894753,0.4353238912800956,-0.607688198126683,0.99999999911873,False,False,True
BHLHE41,0.8667114624258355,-0.71098182138078,0.999999999929295,2.117234506272819,-0.535444614388417,0.999999999834598,False,False,True
BPTF,5.037736106139588,-0.297991759159753,0.999999999156048,3.1592032012063456,-0.0337443341924466,0.999999991221979,False,False,True
CEBPD,4.1212173228318285,-0.446749882325091,0.999999999942059,1.483202945064215,-1.59714202108541,0.999999999931142,False,False,True
CNOT10,1.4094412467108228,0.0722070039371521,0.999999999997329,0.312711076178728,-0.968777873553358,0.99999999228379,False,False,True
DEAF1,0.9235217902700716,-0.652232485711196,0.999999999977109,0.494539265900992,-0.346995635130436,0.99999999687189,False,False,True
DNMT1,1.7729369032614428,-1.28807462914341,6.16274457057477e-11,2.376230178402164,-0.197577708872243,0.999999999849562,True,False,True
FOXK1,0.7616625178787059,-0.176981264393223,0.999999999938379,0.3265586014055485,-0.208740418775689,0.999999999465175,False,False,True
IRF9,1.6511091554878194,-0.134753692370897,0.999999998940552,0.1138203126853099,-0.994961759285261,0.999999969324027,False,False,True
MAF,7.8744572375964434,0.0074982005900354,0.999999997551769,3.8373383023491128,-0.290034185034622,0.999999997875172,False,False,True
MEF2C,0.922947011506944,-1.53589241710093,0.0034736744141207,4.115370727047494,-0.71832829421015,0.999999999506742,True,False,True
MEF2D,0.2418369743594857,-0.951267405676923,0.999999999870357,0.3208762623854959,-0.218542586363554,0.999999999039556,False,False,True
MITF,0.3347309337469644,-0.227878670592502,0.999999999611959,0.2097723089964443,-0.87662117568421,0.999999999060661,False,False,True
POU5F1,,,,,,,False,False,False
PRDM1,1.859312971989788,-0.423194175320149,0.999999999937401,0.8806394339771045,-0.109165217236528,0.999999987905582,False,False,True
RELA,1.4660380817405214,0.171955371518981,0.999999999393674,0.2208342840274144,-1.36588783739312,0.999999999156499,False,False,True
RUNX1,2.9040980549289284,-0.0752580429313823,0.999999999998102,0.4057243691541737,1.7640965150671,0.999999977441468,False,False,True
SALL4,0.0677011514185589,-1.45279279712063,0.999999999841409,0.0,-0.575210752282799,0.999999999920222,False,False,True
SMAD3,0.2258964640099254,-0.600239921098989,0.999999999232808,,,,False,False,False
SPI1,0.1506425269297966,-1.6474279063791,0.999999999996923,6.096178005731962,0.22895029361125,0.999999999855958,False,False,True
SREBF1,1.073401078900807,-0.151628866035587,0.999999999928121,0.2941161094536252,-0.731813416144978,0.999999993857692,False,False,True
STAT1,8.056261341214318,-0.300709542767307,0.999999998295654,0.783935385228653,-1.14031572613691,0.999999999092544,False,False,True
STAT2,2.109785982022536,-1.70952235996082,4.90262084530362e-30,0.4257299574926597,-1.68551607725836,0.0020955616153105,True,True,True
TCF4,1.9685251996255493,-0.605413919063428,0.999999999582826,2.702024952109128,-0.314915787849472,0.999999947041169,False,False,True
ZNF148,3.118212682084894,-0.35857007841698,0.999999998047747,2.625838781398393,-0.195720320945379,0.999999995014668,False,False,True
ZNF532,0.5145350681441233,-0.878196474149054,0.999999998689634,0.0561171080288242,-2.19190564488414,0.0199738653273128,False,True,True
ZNF644,3.916612527591631,-0.128074653507388,0.999999999592604,0.3867961047726463,-2.54621478299315,1.44574815693468e-17,False,True,True
ZNF783,0.0124596784558432,-1.48386035820842,0.999999999876831,0.0259841089074824,-1.41429981854246,0.999999943503503,False,False,True
