cpm_bin,n_rows,pearson,spearman,sign_agreement,frac_sig_itf,frac_sig_ipsc,frac_sig_both
<0.5,163299,0.060484861518217824,0.04519341345620013,0.5214177674082511,0.00023882571234361508,0.0018309971279677156,0.0
0.5-1,72499,0.058297254530259184,0.038509566728575875,0.5161174636891543,0.000951737265341591,0.003806949061366364,0.0
1-2,78053,0.06364908290564704,0.02789354090453629,0.5150602795536366,0.0016270995349313927,0.005778125120110694,8.968265153165157e-05
2-3,38690,0.0795115996096754,0.038502306934186666,0.5138537089687257,0.004006203153269578,0.007960713362626002,0.00012923235978288964
3-4,22053,0.06474614927891299,0.028178735070041365,0.5182061397542285,0.00562281775722124,0.0112909808189362,0.00027207182696231805
4-5,12015,0.10292139682989879,0.05397804255351783,0.5094465251768623,0.009488139825218476,0.014481897627965043,0.0004161464835622139
>5,19509,0.08484844954937151,0.054722798543706354,0.5225793223640371,0.011584396944999744,0.013019631964734225,0.0015890102004203189
