fdr_alpha,n_sig_itf,n_sig_ipsc,n_sig_both,overlap_itf_to_ipsc,overlap_ipsc_to_itf,sign_agreement_among_itf_significant,sign_agreement_among_jointly_significant
0.05,854,2011,54,0.06323185011709602,0.026852312282446545,0.5187353629976581,0.3888888888888889
0.1,1000,2580,72,0.072,0.027906976744186046,0.518,0.4583333333333333
0.25,1336,4162,128,0.09580838323353294,0.030754444978375782,0.5224550898203593,0.5
