target,n_shared_readout,pearson,spearman,sign_agreement,n_sig_itf,n_sig_ipsc,n_sig_both
CEBPD,12956,0.2116842211390401,0.14814823866265542,0.5453843778944119,1,0,0
POU5F1,12944,0.1926449470083025,0.17245439593555875,0.691517305315204,0,0,0
ATMIN,13016,0.1739150644585389,0.12296954584389845,0.5374154886293793,0,3,0
MEF2D,12975,0.14222588200016556,0.08890743921324877,0.5292485549132948,0,0,0
BHLHE41,12999,0.10781116775559317,0.07072527942811578,0.5143472574813447,0,0,0
FOXK1,13166,0.07671741198969258,0.0531580493644426,0.5242290748898678,0,191,0
SPI1,12980,0.07508900786073967,0.060102249775881585,0.5180277349768875,0,2,0
MEF2C,13036,0.059575131053911906,0.047086593592270694,0.5167229211414545,1,0,0
TCF4,13022,0.05820639106280304,0.03561961193360196,0.5099063123944094,1,0,0
SALL4,12962,0.05570461728870413,0.03701554647171117,0.5201357815151982,0,0,0
DEAF1,13004,0.05106952701184866,0.02183778593294652,0.5006151953245155,1,3,0
MAF,13156,0.04998944332148935,0.033723245639989394,0.5171784737002129,0,3,0
CNOT10,13022,0.035918714370180085,0.030057088519534564,0.5176624174473967,0,0,0
PRDM1,13333,0.03530755600359054,0.0365265248090209,0.51548788719718,0,38,0
RUNX1,13090,0.0349711421869979,0.011096528392487292,0.507563025210084,0,0,0
ZNF148,13137,0.027658392592749673,0.009656405087505673,0.5116084341934993,0,0,0
ZNF783,13157,0.0217359619158852,0.018586240400205036,0.510450710648324,0,0,0
RELA,13124,0.018383712646533955,0.009367275653966008,0.4999238037183785,0,0,0
SMAD3,13105,0.01788887482120397,0.007091074308220057,0.49446776039679513,19,0,0
SREBF1,13171,0.016208288532901877,0.01721235058473716,0.5159061574671627,0,0,0
STAT1,13017,0.0158414917675759,0.007297077245969504,0.5022662671890604,0,0,0
ARID2,13268,0.011984584010253117,0.03778756835584427,0.5217063611697317,2,229,0
BPTF,13100,0.010268444045336878,0.0028246261323167294,0.496793893129771,2,0,0
STAT2,13183,0.009281372908784143,0.005150172567383209,0.4991276644162937,109,1,1
IRF9,13210,0.006056072362283581,0.010284881100683797,0.5103709311127933,17,0,0
ZNF644,13375,0.0015621832009890492,0.0017564680634330472,0.5238130841121496,160,625,50
BHLHE40,13066,-0.0018117304036342659,-0.0008248450159802404,0.5065054339507118,0,0,0
MITF,13007,-0.002886870456370259,-0.011053763289889926,0.4968862919966172,0,0,0
DNMT1,12986,-0.009912896408965787,-0.02196984540053058,0.49915293392884647,534,0,0
ARID5B,13144,-0.02152837744725538,-0.003857515787256685,0.5003804017041996,0,0,0
ZNF532,13407,-0.02795567526436992,-0.02345660181928438,0.5073469083314687,7,916,3
