target_symbol,ensembl_gene_id,deposited_guides,guide_evidence
ARID2,ENSG00000189079,2,DEPOSITED
ARID5B,,0,NO_DEPOSITED_PROTOSPACER
ATMIN,ENSG00000166454,2,DEPOSITED
BHLHE40,ENSG00000134107,2,DEPOSITED
BHLHE41,ENSG00000123095,2,DEPOSITED
BPTF,ENSG00000171634,2,DEPOSITED
CEBPD,ENSG00000221869,2,DEPOSITED
CNOT10,ENSG00000182973,2,DEPOSITED
DEAF1,ENSG00000177030,2,DEPOSITED
DNMT1,ENSG00000130816,2,DEPOSITED
FOXK1,ENSG00000164916,2,DEPOSITED
IRF9,ENSG00000213928,2,DEPOSITED
MAF,ENSG00000178573,2,DEPOSITED
MEF2C,ENSG00000081189,2,DEPOSITED
MEF2D,ENSG00000116604,2,DEPOSITED
MITF,ENSG00000187098,2,DEPOSITED
POU5F1,ENSG00000204531,2,DEPOSITED
PRDM1,ENSG00000057657,2,DEPOSITED
RELA,ENSG00000173039,2,DEPOSITED
RUNX1,ENSG00000159216,2,DEPOSITED
SALL4,ENSG00000101115,2,DEPOSITED
SMAD3,ENSG00000166949,2,DEPOSITED
SPI1,ENSG00000066336,2,DEPOSITED
SREBF1,ENSG00000072310,2,DEPOSITED
STAT1,ENSG00000115415,2,DEPOSITED
STAT2,ENSG00000170581,2,DEPOSITED
TCF4,ENSG00000196628,2,DEPOSITED
ZNF148,ENSG00000163848,2,DEPOSITED
ZNF532,ENSG00000074657,2,DEPOSITED
ZNF644,ENSG00000122482,2,DEPOSITED
ZNF783,ENSG00000204946,2,DEPOSITED
