basis,matrix_id,technology,model,n_cells,spearman,r2,mae,unseen_process_family
BALANCED_PCA160,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,10x 3' v3,PROCESS_BASE,2048,,-0.05785944093426543,0.09698412788402225,False
BALANCED_PCA160,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,10x 3' v3,PROCESS_PLUS_QUALITY,2048,0.9761910391085838,0.9110773639732159,0.025294389216339103,False
BALANCED_PCA160,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,10x 3' v3,PROCESS_BASE,2048,,-1.70023757077893,0.121261532384179,False
BALANCED_PCA160,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,10x 3' v3,PROCESS_PLUS_QUALITY,2048,0.9741136956709495,0.8601334981094254,0.022511869351242178,False
BALANCED_PCA160,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,10x 3' v3,PROCESS_BASE,455,,-3.835515795819112,0.13243889600656705,False
BALANCED_PCA160,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,10x 3' v3,PROCESS_PLUS_QUALITY,455,0.9697683721333155,0.8128282206764381,0.020814877364052558,False
BALANCED_PCA160,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,10x 3' v3,PROCESS_BASE,2048,,-0.05993560736506165,0.10234065664274036,False
BALANCED_PCA160,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,10x 3' v3,PROCESS_PLUS_QUALITY,2048,0.9806874726654504,0.9147433067767907,0.025577213115777684,False
BALANCED_PCA160,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,10x 3' v3,PROCESS_BASE,2048,,-0.5802582053041263,0.11744134117257835,False
BALANCED_PCA160,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,10x 3' v3,PROCESS_PLUS_QUALITY,2048,0.9827680127589139,0.887073802509225,0.02544870978682543,False
BALANCED_PCA160,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,10x 3' v3,PROCESS_BASE,246,,-0.2842893428166593,0.08984849062087173,False
BALANCED_PCA160,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,10x 3' v3,PROCESS_PLUS_QUALITY,246,0.9754900518516875,0.9128470603306909,0.02119867346870636,False
BALANCED_PCA160,HVS::5fff0955-173e-407d-b160-64f513ca6db6,10x 3' v3,PROCESS_BASE,2048,,-0.1125913444257407,0.09245062452958905,False
