matrix_id,dataset_id,n_cells,variance_retained_top32,variance_retained_top64,variance_retained_top160
HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,HVS,512,0.3306496412886966,0.36495908708363767,0.40467440568742263
HVS::38374d1b-6549-4429-b59a-ff2706dacd96,HVS,512,0.3896489316711629,0.4317028948794222,0.4696788912095689
HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,HVS,455,0.42575324157305966,0.4691952382473645,0.5056965648578233
HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,HVS,512,0.30804317992007346,0.3430423742074955,0.3890973657357977
HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,HVS,512,0.32402578717612673,0.3645053181451304,0.40547257415772103
HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,HVS,246,0.3468500803670978,0.387276002733711,0.43984008822755155
HVS::5fff0955-173e-407d-b160-64f513ca6db6,HVS,512,0.21461813452742426,0.26973281502504776,0.31697964062791917
HVS::6201fd7d-f35b-4487-bace-99426881237b,HVS,512,0.3763242391594251,0.4098128781212131,0.44941524278322653
HVS::77dc6994-2777-4fad-a445-4ff7d143a682,HVS,512,0.36391622262306206,0.4050982680647537,0.4408522485129391
HVS::7958eba0-1d79-42e3-8947-a198f98578f2,HVS,512,0.2963915475760046,0.323559999943003,0.3694560305411002
HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,HVS,512,0.3454641550759971,0.36212057875133313,0.411056293173667
HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,HVS,512,0.36351701070659354,0.41414168538799095,0.45014662005774225
HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,HVS,512,0.26517413965682335,0.3002827019456006,0.3438608141690102
HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,HVS,512,0.30213573751427153,0.34188589694324867,0.3936711623905881
HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,HVS,512,0.3603529806777596,0.38134253032144777,0.41942916881475534
HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,HVS,512,0.2648167474862459,0.28902348925192967,0.34267306537145087
HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,HVS,512,0.3835388488933009,0.41671329401573337,0.45530475502657874
HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,HVS,512,0.3178858332114591,0.35197806148635175,0.3909561156990995
HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,HVS,512,0.3347513099719936,0.38000941786264114,0.41826910134096906
HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,HVS,512,0.37145556257838297,0.3954277775777075,0.443495777799886
HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,HVS,512,0.29383868480748904,0.3357785074630094,0.37194725228511083
HVS::d1303087-592a-4c3d-aa3e-21de203927dc,HVS,512,0.2578537240896396,0.30649487365031214,0.35940355647208344
HVS::e813d04b-7833-4b02-b14f-0247d6128516,HVS,512,0.33511124150014715,0.3550542991423712,0.3928780196980083
HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,HVS,508,0.3629387104219962,0.3826557533865466,0.433974518659756
NPH52_exact_source_objects,NPH52,246,0.42868154679643367,0.461369350062139,0.5318360233733561
sea_ad_ang_rna_final_2026,sea_ad_ang_rna_final_2026,512,0.3476507439307192,0.3802649670767266,0.4248397071127997
sea_ad_caudate_rna_all_2025,sea_ad_caudate_rna_all_2025,512,0.4121995528009045,0.43326460435338104,0.4785656781703048
sea_ad_fi_rna_final_2026,sea_ad_fi_rna_final_2026,512,0.33314859701830923,0.3640236924727116,0.4098634418517104
sea_ad_hip_rna_final_2026,sea_ad_hip_rna_final_2026,512,0.401012729700481,0.45918564889090235,0.5003085488804527
sea_ad_itg_rna_final_2026,sea_ad_itg_rna_final_2026,512,0.38044019367320614,0.41319676840244046,0.45224720823557035
sea_ad_lec_rna_final_2026,sea_ad_lec_rna_final_2026,512,0.36895977098560095,0.4044450870356648,0.45222285204651635
sea_ad_mec_rna_final_2026,sea_ad_mec_rna_final_2026,512,0.3591973390876473,0.39410290367493117,0.4402266834615678
sea_ad_mtg_rna_final_2026,sea_ad_mtg_rna_final_2026,512,0.37239393344369875,0.4079149637948292,0.4479454099469289
sea_ad_pfc_a9_rna_final_2026,sea_ad_pfc_a9_rna_final_2026,512,0.3843315879040133,0.4187034392160104,0.45767088129723177
sea_ad_stg_rna_final_2026,sea_ad_stg_rna_final_2026,512,0.40101724727943794,0.43617884288365755,0.47447489452859565
sea_ad_v1c_rna_final_2026,sea_ad_v1c_rna_final_2026,512,0.3629785482781263,0.40971869968375535,0.4537539108885796
