basis,holdout_type,holdout_id,heldout_matrices,status,shared_label_count,n_queries,n_queries_excluded_incompatible_label,balanced_accuracy,macro_f1,neighbor_purity,median_nearest_support_distance,median_canonical_correlation,reference_norm_median,query_norm_median,median_norm_shift,mean_coordinate_variance_ratio
BALANCED_PCA160,dataset_id,HVS,24,identifiable_shared_label_vocabulary,3,3072,0,0.9939236111111112,0.9939937594396637,0.9916666666666667,0.39934077858924866,0.8268671035766602,20.836301803588867,22.2989444732666,1.4626426696777344,0.7095173597335815
BALANCED_PCA160,dataset_id,NPH52,1,not_identifiable_incompatible_label_vocabularies,0,0,128,,,,0.20954948663711548,0.9964975118637085,20.423377990722656,29.615161895751953,9.191783905029297,0.8819936513900757
BALANCED_PCA160,dataset_id,sea_ad_ang_rna_final_2026,1,identifiable_shared_label_vocabulary,3,128,0,0.9704433497536945,0.9732615173894534,0.9802083333333333,0.2670423686504364,0.9993886351585388,20.448001861572266,22.287670135498047,1.8396682739257812,1.032899022102356
BALANCED_PCA160,dataset_id,sea_ad_caudate_rna_all_2025,1,not_identifiable_incompatible_label_vocabularies,0,0,128,,,,0.4369654059410095,0.999596118927002,20.48819923400879,18.579238891601562,-1.9089603424072266,0.7267524600028992
BALANCED_PCA160,dataset_id,sea_ad_fi_rna_final_2026,1,identifiable_shared_label_vocabulary,3,128,0,1.0,1.0,0.9963541666666667,0.24456125497817993,0.999335765838623,20.47726058959961,21.584693908691406,1.1074333190917969,0.8885596990585327
BALANCED_PCA160,dataset_id,sea_ad_hip_rna_final_2026,1,identifiable_shared_label_vocabulary,3,128,0,0.9791666666666666,0.9860110658732645,0.9911458333333334,0.2910458445549011,0.9994494915008545,20.421483993530273,21.549102783203125,1.1276187896728516,0.9121466875076294
BALANCED_PCA160,dataset_id,sea_ad_itg_rna_final_2026,1,identifiable_shared_label_vocabulary,3,128,0,1.0,1.0,0.9973958333333333,0.19949334859848022,0.9996299147605896,20.554542541503906,20.287803649902344,-0.2667388916015625,0.620632529258728
BALANCED_PCA160,dataset_id,sea_ad_lec_rna_final_2026,1,identifiable_shared_label_vocabulary,3,128,0,0.9731060606060606,0.9614978498277305,0.9666666666666667,0.36229684948921204,0.999454915523529,20.502220153808594,20.90469741821289,0.4024772644042969,0.9925775527954102
BALANCED_PCA160,dataset_id,sea_ad_mec_rna_final_2026,1,identifiable_shared_label_vocabulary,3,128,0,1.0,1.0,1.0,0.2685871422290802,0.9995004534721375,20.47870445251465,20.80805206298828,0.3293476104736328,0.8403846621513367
BALANCED_PCA160,dataset_id,sea_ad_mtg_rna_final_2026,1,identifiable_shared_label_vocabulary,3,128,0,1.0,1.0,0.9994791666666667,0.22917993366718292,0.9996123313903809,20.515453338623047,20.98352813720703,0.4680747985839844,0.7268573045730591
BALANCED_PCA160,dataset_id,sea_ad_pfc_a9_rna_final_2026,1,identifiable_shared_label_vocabulary,3,128,0,1.0,1.0,0.9994791666666667,0.22645467519760132,0.9995814561843872,20.519241333007812,20.730724334716797,0.21148300170898438,0.7184930443763733
BALANCED_PCA160,dataset_id,sea_ad_stg_rna_final_2026,1,identifiable_shared_label_vocabulary,3,128,0,1.0,1.0,0.9989583333333334,0.21640655398368835,0.9997013807296753,20.57413101196289,20.27862548828125,-0.2955055236816406,0.6348851919174194
BALANCED_PCA160,dataset_id,sea_ad_v1c_rna_final_2026,1,identifiable_shared_label_vocabulary,3,128,0,0.99625468164794,0.9913140397401898,0.9921875,0.28173795342445374,0.9996030926704407,20.571409225463867,20.64606475830078,0.07465553283691406,0.7675707936286926
BALANCED_REP160,dataset_id,HVS,24,identifiable_shared_label_vocabulary,3,3072,0,0.9936342592592594,0.993704661431399,0.9915581597222222,0.31870710849761963,0.8481462001800537,20.869327545166016,19.87093734741211,-0.9983901977539062,0.7376967668533325
BALANCED_REP160,dataset_id,NPH52,1,not_identifiable_incompatible_label_vocabularies,0,0,128,,,,0.2031306028366089,0.9959844946861267,19.919340133666992,29.31877326965332,9.399433135986328,0.7981513738632202
BALANCED_REP160,dataset_id,sea_ad_ang_rna_final_2026,1,identifiable_shared_label_vocabulary,3,128,0,0.9704433497536945,0.9732615173894534,0.9802083333333333,0.26451575756073,0.9993292093276978,19.953325271606445,21.81961441040039,1.8662891387939453,0.8195474743843079
