name,path,shape,dtype,bytes,sha256
A_views,A_views.npy,"[4553407, 4, 512]",float32,37301510272,20e5fecef878d421973647dfc656c5ecba5a6823cacf0030ed2402fba89e23e0
B_views,B_views.npy,"[4553407, 4, 512]",float32,37301510272,cfcc75ad72014ea5d6063cc02da5a2e33418dfb39bd06d46e748b400c97be908
A_full,A_full.npy,"[4553407, 512]",float32,9325377664,ea60949152369d4aef28dff0e77230854255a45b0535400b7d7fc07798956aa7
B_full,B_full.npy,"[4553407, 512]",float32,9325377664,11076b973e14e6b9d6bc232db9b1ca7d7e9e23c784a5e5db294f993bbf54af02
physical_descriptors,physical_descriptors.npy,"[4553407, 6]",float32,109281896,9e564521acd2e680a56ca209ab0529ecb4e58cd5877153ec6b840b01cb3d6bfe
ASSEMBLY_SEEN,ASSEMBLY_SEEN.npy,[4553407],uint8,4553535,0339d2e79599419f369d78cddf14448019f89476eb674000437b72a1b4fb640e
rows,PHASE2_FEATURE_ROWS.csv,[4553407],csv,158047725,9c734945925c04dd7b108d0f37e39d9ea49687b4701ebce6b94b01c2ed09ac59
