artifact,absolute_path,size_bytes,sha256,committed_to_git,disposition
laneD_atac_peak_coordinates_v1.csv.gz,D:/jepa_laneD_outputs_20260926/laneD_atac_peak_coordinates_v1.csv.gz,3297679,f76cafcb83cc86252c6ba904b3b6bf4e1845a8428e7539e251924b073b140825,False,referenced_by_path_size_sha256_not_committed
laneD_coordinate_map_audit_v1.json,D:/jepa_laneD_outputs_20260926/laneD_coordinate_map_audit_v1.json,4761,a12af70fe481eb2a62100a1541eed2ab029cac0715eaae988bcb7a169ad75f1e,True,committed
laneD_duplicate_copy_scan_v1.csv,D:/jepa_laneD_outputs_20260926/laneD_duplicate_copy_scan_v1.csv,1470,33dbeea2245301f27812972382ffb92cebda06f02b03447dd0099c3f4a66ce8e,True,committed
laneD_environment_and_asset_manifest_v1.json,D:/jepa_laneD_outputs_20260926/laneD_environment_and_asset_manifest_v1.json,23867,b117352b7108b3c8ad2362af3d3a5a86112b025068b6a057963c8cf4e0a88e6e,True,committed
laneD_file_authentication_v1.csv,D:/jepa_laneD_outputs_20260926/laneD_file_authentication_v1.csv,2161,a58fbfb7a58ba8df19513b084160f4947485c16c01291a660459dcb5246e64f1,True,committed
laneD_gene_atac_evidence_v1.csv.gz,D:/jepa_laneD_outputs_20260926/laneD_gene_atac_evidence_v1.csv.gz,269637,826f4f03fb065ba09168f679a5abae505c7e6793792d4fd79e6a0bf4686118aa,False,referenced_by_path_size_sha256_not_committed
laneD_gene_collision_register_v1.csv,D:/jepa_laneD_outputs_20260926/laneD_gene_collision_register_v1.csv,84450,19cdfc9f918ef4dfcc61b72a3ac55ca09ed920d7e5a9c0667725c386e8438038,True,committed
laneD_gene_feature_map_v1.csv.gz,D:/jepa_laneD_outputs_20260926/laneD_gene_feature_map_v1.csv.gz,807708,a2da7102e6c83d271d63219fd554435708d0588c0a7c0863ec588aad623ae4d6,False,referenced_by_path_size_sha256_not_committed
laneD_missing_resource_acquisition_plan_v1.csv,D:/jepa_laneD_outputs_20260926/laneD_missing_resource_acquisition_plan_v1.csv,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,True,committed
laneD_peak_gene_ambiguity_map_v1.csv.gz,D:/jepa_laneD_outputs_20260926/laneD_peak_gene_ambiguity_map_v1.csv.gz,5071955,b64f24ef045a3da93446b50c535fbeff0fd44fd3f71239960da89b9b3336717e,False,referenced_by_path_size_sha256_not_committed
laneD_peak_to_gene_full_universe_v1.csv.gz,D:/jepa_laneD_outputs_20260926/laneD_peak_to_gene_full_universe_v1.csv.gz,8118003,3818ab25965856dbf3a76bc3ab5d9d09020b6105530bc1fa9e366ebee1b5c586,False,referenced_by_path_size_sha256_not_committed
laneD_peak_to_gene_manifest_v1.json,D:/jepa_laneD_outputs_20260926/laneD_peak_to_gene_manifest_v1.json,7598,d2f9c9b2cbe118fc6b412d30ebc0dd84eb9c4dfe7955d0ec2bc3e2d2c1317fcc,True,committed
laneD_physical_asset_inventory_v1.csv,D:/jepa_laneD_outputs_20260926/laneD_physical_asset_inventory_v1.csv,4652,787005e445737d9f5d1e76f6336234edabd626415d734a809ae19e80f7cb9504,True,committed
laneD_provenance_manifest_v1.json,D:/jepa_laneD_outputs_20260926/laneD_provenance_manifest_v1.json,16440,dd8d39a107bd33005f99046396bae955ff418822160c58b4fe8de9567cd152c1,True,committed
laneD_recorded_shape_checks_v1.csv,D:/jepa_laneD_outputs_20260926/laneD_recorded_shape_checks_v1.csv,489,e42be9cf89b20d89d2ba9777a691d06314095fe66eb81888223f520426b1a764,True,committed
laneD_sample_donor_overlap_v1.csv,D:/jepa_laneD_outputs_20260926/laneD_sample_donor_overlap_v1.csv,2054,fe33d27035ab0bf4bbd99fdb1e1cdfdc6bf3feeef00aa8de550590219d6d08aa,True,committed
laneD_stage75f_authentication_v1.csv,D:/jepa_laneD_outputs_20260926/laneD_stage75f_authentication_v1.csv,2818,8e2136b9fdbb6f23f34a42dcafa28bb44255dc46ccc152e7a7c320cb183a266d,True,committed
