source,native_class,sample_B_cells,sample_B_donors
HVS,L2/3 IT,2292,41
HVS,Oligodendrocyte,1565,41
HVS,L4 IT,828,41
NPH52,Oligo,2159,16
NPH52,ExN,602,14
NPH52,Astro,322,16
SEA_AD,L2/3 IT,1724,46
SEA_AD,Astrocyte,877,46
SEA_AD,L4 IT,873,46
