panel,source,split,half,committed_observed,replay_observed,observed_exact_match,committed_null_p95,replay_null_p95,null_p95_exact_match,committed_null_max,replay_null_max,null_max_exact_match,pass
0,HVS,0,0,0.6071428571428571,0.6071428571428571,True,0.5517241379310345,0.5517241379310345,True,0.5689655172413793,0.5689655172413793,True,True
0,HVS,0,1,0.5484625668449198,0.5484625668449198,True,0.5441558441558441,0.5441558441558441,True,0.5736507936507937,0.5736507936507937,True,True
0,HVS,1,0,0.6071428571428571,0.6071428571428571,True,0.5178571428571429,0.5178571428571429,True,0.5714285714285714,0.5714285714285714,True,True
0,HVS,1,1,0.5484625668449198,0.5484625668449198,True,0.5473059360730593,0.5473059360730593,True,0.553030303030303,0.553030303030303,True,True
0,NPH52,0,0,0.6253880266075388,0.6253880266075388,True,0.5625,0.5625,True,0.5707488970313318,0.5707488970313318,True,True
0,NPH52,0,1,0.5883325729927007,0.5883325729927007,True,0.5534188733593008,0.5534188733593008,True,0.5729519851252324,0.5729519851252324,True,True
0,NPH52,1,0,0.6163506940746264,0.6163506940746264,True,0.5666648915397451,0.5666648915397451,True,0.5784515675241158,0.5784515675241158,True,True
0,NPH52,1,1,0.6086871133514451,0.6086871133514451,True,0.5614011337676622,0.5614011337676622,True,0.5817454268292683,0.5817454268292683,True,True
0,SEA_AD,0,0,0.6145833333333334,0.6145833333333334,True,0.581151832460733,0.581151832460733,True,0.5885416666666666,0.5885416666666666,True,True
0,SEA_AD,0,1,0.6291012838801712,0.6291012838801712,True,0.5747126436781609,0.5747126436781609,True,0.58,0.58,True,True
0,SEA_AD,1,0,0.6323296354992076,0.6323296354992076,True,0.5752351097178683,0.5752351097178683,True,0.5817610062893082,0.5817610062893082,True,True
0,SEA_AD,1,1,0.6153846153846154,0.6153846153846154,True,0.577524893314367,0.577524893314367,True,0.5804597701149425,0.5804597701149425,True,True
1,HVS,0,0,0.6236559139784946,0.6236559139784946,True,0.5263157894736842,0.5263157894736842,True,0.5769230769230769,0.5769230769230769,True,True
1,HVS,0,1,0.5769230769230769,0.5769230769230769,True,0.5471175166297118,0.5471175166297118,True,0.5532363977485929,0.5532363977485929,True,True
1,HVS,1,0,0.6236559139784946,0.6236559139784946,True,0.5378787878787878,0.5378787878787878,True,0.5769230769230769,0.5769230769230769,True,True
1,HVS,1,1,0.5769230769230769,0.5769230769230769,True,0.5497078968573731,0.5497078968573731,True,0.565160567587752,0.565160567587752,True,True
1,NPH52,0,0,0.6131929046563193,0.6131929046563193,True,0.567961884072282,0.567961884072282,True,0.5923295454545454,0.5923295454545454,True,True
1,NPH52,0,1,0.572158481925363,0.572158481925363,True,0.5427670340334096,0.5427670340334096,True,0.5613672902660041,0.5613672902660041,True,True
1,NPH52,1,0,0.5878141167775315,0.5878141167775315,True,0.5638056436618177,0.5638056436618177,True,0.5706563813315638,0.5706563813315638,True,True
1,NPH52,1,1,0.5942950581395349,0.5942950581395349,True,0.5503650967506389,0.5503650967506389,True,0.5634716981132075,0.5634716981132075,True,True
1,SEA_AD,0,0,0.6197916666666666,0.6197916666666666,True,0.5803698435277382,0.5803698435277382,True,0.5852272727272727,0.5852272727272727,True,True
1,SEA_AD,0,1,0.6287339971550497,0.6287339971550497,True,0.5743348982785602,0.5743348982785602,True,0.5823863636363636,0.5823863636363636,True,True
1,SEA_AD,1,0,0.625,0.625,True,0.5796875,0.5796875,True,0.5832147937411095,0.5832147937411095,True,True
1,SEA_AD,1,1,0.6187766714082503,0.6187766714082503,True,0.577524893314367,0.577524893314367,True,0.5814285714285714,0.5814285714285714,True,True
