artifact,bytes,sha256,result_state
CONTEXTUAL_TARGET_V1_F1_CELL_DONOR_OPERATOR_AUTHORITY.json,2404675,32437e5ebb01deb8fad771f8b2d4d9bd2b62b061f89c1e79fdbc6629d11af9fe,PROSPECTIVE_PRE_RESULT
CONTEXTUAL_TARGET_V1_F1_EVIDENCE_MASK_CONTRACT.md,1388,d1eefdab177501a00370d71521ae86932e60540fb9f769dfe2b56c7994ca5c5a,PROSPECTIVE_PRE_RESULT
CONTEXTUAL_TARGET_V1_F1_INDEPENDENT_ADJUDICATOR_PLAN.md,1253,99c5ae45bc4a832a89cf3e4291053c6c6d26d0db3862651698a5f689e8fdf7b6,PROSPECTIVE_PRE_RESULT
CONTEXTUAL_TARGET_V1_F1_LEAN_EXECUTION_PLAN.md,1327,6a3f9d201728ea1563b60763ff436cb0e66c4edc34ccc66153ba1be8b344bada,PROSPECTIVE_PRE_RESULT
CONTEXTUAL_TARGET_V1_F1_MATCHED_NULL_CONTRACT.md,1420,d0bd54332b6430ab49a12a673088554e226c1582d37230439fbd310b61b827a0,PROSPECTIVE_PRE_RESULT
CONTEXTUAL_TARGET_V1_F1_PREFLIGHT_EXTERNAL_REVIEW_HANDOFF.md,1804,4565978902dff480975c6e63045b25c95a1a12616b09d3401b55f1d4667e0500,STOP_F1_QUERY_POPULATION_UNRESOLVED
CONTEXTUAL_TARGET_V1_F1_PREFLIGHT_RED_TEAM.md,3594,3d516333449ca72840c3d04578f10c6842162e7ebfe83be00c78c154ebd6c824,STOP_F1_QUERY_POPULATION_UNRESOLVED
CONTEXTUAL_TARGET_V1_F1_PREFLIGHT_SOURCE_AUTHORITY.json,3282,788ae833119102c19a5bb1b6cdfaa03f72ae152756b69518867b7e265134fba2,PASS_AUTHORITY_BINDINGS
CONTEXTUAL_TARGET_V1_F1_PRODUCTION_INGRESS_CALL_GRAPH.md,2420,8ff7227d41c167dc689bebc24d594219e8f52c0bafb76d8334089d813f2ca388,PASS_PRODUCTION_INGRESS_DESIGN
CONTEXTUAL_TARGET_V1_F1_QUERY_PANEL_PROPOSAL.json,114427,165116b3efbb5f40ae542f8644270984808f40cced77b370d6be4dd99b62171f,STOP_F1_QUERY_POPULATION_UNRESOLVED
CONTEXTUAL_TARGET_V1_F1_RESOURCE_BENCHMARK.json,9170,3ca580c51c789e9a8dd4491c0418960c53a21451c5ed62b3b24641ee87d946f3,STOP_F1_RESOURCE_INFEASIBLE
CONTEXTUAL_TARGET_V1_F1_STATISTICAL_ANALYSIS_PLAN.md,2756,08c2ef6db0f648ec423b065598309445deddc18dbf3ae6bd7ad9566f1b79c527,STOP_F1_STATISTICAL_RULE_UNRESOLVED
