metric,value
n_genes,2957
n_edge_index_columns,231015
max_edge_node_idx,2956
n_annotation_rows,2957
annotation_sum_is_hpa_fda_drug_target,136
annotation_sum_is_hpa_predicted_secreted,105
annotation_sum_is_hpa_predicted_membrane,735
