module,perturbation,perturbation_type,intervention,n_genes_perturbed,genes,mean_latent_shift,median_latent_shift,mean_nearest_real_cell_distance,p95_nearest_real_cell_distance,baseline_nn_p95_threshold,manifold_violation_fraction,mean_delta_percent AT8 positive area_Grey matter,median_delta_percent AT8 positive area_Grey matter,mean_delta_percent NeuN positive area_Grey matter,median_delta_percent NeuN positive area_Grey matter,mean_delta_percent GFAP positive area_Grey matter,median_delta_percent GFAP positive area_Grey matter,mean_delta_percent Iba1 positive area_Grey matter,median_delta_percent Iba1 positive area_Grey matter,mean_delta_percent 6e10 positive area_Grey matter,median_delta_percent 6e10 positive area_Grey matter
unannotated,TLR2,gene,global_mean,1,TLR2,0.0002900184481404722,0.00023441805387847126,0.0002900184197602743,0.0006384156586136669,0.018411353789269926,0.0,-0.02603066898882389,-0.02054452896118164,0.02800772711634636,0.010317087173461914,-0.006555774249136448,0.010737895965576172,0.007568540051579475,0.020943164825439453,-0.018302690237760544,-0.0357053279876709
homeostatic_microglia,CSF1R,gene,global_mean,1,CSF1R,0.00022335172980092466,0.00015897008415777236,0.00022335171906155305,0.0006589202850591392,0.018411353789269926,0.0,-0.02803400345146656,-0.0287855863571167,-0.010480018332600594,-0.007791280746459961,-0.008347648195922375,0.0003619194030761719,0.028335364535450935,0.028046607971191406,-0.02616693452000618,-0.029824256896972656
unannotated,STAT3,gene,global_mean,1,STAT3,0.0003686890995595604,0.000411157903727144,0.00036868906456709056,0.0005240989092271775,0.018411353789269926,0.0,-0.024391798302531242,-0.01832401752471924,-0.03229770064353943,-0.023594021797180176,-0.1042005643248558,-0.08208131790161133,0.08123119175434113,0.07808566093444824,-0.013984381221234798,-0.023580074310302734
homeostatic_microglia,P2RY12,gene,global_mean,1,P2RY12,0.0002737671893555671,0.0002915646182373166,0.0002737671398321814,0.0003936057561077178,0.018411353789269926,0.0,0.03463708609342575,0.03380477428436279,-0.008298599161207676,-0.009107351303100586,0.0678551197052002,0.11308097839355469,0.009566928260028362,0.02431035041809082,0.02891703136265278,0.03017902374267578
chemokine_migration;homeostatic_microglia;synapse_pruning,CX3CR1,gene,global_mean,1,CX3CR1,0.0002594675461295992,0.00024743552785366774,0.0002594675159021265,0.00043643396347761156,0.018411353789269926,0.0,0.00021822264534421265,-0.004015862941741943,0.012222714722156525,0.019505977630615234,0.0493222251534462,0.038535118103027344,-0.0067902253940701485,-0.003641366958618164,-0.015537082217633724,-0.02778160572052002
disease_associated_microglia;lipid_metabolism;plaque_response,APOE,gene,global_mean,1,APOE,0.0002938831748906523,0.000358274148311466,0.00029388314242901687,0.0004368214140413329,0.018411353789269926,0.0,-0.0350559800863266,-0.033501386642456055,0.003881126409396529,0.004198312759399414,-0.0326707698404789,-0.024267196655273438,0.05011576786637306,0.04402279853820801,-0.05313394218683243,-0.05292332172393799
disease_associated_microglia;lipid_metabolism;plaque_response;synapse_pruning,TREM2,gene,global_mean,1,TREM2,0.00014079436368774623,9.056932321982458e-05,0.00014079431311769678,0.0004053403739817441,0.018411353789269926,0.0,0.007138833403587341,0.007526516914367676,-0.0009246220579370856,-0.0013325214385986328,0.0010198046220466495,0.0001361370086669922,-0.013051921501755714,-0.01291811466217041,0.0041663446463644505,0.0038497447967529297
unannotated,BCL2,gene,global_mean,1,BCL2,0.00035332838888280094,0.0003810234775301069,0.00035332841460539643,0.0005013871181290597,0.018411353789269926,0.0,-0.010536645539104939,-0.010098516941070557,-0.009870517998933792,-0.009914040565490723,0.01060534082353115,0.013781547546386719,0.010880948044359684,0.008813977241516113,-0.032693829387426376,-0.031204938888549805
unannotated,CD4,gene,global_mean,1,CD4,0.00030187933589331806,0.00026415460160933435,0.0003018793128432218,0.0005397638480644674,0.018411353789269926,0.0,-0.027400579303503036,-0.029394865036010742,0.01691358909010887,0.016849517822265625,0.029462452977895737,0.039777278900146484,-0.017815953120589256,-0.01971292495727539,-0.04677438363432884,-0.045003414154052734
unannotated,APP,gene,global_mean,1,APP,0.0005346212419681251,0.0004662949650082737,0.0005346213007251351,0.0009307093045208604,0.018411353789269926,0.0,-0.0348559245467186,-0.02926921844482422,0.023125488311052322,0.0209122896194458,0.07043921947479248,0.056817054748535156,0.12495351582765579,0.12621355056762695,-0.015919361263513565,-0.021103620529174805
at8_associated_first_pass,PTPRG,gene,global_mean,1,PTPRG,0.00018864008598029613,0.0001514916366431862,0.00018864005528612616,0.0003786789020523429,0.018411353789269926,0.0,0.01862955093383789,0.02081376314163208,-0.0021573908161371946,-0.0026297569274902344,-0.0014031495666131377,-0.0002498626708984375,-0.0036701553035527468,-0.003715038299560547,0.016508379951119423,0.021192312240600586
at8_associated_first_pass,CHI3L1,gene,global_mean,1,CHI3L1,5.747580144088715e-05,3.321662006783299e-05,5.7475697455728447e-05,0.0003144066751701758,0.018411353789269926,0.0,0.007745944894850254,0.018007516860961914,0.002192059298977256,-0.007660865783691406,0.009718125686049461,0.006987094879150391,0.0032495823688805103,0.02575206756591797,0.00014493973867502064,0.00026726722717285156
at8_associated_first_pass,DRAM1,gene,global_mean,1,DRAM1,8.494639041600749e-05,5.0270424253540114e-05,8.494632528619994e-05,0.0003220553684514016,0.018411353789269926,0.0,0.002731136977672577,0.004791140556335449,-0.005687383934855461,-0.012223482131958008,0.011475817300379276,0.001239776611328125,-0.001590245170518756,-0.0028023719787597656,0.0005583709571510553,0.004067659378051758
vascular_barrier_myeloid,F13A1,gene,global_mean,1,F13A1,0.00012773263733834028,7.401481707347557e-05,0.0001277326028237635,0.0004740259289974348,0.018411353789269926,0.0,-0.004926958121359348,-0.01837790012359619,-0.00038587243761867285,0.007015228271484375,0.010958918370306492,0.009562492370605469,0.006233555730432272,-0.011476993560791016,-0.003954998683184385,-0.008356094360351562
