condition,aux_condition_type,target,n_donors,pooled_oof_spearman,stage27c_target_spearman,delta_vs_stage27c_target,seed
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.38725228145948143,0.3347372684013365,0.05251501305814493,10
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,AT8,84,0.5353679623058493,0.5284398096588033,0.006928152647045938,10
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.2942189141647834,0.3022982687050723,-0.008079354540288908,10
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,Iba1,84,0.17899944020510428,0.0160777564037663,0.16292168380133798,10
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.5019292694451475,0.4519590968917688,0.04997017255337871,10
no_aux_pls4,no_aux_baseline,6e10/A_beta,84,0.3164653189228241,0.3347372684013365,-0.018271949478512406,10
no_aux_pls4,no_aux_baseline,AT8,84,0.5547345982708248,0.5284398096588033,0.026294788612021502,10
no_aux_pls4,no_aux_baseline,GFAP,84,0.2302512362856254,0.3022982687050723,-0.0720470324194469,10
no_aux_pls4,no_aux_baseline,Iba1,84,0.13350277873304828,0.0160777564037663,0.11742502232928198,10
no_aux_pls4,no_aux_baseline,NeuN,84,0.4699269997335404,0.4519590968917688,0.017967902841771632,10
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.34801058191305123,0.3347372684013365,0.013273313511714735,10
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,AT8,84,0.5106329596769421,0.5284398096588033,-0.017806849981861217,10
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,GFAP,84,0.22300082353250253,0.3022982687050723,-0.07929744517256979,10
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,Iba1,84,0.13080923055776075,0.0160777564037663,0.11473147415399446,10
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,NeuN,84,0.47655025428777814,0.4519590968917688,0.024591157396009367,10
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.40290240794659676,0.3347372684013365,0.06816513954526027,11
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,AT8,84,0.5039593399073143,0.5284398096588033,-0.024480469751488987,11
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.34072762220214403,0.3022982687050723,0.03842935349707172,11
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,Iba1,84,0.0998652909380779,0.0160777564037663,0.0837875345343116,11
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.4677466103294722,0.4519590968917688,0.015787513437703404,11
no_aux_pls4,no_aux_baseline,6e10/A_beta,84,0.37708870333792827,0.3347372684013365,0.04235143493659177,11
no_aux_pls4,no_aux_baseline,AT8,84,0.5205763885487688,0.5284398096588033,-0.007863421110034574,11
no_aux_pls4,no_aux_baseline,GFAP,84,0.24762146519903777,0.3022982687050723,-0.054676803506034544,11
no_aux_pls4,no_aux_baseline,Iba1,84,0.09810278352117703,0.0160777564037663,0.08202502711741073,11
no_aux_pls4,no_aux_baseline,NeuN,84,0.4394910124682323,0.4519590968917688,-0.012468084423536474,11
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.42564763374144543,0.3347372684013365,0.09091036534010893,11
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,AT8,84,0.47587946429320516,0.5284398096588033,-0.05256034536559817,11
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,GFAP,84,0.3284842739514636,0.3022982687050723,0.02618600524639131,11
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,Iba1,84,0.0433941481264556,0.0160777564037663,0.027316391722689303,11
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,NeuN,84,0.4541049292115188,0.4519590968917688,0.0021458323197500184,11
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.3044647469042691,0.3347372684013365,-0.030272521497067384,12
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,AT8,84,0.4441181599531603,0.5284398096588033,-0.08432164970564304,12
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.2751412883301427,0.3022982687050723,-0.02715698037492964,12
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,Iba1,84,0.14101123287606715,0.0160777564037663,0.12493347647230085,12
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.5220192421644805,0.4519590968917688,0.0700601452727117,12
no_aux_pls4,no_aux_baseline,6e10/A_beta,84,0.27319085080473204,0.3347372684013365,-0.06154641759660445,12
no_aux_pls4,no_aux_baseline,AT8,84,0.47351473568265146,0.5284398096588033,-0.05492507397615187,12
no_aux_pls4,no_aux_baseline,GFAP,84,0.15295416952481392,0.3022982687050723,-0.1493440991802584,12
