model_variant,latent_dim,seed,target_family,family_mean_oof_spearman
programming_plus_repaired_state_modules_full,8,107,amyloid_tau,0.3808342614154096
programming_plus_repaired_state_modules_full,8,107,glial_reactivity,0.17655158448921737
programming_plus_repaired_state_modules_full,8,107,neuron_preservation,0.5135769970638858
repaired_state_modules_full,8,401,amyloid_tau,0.3780803887820189
repaired_state_modules_full,8,401,glial_reactivity,0.20067834362660728
repaired_state_modules_full,8,401,neuron_preservation,0.4680166042320542
negative_control_programming_plus_module_shuffled_compressed,8,107,amyloid_tau,0.3736458438797206
negative_control_programming_plus_module_shuffled_compressed,8,107,glial_reactivity,0.16755087577199557
negative_control_programming_plus_module_shuffled_compressed,8,107,neuron_preservation,0.5162903715703149
programming_plus_repaired_state_modules_compressed,8,107,amyloid_tau,0.3758732408626101
programming_plus_repaired_state_modules_compressed,8,107,glial_reactivity,0.16505011643211503
programming_plus_repaired_state_modules_compressed,8,107,neuron_preservation,0.5140427255239445
negative_control_programming_plus_state_shuffled_compressed,8,107,amyloid_tau,0.3761364786878607
negative_control_programming_plus_state_shuffled_compressed,8,107,glial_reactivity,0.16387567075022783
negative_control_programming_plus_state_shuffled_compressed,8,107,neuron_preservation,0.5157638959198138
programming_only_pca_jepa,8,107,amyloid_tau,0.37412169687151975
programming_only_pca_jepa,8,107,glial_reactivity,0.16471600688468158
programming_only_pca_jepa,8,107,neuron_preservation,0.5135364989369242
repaired_state_modules_compressed_pc,8,211,amyloid_tau,0.32400526475650504
repaired_state_modules_compressed_pc,8,211,glial_reactivity,0.1710337146906956
repaired_state_modules_compressed_pc,8,211,neuron_preservation,0.5060240963855422
